 ETo studies - 60mm deficit - 3 day avg ETo forecast - 5% Hi

 Simulation run:- 25 Mar 2014  11:08   (OZCOT ver 2011, 9, 1, 0)              

 Mode 2: analysis of strategy, risk or "what if" scenario.
 Using met data file with id "  BREE", starting on day   1, 1960.
 APSIM 2001 format. Latitude  -31.25, Longitude  150.46.
 Variety S71B; Rowspacing 1.0 m;  12 plants per m row; sowing depth 5.0 cm.
 Irrigated crop; solid plant.
 Sowing on day 289, specified in AGRON.INP file.
 OZCOT decides when to irrigate.
 Water up   1 days after sowing.
 Crop irrigated at  60 mm deficit; allocation  12.0 Ml per ha; efficiency  85%.
 No irrigation until   5 days after 1st square; nor after  60% bolls open.
 Soil nitrogen  200. kg per ha;
 Fertiliser N  100. kg per ha applied on day 360.
 Soil water not reset at start of season.

 *******************************************************************************************************************


 YEAR SOWN   BOLL  LINT_Kg BALES  SCBO  MLAI  NUPT  MAT  DFS  DFF  DFB   ET NoIR PREI IRIG NoRD RAIN IRSW SWDE  dSW RUNO TOTI   WUE

 1960  289  144.7   2699.9 11.89  4.66  3.93  187.  127  348   14   69  730    8    0  601   35  455  511  220  -41  147  729  3.70
 1961  288  113.6   2137.5  9.42  4.70  3.60  184.   98  338    4   62  683    6    0  448   56  559  380  249  -86  100  702  3.13
 1962  288  102.0   1848.4  8.14  4.53  3.63  180.   90  346   14   63  657    7    0  486   46  507  413  252  -60  137  666  2.81
 1963  288  137.9   2505.2 11.04  4.54  4.40  189.  100  345    7   62  753    8    0  529   40  491  450  236   -9  127  744  3.33
 1964  289  115.1   2314.7 10.20  5.03  3.51  188.  126  353   16   63  811   12    0  794   30  150  675  205   32    4  795  2.85
 1965  288   96.8   1811.1  7.98  4.68  3.56  193.   76  338    3   50  677    9    0  689   30  262  586  248  -69   61  686  2.68
 1966  288  120.0   2312.7 10.19  4.82  3.24  188.  101  348   11   61  762   10    0  642   39  443  546  210   16  181  779  3.03
 1967  288  142.0   2665.7 11.74  4.69  3.75  181.  109  341    6   58  752   10    0  690   36  339  586  243  -51   75  756  3.54
 1968  289  131.6   2659.6 11.72  5.05  3.19  190.  113  339    6   54  820    9    0  623   35  399  530  234   -7   58  809  3.24
 1969  288  127.8   2295.4 10.11  4.49  4.70  185.  118  349   15   69  720    8    0  509   49  489  433  234    4  138  720  3.19
 1970  288   80.5   1744.1  7.68  5.41  3.90  166.    0  348   14   80  682    7    0  454   50  688  386  204   19  315  712  2.56
 1971  288  124.4   2030.4  8.94  4.08  4.42  183.  127  352   17   77  660    8    0  548   34  311  466  241  -61    0  664  3.08
