 ETo studies - Emerald - 80mm deficit - 7 day avg ETo foreca

 Simulation run:- 25 Mar 2014  11:09   (OZCOT ver 2011, 9, 1, 0)              

 Mode 2: analysis of strategy, risk or "what if" scenario.
 Using met data file with id "  EMER", starting on day   1, 1960.
 APSIM 2001 format. Latitude  -23.47, Longitude  148.15.
 Variety S71B; Rowspacing 1.0 m;  12 plants per m row; sowing depth 5.0 cm.
 Irrigated crop; solid plant.
 Sowing on day 269, specified in AGRON.INP file.
 OZCOT decides when to irrigate.
 Water up   1 days after sowing.
 Crop irrigated at  80 mm deficit; allocation  12.0 Ml per ha; efficiency  85%.
 No irrigation until   5 days after 1st square; nor after  60% bolls open.
 Soil nitrogen  200. kg per ha;
 Fertiliser N  100. kg per ha applied on day 360.
 Soil water not reset at start of season.

 *******************************************************************************************************************


 YEAR SOWN   BOLL  LINT_Kg BALES  SCBO  MLAI  NUPT  MAT  DFS  DFF  DFB   ET NoIR PREI IRIG NoRD RAIN IRSW SWDE  dSW RUNO TOTI   WUE

 1960  269  139.2   2553.0 11.25  4.58  3.70  198.   49  311  335   17  765    7    0  606   48  471  515  259  -53  128  765  3.34
 1961  268  140.2   2722.6 11.99  4.85  3.72  201.   45  308  333   13  790    7    0  624   52  383  530  243  -46   52  793  3.45
 1962  268  128.5   2556.4 11.26  4.97  2.51  206.   37  309  330    9  594    6    0  530   44  276  450  250  -68   34  611  4.30
 1963  268  143.6   2967.0 13.07  5.17  3.59  203.   43  311  337   18  706    8    0  686   35  195  583  234  -12   40  693  4.20
 1964  269  154.8   3038.6 13.39  4.91  2.97  204.   64  313  338   23  943    9    0  897   52  323  762  246  -70   46  948  3.22
 1965  268  147.8   2825.8 12.45  4.78  3.63  208.   42  309  331   18  610    6    0  511   39  281  434  241  -41   47  612  4.63
 1966  268  157.7   2856.5 12.58  4.53  3.47  207.   47  314  340   20  770    7    0  668   33  303  568  240  -43   46  769  3.71
 1967  268  145.2   2807.7 12.37  4.83  2.78  203.   46  309  334   15  713    7    0  673   29  350  572  259  -65  120  712  3.94
 1968  269  144.0   2555.2 11.26  4.44  2.98  205.   43  313  335   11  677    9    0  798   11  158  597  247  -35   24  673  3.77
 1969  268  148.9   2733.6 12.04  4.59  2.53  207.   35  311  335   17  689    6    0  507   28  345  431  256  -57   15  682  3.97
 1970  268  143.2   2758.5 12.15  4.81  2.89  205.   40  310  335   21  709    6    0  519   35  355  441  238   -7   72  701  3.89
 1971  268  135.0   2666.1 11.74  4.94  3.13  204.   56  308  331   10  713    7    0  567   36  328  482  232    2   75  712  3.74
 1972  269  159.3   2802.9 12.35  4.40  2.60  206.   39  309  332   13  703    8    0  707   22  183  601  245  -49   17  705  3.99
