
"","","","","","","","","","","","","","Differences from Control"
" ","Region","Deficit","Forecast Days","Percent Adj"," ","Avg Yield","Total Irrigs","Avg Irrigs","Avg WUE","AdvancedCnt","DelayedCnt"," ","Avg Yield","Total Irrigs","Avg Irrigs","Avg WUE"
" ","","(mm)","(days)","(%)"," ","(kg/ha)","()","()","(kg/mm)","()","()"," ","(kg/ha)","()","()","(kg/mm)"

" ","Br",60,3,5," ",2294.4,483,9.3,3.0,15,96," ",0,0,0,0.0
" ","Br",60,3,10," ",0.0,0,0.0,0.0,36,203," ",0,0,0,0.0
" ","Br",60,3,20," ",0.0,0,0.0,0.0,51,376," ",0,0,0,0.0
" ","Br",60,3,40," ",0.0,0,0.0,0.0,77,671," ",0,0,0,0.0
" ","Br",60,5,5," ",0.0,0,0.0,0.0,11,94," ",0,0,0,0.0
" ","Br",60,5,10," ",0.0,0,0.0,0.0,22,205," ",0,0,0,0.0
" ","Br",60,5,20," ",0.0,0,0.0,0.0,36,405," ",0,0,0,0.0
" ","Br",60,5,40," ",0.0,0,0.0,0.0,53,761," ",0,0,0,0.0
" ","Br",60,7,5," ",0.0,0,0.0,0.0,9,95," ",0,0,0,0.0
" ","Br",60,7,10," ",0.0,0,0.0,0.0,16,201," ",0,0,0,0.0
" ","Br",60,7,20," ",0.0,0,0.0,0.0,24,417," ",0,0,0,0.0
" ","Br",60,7,40," ",0.0,0,0.0,0.0,37,826," ",0,0,0,0.0
" ","Br",80,3,5," ",0.0,0,0.0,0.0,20,111," ",0,0,0,0.0
" ","Br",80,3,10," ",0.0,0,0.0,0.0,30,207," ",0,0,0,0.0
" ","Br",80,3,20," ",0.0,0,0.0,0.0,38,463," ",0,0,0,0.0
" ","Br",80,3,40," ",0.0,0,0.0,0.0,68,639," ",0,0,0,0.0
" ","Br",80,5,5," ",0.0,0,0.0,0.0,18,111," ",0,0,0,0.0
" ","Br",80,5,10," ",0.0,0,0.0,0.0,25,209," ",0,0,0,0.0
" ","Br",80,5,20," ",0.0,0,0.0,0.0,30,447," ",0,0,0,0.0
" ","Br",80,5,40," ",0.0,0,0.0,0.0,46,815," ",0,0,0,0.0
" ","Br",80,7,5," ",0.0,0,0.0,0.0,14,119," ",0,0,0,0.0
" ","Br",80,7,10," ",0.0,0,0.0,0.0,20,225," ",0,0,0,0.0
" ","Br",80,7,20," ",0.0,0,0.0,0.0,27,441," ",0,0,0,0.0
" ","Br",80,7,40," ",0.0,0,0.0,0.0,39,803," ",0,0,0,0.0
" ","Br",100,3,5," ",0.0,0,0.0,0.0,18,105," ",0,0,0,0.0
" ","Br",100,3,10," ",0.0,0,0.0,0.0,30,194," ",0,0,0,0.0
" ","Br",100,3,20," ",0.0,0,0.0,0.0,49,355," ",0,0,0,0.0
" ","Br",100,3,40," ",0.0,0,0.0,0.0,66,643," ",0,0,0,0.0
" ","Br",100,5,5," ",0.0,0,0.0,0.0,10,113," ",0,0,0,0.0
" ","Br",100,5,10," ",0.0,0,0.0,0.0,16,214," ",0,0,0,0.0
" ","Br",100,5,20," ",0.0,0,0.0,0.0,31,403," ",0,0,0,0.0
" ","Br",100,5,40," ",0.0,0,0.0,0.0,44,677," ",0,0,0,0.0
" ","Br",100,7,5," ",0.0,0,0.0,0.0,8,104," ",0,0,0,0.0
" ","Br",100,7,10," ",0.0,0,0.0,0.0,13,218," ",0,0,0,0.0
" ","Br",100,7,20," ",0.0,0,0.0,0.0,27,415," ",0,0,0,0.0
" ","Br",100,7,40," ",0.0,0,0.0,0.0,35,726," ",0,0,0,0.0
" ","Br",120,3,5," ",0.0,0,0.0,0.0,16,91," ",0,0,0,0.0
" ","Br",120,3,10," ",0.0,0,0.0,0.0,22,167," ",0,0,0,0.0
" ","Br",120,3,20," ",0.0,0,0.0,0.0,33,330," ",0,0,0,0.0
" ","Br",120,3,40," ",0.0,0,0.0,0.0,61,529," ",0,0,0,0.0
" ","Br",120,5,5," ",0.0,0,0.0,0.0,10,88," ",0,0,0,0.0
" ","Br",120,5,10," ",0.0,0,0.0,0.0,17,177," ",0,0,0,0.0
" ","Br",120,5,20," ",0.0,0,0.0,0.0,24,338," ",0,0,0,0.0
" ","Br",120,5,40," ",0.0,0,0.0,0.0,45,610," ",0,0,0,0.0
" ","Br",120,7,5," ",0.0,0,0.0,0.0,9,87," ",0,0,0,0.0
" ","Br",120,7,10," ",0.0,0,0.0,0.0,13,179," ",0,0,0,0.0
" ","Br",120,7,20," ",0.0,0,0.0,0.0,18,333," ",0,0,0,0.0
" ","Br",120,7,40," ",0.0,0,0.0,0.0,33,657," ",0,0,0,0.0
" ","Em",60,3,5," ",0.0,0,0.0,0.0,36,23," ",0,0,0,0.0
" ","Em",60,3,10," ",0.0,0,0.0,0.0,66,51," ",0,0,0,0.0
" ","Em",60,3,20," ",0.0,0,0.0,0.0,124,88," ",0,0,0,0.0
" ","Em",60,3,40," ",0.0,0,0.0,0.0,181,171," ",0,0,0,0.0
" ","Em",60,5,5," ",0.0,0,0.0,0.0,28,25," ",0,0,0,0.0
" ","Em",60,5,10," ",0.0,0,0.0,0.0,58,49," ",0,0,0,0.0
" ","Em",60,5,20," ",0.0,0,0.0,0.0,101,90," ",0,0,0,0.0
" ","Em",60,5,40," ",0.0,0,0.0,0.0,145,185," ",0,0,0,0.0
" ","Em",60,7,5," ",0.0,0,0.0,0.0,26,21," ",0,0,0,0.0
