 ETo studies - 120mm deficit - 5 day avg ETo forecast - 40% 

 Simulation run:- 25 Mar 2014  11:07   (OZCOT ver 2011, 9, 1, 0)              

 Mode 2: analysis of strategy, risk or "what if" scenario.
 Using met data file with id "  Myal", starting on day   1, 1960.
 APSIM 2001 format. Latitude  -30.10, Longitude  149.35.
 Variety S71B; Rowspacing 1.0 m;  12 plants per m row; sowing depth 5.0 cm.
 Irrigated crop; solid plant.
 Sowing on day 289, specified in AGRON.INP file.
 OZCOT decides when to irrigate.
 Water up   1 days after sowing.
 Crop irrigated at 120 mm deficit; allocation  12.0 Ml per ha; efficiency  85%.
 No irrigation until   5 days after 1st square; nor after  60% bolls open.
 Soil nitrogen  200. kg per ha;
 Fertiliser N  100. kg per ha applied on day 360.
 Soil water not reset at start of season.

 *******************************************************************************************************************


 YEAR SOWN   BOLL  LINT_Kg BALES  SCBO  MLAI  NUPT  MAT  DFS  DFF  DFB   ET NoIR PREI IRIG NoRD RAIN IRSW SWDE  dSW RUNO TOTI   WUE

 1960  289  160.1   3067.7 13.51  4.79  2.89  206.   86  339    2   51  750    5    0  475   34  378  404  176   25   44  732  4.09
 1961  288  140.4   2637.8 11.62  4.70  3.67  198.   72  331  359   51  648    3    0  502   50  604  427  255 -148  207  651  4.07
 1962  288  150.5   2846.4 12.54  4.73  3.57  209.   86  337    3   54  673    4    0  485   51  350  412  280  -45   27  661  4.23
 1963  288  145.9   2915.8 12.84  5.00  2.64  201.   90  336  363   51  829    5    0  564   34  446  479  210   41  108  821  3.52
 1964  289  144.1   2835.0 12.49  4.92  2.58  203.   86  344    5   54  761    7    0  676   24  167  574  184   74   35  739  3.73
 1965  288  152.0   2726.9 12.01  4.48  3.19  199.   80  333  360   45  824    7    0  917   27  197  779  222  -90   31  831  3.31
 1966  288  142.4   2734.8 12.05  4.80  2.28  203.   71  339    1   47  699    5    0  505   46  315  429  262   16   33  705  3.91
 1967  288  152.2   2714.1 11.96  4.46  2.52  201.  106  332  359   44  809    6    0  753   41  306  640  252  -24   80  816  3.35
 1968  289  131.2   2599.7 11.45  4.95  2.06  200.   69  334  360   42  701    7    0  704   29  154  598  268  -33    2  690  3.71
 1969  288  144.1   3121.5 13.75  5.41  2.92  205.   85  340    1   52  750    6    0  677   43  317  575  261   -6  116  740  4.16
 1970  288   95.2   1923.1  8.47  5.05  3.22  188.  104  339    5   54  765    3    0  380   56  601  323  270  -15   96  766  2.51
 1971  288  160.8   3072.0 13.53  4.78  3.84  199.  108  342    4   62  726    5    0  684   44  239  581  275  -65    4  723  4.23
 1972  289  137.3   2376.4 10.47  4.33  2.50  208.   67  337  360   40  692    4    0  450   48  523  383  264  -35  154  695  3.43
