 ETo studies - Control 80mm deficit - No Modifications for E

 Simulation run:- 25 Mar 2014  11:07   (OZCOT ver 2011, 9, 1, 0)              

 Mode 2: analysis of strategy, risk or "what if" scenario.
 Using met data file with id "  Myal", starting on day   1, 1960.
 APSIM 2001 format. Latitude  -30.10, Longitude  149.35.
 Variety S71B; Rowspacing 1.0 m;  12 plants per m row; sowing depth 5.0 cm.
 Irrigated crop; solid plant.
 Sowing on day 289, specified in AGRON.INP file.
 OZCOT decides when to irrigate.
 Water up   1 days after sowing.
 Crop irrigated at  80 mm deficit; allocation  12.0 Ml per ha; efficiency  85%.
 No irrigation until   5 days after 1st square; nor after  60% bolls open.
 Soil nitrogen  200. kg per ha;
 Fertiliser N  100. kg per ha applied on day 360.
 Soil water not reset at start of season.

 *******************************************************************************************************************


 YEAR SOWN   BOLL  LINT_Kg BALES  SCBO  MLAI  NUPT  MAT  DFS  DFF  DFB   ET NoIR PREI IRIG NoRD RAIN IRSW SWDE  dSW RUNO TOTI   WUE

 1960  289  132.5   2466.4 10.87  4.65  2.97  198.   85  339    2   50  766    8    0  716   33  377  609  280  -78  104  758  3.22
 1961  288  143.2   2602.0 11.46  4.54  3.87  200.   71  331  359   51  643    5    0  487   50  604  414  279  -84  258  645  4.05
 1962  288  123.7   2396.6 10.56  4.84  3.21  193.  102  337    3   57  715    6    0  538   55  432  457  238    3  129  719  3.35
 1963  288  147.2   2866.6 12.63  4.87  3.46  195.   99  336  363   50  875   10    0  869   34  446  739  268  -24  235  868  3.28
 1964  289  157.7   3193.7 14.07  5.06  2.71  200.   89  344    5   54  814    9    0  769   24  167  653  215   43   29  792  3.92
 1965  288  153.4   2737.6 12.06  4.46  3.37  198.   79  333  360   43  814   10    0  947   27  197  805  270  -96   60  819  3.36
 1966  288  134.1   2483.9 10.94  4.63  3.28  202.   81  339    1   45  775    7    0  592   46  315  503  213   67   81  772  3.21
 1967  288  139.9   2777.5 12.24  4.96  3.22  196.   87  332  359   44  758    8    0  763   41  306  648  265  -76   90  759  3.66
 1968  289  142.7   2614.1 11.52  4.58  2.11  202.   61  334  360   41  661    8    0  696   29  154  592  258  -23   42  657  3.95
