,,,,,15/04/2011,15/04/2011,15/04/2011,15/04/2011,29/04/2011,29/04/2011,29/04/2011,29/04/2011,13/05/2011,13/05/2011,13/05/2011,13/05/2011,25/05/2011,25/05/2011,25/05/2011,25/05/2011,9/06/2011,9/06/2011,9/06/2011,9/06/2011,22/06/2011,22/06/2011,22/06/2011,22/06/2011,11/07/2011,11/07/2011,11/07/2011,11/07/2011
,,,,Bare Soil,Dry,1.5 mm,3.0 mm ,6.0 mm,Dry,1.5 mm,3.0 mm ,6.0 mm,Dry,1.5 mm,3.0 mm ,6.0 mm,Dry,1.5 mm,3.0 mm ,6.0 mm,Dry,1.5 mm,3.0 mm ,6.0 mm,Dry,1.5 mm,3.0 mm ,6.0 mm,Dry,1.5 mm,3.0 mm ,6.0 mm
Date,Time,Ambient.Temp,RH,10884,45298,45271,45268,45289,45270,45311,45347,45277,45276,45280,45285,45269,45346,45308,45304,45278,45284,45301,45307,45296,45293,45272,45274,45273,45298,45271,45268,45289
15/04/2011,0:00:00,7.78,57.6,6.83,7.16,7.41,7.01,7.36,6.98,6.67,7.01,6.8,7.1,7.11,7.64,6.99,7.37,6.83,7.06,6.95,,,,,,,,,,,,
15/04/2011,0:15:00,7.78,56.9,6.92,7.32,7.4,7.15,7.5,7.25,6.78,7.02,7.22,7.23,7.02,7.57,7.27,7.38,6.92,7.46,7.02,,,,,,,,,,,,
15/04/2011,0:30:00,8.33,56.7,7.31,7.59,7.81,7.27,7.58,7.31,7.16,7.51,7.04,7.57,7.54,8.03,7.28,7.85,7.31,7.3,7.48,,,,,,,,,,,,
15/04/2011,0:45:00,8.89,55.9,7.83,8.07,8.32,7.93,8.23,7.88,7.63,7.81,7.83,8,7.98,8.32,7.93,8.25,7.83,8.25,7.74,,,,,,,,,,,,
15/04/2011,1:00:00,8.89,55.2,7.88,8.19,8.41,8.02,8.4,8.14,7.71,7.87,7.97,8.08,7.96,8.42,8.07,8.35,7.88,8.4,7.83,,,,,,,,,,,,
15/04/2011,1:15:00,8.89,55,7.9,8.15,8.53,8.11,8.41,8.15,7.78,7.85,8.11,8.12,7.97,8.51,8.14,8.32,7.9,8.46,7.72,,,,,,,,,,,,
15/04/2011,1:30:00,8.89,54.2,7.93,8.15,8.48,8.13,8.39,8.22,7.8,7.76,8.08,8.07,7.97,8.35,8.12,8.31,7.93,8.63,7.72,,,,,,,,,,,,
15/04/2011,1:45:00,8.89,54,7.77,8.06,8.24,8.01,8.26,8.06,7.62,7.69,8.02,7.99,7.9,8.35,8.05,8.15,7.77,8.44,7.67,,,,,,,,,,,,
15/04/2011,2:00:00,8.89,50.6,7.8,8.02,8.36,8.01,8.27,8,7.65,7.77,7.93,7.93,8.02,8.38,7.99,8.19,7.8,8.41,7.65,,,,,,,,,,,,
15/04/2011,2:15:00,8.89,51.7,7.83,7.99,8.32,8.14,8.35,8.18,7.67,7.81,8.03,7.92,7.98,8.31,8.09,8.17,7.83,8.47,7.65,,,,,,,,,,,,
15/04/2011,2:30:00,8.89,52.9,7.77,7.99,8.33,8.1,8.35,8.05,7.67,7.74,7.92,7.92,7.88,8.15,8.1,8.08,7.77,8.43,7.62,,,,,,,,,,,,
15/04/2011,2:45:00,8.33,53.7,7.27,7.52,7.75,7.64,7.9,7.76,7.19,7.24,7.29,7.4,7.39,7.72,7.68,7.64,7.27,7.97,7.16,,,,,,,,,,,,
15/04/2011,3:00:00,7.78,56.2,6.91,7.14,7.36,7.23,7.5,7.24,6.73,6.84,7.05,7.04,7.06,7.38,7.27,7.25,6.91,7.47,6.74,,,,,,,,,,,,
15/04/2011,3:15:00,7.78,53.1,6.98,7.22,7.62,7.18,7.45,7.18,6.75,6.94,7.17,7.15,7.11,7.41,7.17,7.39,6.98,7.45,6.76,,,,,,,,,,,,
15/04/2011,3:30:00,7.78,52.6,6.74,7.03,7.3,7.18,7.4,6.77,6.54,6.65,6.84,6.8,6.84,7.16,7.1,7.03,6.74,7.07,6.52,,,,,,,,,,,,
15/04/2011,3:45:00,7.78,48.9,6.61,6.87,7.27,6.9,7.14,6.85,6.42,6.68,6.87,6.85,6.85,7.27,6.84,7.05,6.61,7.24,6.45,,,,,,,,,,,,
15/04/2011,4:00:00,7.78,49.4,6.32,6.63,6.9,6.67,6.97,6.59,6.07,6.27,6.49,6.44,6.45,6.81,6.74,6.68,6.32,6.87,6.11,,,,,,,,,,,,
15/04/2011,4:15:00,7.22,50.3,6.3,6.6,6.99,6.59,6.88,6.5,6.05,6.25,6.49,6.41,6.39,6.82,6.46,6.67,6.3,6.84,6.06,,,,,,,,,,,,
15/04/2011,4:30:00,7.22,49.1,6.22,6.5,6.82,6.5,6.85,6.15,5.97,6.08,6.12,6.3,6.31,6.65,6.42,6.5,6.22,6.54,5.97,,,,,,,,,,,,
15/04/2011,4:45:00,6.67,49.8,5.74,6.01,6.29,6.08,6.39,5.83,5.52,5.67,5.86,5.82,5.86,6.18,6.05,6.13,5.74,6.12,5.49,,,,,,,,,,,,
15/04/2011,5:00:00,7.22,48.7,5.6,6,6.35,5.89,6.22,5.92,5.44,5.62,5.9,5.81,5.83,6.27,5.87,6.06,5.6,6.3,5.46,,,,,,,,,,,,
15/04/2011,5:15:00,6.67,49.2,5.68,5.9,6.32,6.05,6.28,5.71,5.43,5.59,5.75,5.75,5.75,6.07,5.86,5.99,5.68,6.07,5.4,,,,,,,,,,,,
15/04/2011,5:30:00,6.67,49.6,5.39,5.66,6.01,5.71,5.99,5.51,5.06,5.32,5.56,5.47,5.55,5.88,5.59,5.74,5.39,5.81,5.12,,,,,,,,,,,,
