Year,Day,DOY:Time,TOD,ppt_mm,ws10m_ms,ws2m_ms,RH_Percent,AT,Saturated VP (kPa),Actual VP (kPa),VPD (kPa),Soil4in_C,Soil8in_C,Solar_WM2,Dew Point
2011,1,1:00:00:00,0,0,2.98,2.185,27.38,-0.098,3.645369497,3.2856,0.359769497,7.312,8.56,-0.153,-16.66891113
2011,1,1:00:15:00,15,0,3.383,2.602,27.48,-0.17,3.666748149,3.2976,0.369148149,7.248,8.51,-0.165,-16.6878512
2011,1,1:00:30:00,30,0,3.107,2.416,27.59,-0.214,3.690390687,3.3108,0.379590687,7.19,8.47,-0.163,-16.67841826
2011,1,1:00:45:00,45,0,3.148,2.475,28.03,-0.093,3.786293348,3.3636,0.422693348,7.136,8.42,-0.163,-16.38500743
2011,1,1:01:00:00,100,0,3.92,2.916,30.53,-0.642,4.373465057,3.6636,0.709865057,7.086,8.38,-0.163,-15.84176075
2011,1,1:01:15:00,115,0,3.91,2.944,32,-1.158,4.754429744,3.84,0.914429744,7.037,8.34,-0.159,-15.73081868
2011,1,1:01:30:00,130,0,4.127,3.14,33.31,-1.458,5.117891517,3.9972,1.120691517,6.99,8.3,-0.165,-15.51359109
2011,1,1:01:45:00,145,0,4.996,3.95,33.31,-1.925,5.117891517,3.9972,1.120691517,6.941,8.26,-0.166,-15.92672298
2011,1,1:02:00:00,200,0,5.46,4.068,31.08,-2.018,4.512774465,3.7296,0.783174465,6.889,8.22,-0.156,-16.83545892
2011,1,1:02:15:00,215,0,4.574,3.432,32.16,-2.634,4.797584237,3.8592,0.938384237,6.833,8.18,-0.16,-16.97187958
2011,1,1:02:30:00,230,0,3.531,2.62,32.84,-3.001,4.984808647,3.9408,1.044008647,6.771,8.14,-0.165,-17.04763548
2011,1,1:02:45:00,245,0,2.532,1.849,33.6,-3.325,5.201535736,4.032,1.169535736,6.706,8.1,-0.163,-17.06307483
2011,1,1:03:00:00,300,0,3.247,2.461,34.27,-3.425,5.399332754,4.1124,1.286932754,6.638,8.06,-0.162,-16.91751049
2011,1,1:03:15:00,315,0,3.819,2.921,34.55,-3.485,5.483907572,4.146,1.337907572,6.566,8.01,-0.165,-16.87418548
2011,1,1:03:30:00,330,0,3.498,2.877,35.94,-3.892,5.92099122,4.3128,1.60819122,6.491,7.972,-0.161,-16.7680427
2011,1,1:03:45:00,345,0,5.543,4.458,36.11,-4.135,5.976464763,4.3332,1.643264763,6.412,7.927,-0.165,-16.92901664
2011,1,1:04:00:00,400,0,6.348,5.007,35.06,-4.419,5.640909964,4.2072,1.433709964,6.332,7.882,-0.163,-17.53175538
2011,1,1:04:15:00,415,0,5.76,4.408,35.28,-4.659,5.709830544,4.2336,1.476230544,6.249,7.834,-0.159,-17.67180297
