
"","","","","","Days to Emergence","","","","","","Yield","","Yielding","","","","ET","","","","Irrigation Cnt"
"","","","","NoFilm","Film","Diff","","","","","NoFilm","Film","#Crops","#Crops","","","NoFilm","Film","","","NoFilm","Film"

"Griff","Aug",1,2004,36,19,17," "," ","","",0,2184.3,"","","","",0,871,"","",0,12
" "," "," ",2005,39,17,22," "," ","","",0,2319.0,"","","","",0,1050,"","",0,13
" "," "," ",2006,31,16,15," "," ","","",0,2426.4,"","","","",0,953,"","",0,15
" "," "," ",2007,27,13,14," "," ","","",0,2504.9,"","","","",0,882,"","",0,11
" "," "," ",2008,43,21,22," "," ","","",0,1630.0,"","","","",0,902,"","",0,12
" "," "," ",2009,26,13,13," "," ","","",0,2227.1,"","","","",0,895,"","",0,12
" "," "," ",2010,55,19,36," "," ","","",0,1610.4,"","","","",0,804,"","",0,8
" "," "," ",2011,25,7,18," "," ","","",0,2389.4,"","","","",0,832,"","",0,11
" "," "," ",2012,38,17,21," "," ","","",0,2494.4,"","","","",0,961,"","",0,13
" "," "," ",2013,32,15,17," "," ","","",0,1961.5,"","","","",0,940,"","",0,13
""," "," "," "," ","Avg Diff:",19.5,"","","","","","",0,10,"","Avg:",0.0,909.0,"","",0.0,12.0


"Griff","Aug",8,2004,30,16,14," "," ","","",0,0,"","","","",0,0,"","",0,0
" "," "," ",2005,32,16,16," "," ","","",0,0,"","","","",0,0,"","",0,0
" "," "," ",2006,25,14,11," "," ","","",0,0,"","","","",0,0,"","",0,0
" "," "," ",2007,22,13,9," "," ","","",0,0,"","","","",0,0,"","",0,0
" "," "," ",2008,36,20,16," "," ","","",0,0,"","","","",0,0,"","",0,0
" "," "," ",2009,22,12,10," "," ","","",0,0,"","","","",0,0,"","",0,0
" "," "," ",2010,49,18,31," "," ","","",0,0,"","","","",0,0,"","",0,0
" "," "," ",2011,27,14,13," "," ","","",0,0,"","","","",0,0,"","",0,0
" "," "," ",2012,35,16,19," "," ","","",0,0,"","","","",0,0,"","",0,0
" "," "," ",2013,26,16,10," "," ","","",0,0,"","","","",0,0,"","",0,0
""," "," "," "," ","Avg Diff:",14.9,"","","","","","",0,0,"","Avg:",0.0,0.0,"","",0.0,0.0


"Griff","Aug",15,2004,26,12,14," "," ","","",0,0,"","","","",0,0,"","",0,0
" "," "," ",2005,26,14,12," "," ","","",0,0,"","","","",0,0,"","",0,0
" "," "," ",2006,21,12,9," "," ","","",0,0,"","","","",0,0,"","",0,0
" "," "," ",2007,18,12,6," "," ","","",0,0,"","","","",0,0,"","",0,0
" "," "," ",2008,29,16,13," "," ","","",0,0,"","","","",0,0,"","",0,0
" "," "," ",2009,20,8,12," "," ","","",0,0,"","","","",0,0,"","",0,0
" "," "," ",2010,43,18,25," "," ","","",0,0,"","","","",0,0,"","",0,0
" "," "," ",2011,22,11,11," "," ","","",0,0,"","","","",0,0,"","",0,0
" "," "," ",2012,31,16,15," "," ","","",0,0,"","","","",0,0,"","",0,0
" "," "," ",2013,20,14,6," "," ","","",0,0,"","","","",0,0,"","",0,0
""," "," "," "," ","Avg Diff:",12.3,"","","","","","",0,0,"","Avg:",0.0,0.0,"","",0.0,0.0


"Griff","Aug",22,2004,27,8,19," "," ","","",0,0,"","","","",0,0,"","",0,0
" "," "," ",2005,25,12,13," "," ","","",0,0,"","","","",0,0,"","",0,0
" "," "," ",2006,22,11,11," "," ","","",0,0,"","","","",0,0,"","",0,0
