"model","location","sowing","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","ShootLag",0.0168243223457149,0.00423413695552972,0.000569825905226911,0.00427335713835032,-0.00513183652591496,0.0116924858197999
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","VegTarget",0.0178463226205261,-0.00185907738471731,0.000528999402470076,0.00437416117977294,-0.0119775592965859,0.00586876332394025
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","LateVegTarget",0.0176809593723619,0.000902540604150191,0.000505921923488614,0.00436987410953654,-0.0092239228158944,0.00845703655646752
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","FloweringTarget",0.0177680747307045,-0.00287853162819103,0.000513012996820179,0.0043332116999111,-0.0130706490704783,0.0046974256602262
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","Population",0.0176959484419313,-0.0027958732203628,0.00052531308965298,0.0043191552513764,-0.0129173181415821,0.00477863030034919
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","FracPAWCmm",0.0176229053635682,-0.00298812159157744,0.000499007919661415,0.00431725789821081,-0.0130999970656794,0.00452290829788878
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","PAWCmm",0.0176453762909395,-0.00278528137524446,0.0005087675479266,0.00432036598167859,-0.0128722712517351,0.00477310503920441
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","sowingESW",0.0176891054124646,-0.00295814456887632,0.000508624421090197,0.00432650600148496,-0.013109862603965,0.00457924280849963
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","SowingDOY",0.0174642831273661,-0.00130593114038973,0.000482586505682073,0.00432810267443762,-0.0112196707974632,0.00624461232990294
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT0_30",0.0146855752800346,0.400360820942255,0.00000540692155126532,0.00387578054951401,0.392817330894985,0.407502906175019
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT30_60",0.0177951488476327,0.00500996319785693,0.000485895507467391,0.00441452875112557,-0.00489103584365402,0.0129041130039786
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT60_90",0.0176288364647197,-0.00245599849121891,0.000506138091136171,0.00431923836341489,-0.0125517472604544,0.00507708920426526
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT0_30",0.0173071668088363,0.394219302577492,0.000890927122866592,0.00428293402237832,0.385677626530645,0.402984793339481
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT30_60",0.0181707689939002,0.0220810491676375,0.000364920948165988,0.00449986467240749,0.0121595827377331,0.0303303517316333
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT60_90",0.0178044566905692,-0.0000830594469676379,0.000513497803024115,0.00434083625671957,-0.0101868243721455,0.0076176323184237
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","Rain0_30",0.0177208352198313,-0.000560069716807849,0.000430667295002428,0.00434322527596446,-0.0107524849807559,0.00696835023907542
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","Rain30_60",0.0176565701700578,-0.00293715190182518,0.000464519148352474,0.00431279155265353,-0.0131140138052823,0.00454255636477554
