"model","location","sowing","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","ShootLag",0.018076320471548,0.0113623430376973,-0.000683887017267751,0.00487830270422321,0.00307172586731695,0.021148046338865
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","VegTarget",0.0176872960583371,0.00378650121261684,-0.000680332373407121,0.00486061376311417,-0.00436917081817916,0.0133181252401579
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","LateVegTarget",0.0180431979965376,0.00576897991017338,-0.000719359063662579,0.00486060171343049,-0.00253656245669801,0.0155066355398396
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","FloweringTarget",0.0177730275227218,0.00314077859943064,-0.000685856131848398,0.00488219369744416,-0.00511857651065376,0.0126544510120681
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Population",0.0177722087018935,0.00305877077721059,-0.000682662335875695,0.00487193338342366,-0.00517244257257552,0.0125997661293179
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","FracPAWCmm",0.0177651223267198,0.00316900467348046,-0.000676130412231384,0.00486994809314375,-0.00514249674205058,0.0126226255846692
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","PAWCmm",0.0178427421002641,0.00299047614856816,-0.000679823204188924,0.00487419788666792,-0.00531607587450061,0.0125266662257635
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","sowingESW",0.0177849423749307,0.00303023732275976,-0.000679373352652143,0.00487835826824938,-0.00525158039506289,0.0125333619798678
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","SowingDOY",0.0182711060018107,0.00501343379561807,-0.000659266363546229,0.00488634347115922,-0.00355494963826326,0.0147161563635474
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT0_30",0.0161119612055943,0.403894644767765,-0.000705707036024794,0.00393362468750988,0.395721830539457,0.411833791745052
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT30_60",0.0185161504344501,0.00846277408597573,-0.000688268763805553,0.00491659643034556,-0.00035863214538949,0.0181575182890607
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT60_90",0.0180592086385512,0.00340794687529185,-0.00067702386156545,0.00488440983938923,-0.00503171678147827,0.0130274918570729
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT0_30",0.0177408023801904,0.401331137497349,-0.000635362019241636,0.00441244817600241,0.394435858119445,0.412176660499636
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT30_60",0.0178509216715875,0.0275763319435738,-0.000628011416639093,0.00467044161169412,0.0196481242617767,0.0374990459333642
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT60_90",0.0180144076060416,0.00590872237538619,-0.000608580695278405,0.00487781775216545,-0.00250874538650901,0.0155056622195326
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Rain0_30",0.0175432567182342,0.00521124377684023,-0.000706521000740925,0.00484728531528611,-0.00297644348612135,0.0145668132321128
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Rain30_60",0.017814690012234,0.00354030477792717,-0.000706189515956549,0.00489475533626771,-0.00454171055112168,0.0132729794611123
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Rain60_90",0.0177487902990748,0.00303511659529132,-0.000670450988161169,0.00486434824983076,-0.00515060624293146,0.0125981840561433
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Radn0_30",0.0186664771594214,0.0199821315180794,-0.000712703519118351,0.00484728776946377,0.0110569849694252,0.0297234621288466
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Radn30_60",0.0182540176429416,0.0373298554948404,-0.000618517652770129,0.0046391131804617,0.0285673212247383,0.0468213388676799
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Radn60_90",0.0178974407695223,0.00434243916096368,-0.000660530925528126,0.00489312773869241,-0.00395444076623673,0.0139430000032856
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","ShootLag",0.000353676482965011,0.00933760477827639,0.00000566659599511403,0.0000900916973356905,0.00915895252773205,0.00951262901069706
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","VegTarget",0.0000544265085399651,0.00128558705530435,0.000000301735558997469,0.0000140492791272703,0.0012636319003668,0.00131805840890676
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","LateVegTarget",0.000153548163873775,0.00360731935502712,-0.00000293611620258774,0.0000390411870490624,0.00354555859168993,0.0036991067555637
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","FloweringTarget",0.00000511225176418579,0.000103678027314702,-0.0000000623860594362101,0.00000121594744812145,0.000102026189300957,0.000107138441065143
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","Population",0.0000187831696295036,0.000287904007923445,0.00000006700666169146,0.00000449375980357658,0.000278570109590825,0.000297353279220328
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","FracPAWCmm",0.0000149260613727824,0.000260434119421005,-0.000000291484081739186,0.00000327241101974052,0.000253044233687958,0.00026797029506074
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","PAWCmm",0.00000533974598146216,0.000124585999790927,0.0000000353030680499944,0.00000145758027496302,0.000121914731226916,0.000127254477208379
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","sowingESW",0.00000000000042622006850184,-0.0000000000000421884749357559,0.000000000000123381305172643,0.000000000000105689906311796,-0.000000000000375829242887774,0.0000000000000503908256140662
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","SowingDOY",0.000123700852163674,0.00279606128648291,0.00000180630431425568,0.0000304365310395557,0.00273779753960439,0.00286149839176806
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","AvgMinT0_30",0.0169833474047983,0.488984648929201,-0.000377671607144747,0.0040239878490605,0.480636935941828,0.497620283346627
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","AvgMinT30_60",0.000562733458535638,0.0112621816435865,0.0000114973573003222,0.000124988798846745,0.0109877019032197,0.0115504353617554
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","AvgMinT60_90",0.0000715178763304842,0.00148219978960518,-0.000000424866607858778,0.000018398564863408,0.00144948242776598,0.00152100030409647
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","AvgMaxT0_30",0.0134177524648166,0.478855513988569,0.000279270086522954,0.00337910572133269,0.471992288909017,0.485410041373834
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","AvgMaxT30_60",0.00115205722686335,0.0276367301380687,0.00000522039632734964,0.000280926435515835,0.0270976276572518,0.0282496848841152
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","AvgMaxT60_90",0.000200054595564546,0.00417386074554449,0.00000222633984860512,0.000050908778084499,0.00407133978074764,0.00427139437631219
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","Rain0_30",0.000216227073890902,0.00440380657717776,-0.00000339932634347249,0.0000540301767228262,0.00429984763491505,0.00451607470880595
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","Rain30_60",0.0000781389310849634,0.00135726220850485,-0.000000877520418043334,0.0000187420505208688,0.00132150066773841,0.00139963959882337
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","Rain60_90",0.0000225021906741604,0.000364456024531723,-0.000000331846790519981,0.00000480124372139857,0.000352770723513287,0.000375272914187447
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","Radn0_30",0.000750407826920523,0.0175019340860264,-0.00000810688339198881,0.000204858053587748,0.017134409366733,0.0178848171936535
