"model","location","sowing","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","ShootLag",0.0158115046125458,0.00508865489857689,0.00010530842376472,0.00386314089027757,-0.00348373474817033,0.0123277698643755
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","VegTarget",0.01540797005692,-0.00200580846909573,-0.00000499355273027909,0.00384749173731841,-0.0104868657335743,0.00492110432334573
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","LateVegTarget",0.0155367728222073,0.000579290495745948,0.0000032528921042128,0.00387357148168731,-0.00791488166259752,0.0076218911596098
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","FloweringTarget",0.0153892299998403,-0.00277885458494275,0.0000184279873583493,0.00382804256874562,-0.0111493032509681,0.0042399267488722
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","Population",0.0155457278474356,-0.00290079248773505,0.0000308121003597043,0.00383929069305483,-0.0112417086383269,0.00430401920910875
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","FracPAWCmm",0.0154278889854624,-0.00275007311421374,0.0000294674656473723,0.00384556389422881,-0.0111282773212565,0.00429961166420597
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","PAWCmm",0.0155366749874138,-0.00281157872608209,0.0000109502556543332,0.00383690791842578,-0.0112268170962022,0.00430985789121158
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","sowingESW",0.0154549964018074,-0.00286642331642969,0.0000226419300136597,0.00383042252411556,-0.011250198285052,0.00420479811675547
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","SowingDOY",0.0156641027893289,-0.00100050607560068,0.0000831333645369436,0.00384637881900808,-0.00942123220724447,0.00624287058208442
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT0_30",0.015086619180241,0.405670378856989,-0.000234954635203843,0.003836398069822,0.398362179110069,0.41344879829031
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT30_60",0.0160345314367986,0.00300129122420856,0.0000342436026701948,0.00387375529717333,-0.00573800149780067,0.0102965299389979
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT60_90",0.0159945029975185,-0.00233326399313098,0.0000315659840679828,0.00387523956911719,-0.0107958183592825,0.00519868463823593
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT0_30",0.0140533866427023,0.398835593432568,0.00061484616035834,0.0038574370254345,0.39132225838713,0.405375645029832
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT30_60",0.0144465460256537,0.02018893344201,0.0000476332238006638,0.00364474112584864,0.0115634830354343,0.026010029061088
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT60_90",0.0158677494910561,-0.00120238658493634,0.0000358265801186943,0.00377259287706551,-0.0100942018646586,0.00577354762639746
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","Rain0_30",0.0159531261813873,-0.000903629668294112,-0.0000088182409885084,0.00385386860434349,-0.00919623708788868,0.00675688909349865
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","Rain30_60",0.0152198065105615,-0.00283580657281979,0.00000639544229002597,0.00383565883413909,-0.0109550863581428,0.0042647201524187
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","Rain60_90",0.0154441072462186,-0.00289967700560493,0.0000105350780853671,0.00382773049887689,-0.0112566668351817,0.00418744041103681
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","Radn0_30",0.0163030188532954,0.0132851020327068,-0.0000415359110486988,0.00387181918614044,0.00424998479998865,0.020553003653284
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","Radn30_60",0.0156231568062572,0.0332348556290476,-0.000132454294269856,0.00380171402249379,0.0249993644280938,0.040622521234351
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","Radn60_90",0.0156881977550805,-0.00178254920135663,0.0000320231796770451,0.00383312164985359,-0.0101752461469093,0.00551295160817114
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","ShootLag",0.000371094204541612,0.00924027087946555,-0.000010631843931394,0.0000941703342890526,0.00906649841883783,0.00943759262337945
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","VegTarget",0.0000415897901011148,0.00126584466437663,-0.000000955242239919496,0.0000108732920229974,0.00124788543854164,0.00128947522864275
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","LateVegTarget",0.000122864658854849,0.00352085655169143,-0.00000179324459050317,0.0000332088966455642,0.00345867668218501,0.00358154134103986
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","FloweringTarget",0.00000493517717757711,0.000104239801270611,-0.000000157364790706043,0.00000120697460838005,0.000102053015003709,0.000106988192181286
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","Population",0.0000136384923232746,0.000288132675737129,-0.000000217132554076712,0.00000359029130064125,0.000281358150696123,0.000294996643019397
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","FracPAWCmm",0.0000152093520127725,0.00023825635059016,-0.000000194130535439139,0.00000345483529432836,0.000229964916728447,0.000245174268741219
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","PAWCmm",0.00000573689211262147,0.000117349111464438,-0.000000149362200337893,0.00000129912863110709,0.000114434295786138,0.00012017118789876
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","sowingESW",0.000000000000439993870117743,0.0000000000000188737914186277,0.0000000000000547684120277836,0.000000000000107660195828815,-0.000000000000245032464264169,0.000000000000194961405853574
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","SowingDOY",0.000107149534005624,0.00265000887899902,-0.00000231174200575725,0.0000280208313862261,0.00259813660600178,0.00270528614000741
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","AvgMinT0_30",0.0153283349366841,0.492773326707978,0.0000240068806173777,0.00367660159699519,0.485986355122377,0.501314690059062
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","AvgMinT30_60",0.000545609060993223,0.0114482211275845,-0.0000135677560978847,0.000141142500250884,0.0111789669892176,0.0117245760502109
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","AvgMinT60_90",0.0000633021130381644,0.00141837237945708,-0.000000891506584835755,0.000015216047572439,0.00138931314326451,0.00145261525630267
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","AvgMaxT0_30",0.0140590713273143,0.480104499119339,0.0000397933035708453,0.00342367509597799,0.474415781100293,0.488474852427607
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","AvgMaxT30_60",0.00119455595631657,0.0276807151246335,-0.0000360827984864538,0.00029127993931299,0.0271708765489617,0.0283654325052783
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","AvgMaxT60_90",0.000206045903941472,0.00424468723525506,-0.00000197927755716133,0.0000527896797589771,0.00414637732172211,0.00435242322566358
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","Rain0_30",0.000201685298211634,0.00420481426220209,-0.00000734602296545688,0.0000544470827192318,0.00411592750332361,0.00431761280153524
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","Rain30_60",0.0000765668919510748,0.00137553060065043,-0.00000181742013083516,0.0000191118806368106,0.00134422964962819,0.00142079654157927
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","Rain60_90",0.0000190260072560772,0.000375996915694676,-0.0000000066524317810044,0.00000487979912476954,0.000367456601283824,0.000386482608539901
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","Radn0_30",0.00074227650947515,0.0169811326981868,0.00000632510099886352,0.00017378852579912,0.0166120187510974,0.0173542952605726
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","Radn30_60",0.00160980436886643,0.0389858615014393,-0.0000758711380871233,0.000441909777670515,0.0382441335095235,0.0398539378783899
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","Radn60_90",0.0000723202218493369,0.00163446980275139,-0.00000260420619874299,0.0000171335488094472,0.00160776534109802,0.00168008556294736
"ANN","Horsham","S2",50000,"FloweringDAS","FirstOrder","ShootLag",0.0202124752575497,0.0108155159660802,0.000369091775328387,0.00499302524742206,0.00078361137832015,0.0209960866358699
"ANN","Horsham","S2",50000,"FloweringDAS","FirstOrder","VegTarget",0.0209296531828787,0.0153671716259936,0.000343747472830069,0.00503571644469531,0.00580368480041455,0.0267333379832933
"ANN","Horsham","S2",50000,"FloweringDAS","FirstOrder","LateVegTarget",0.0200947367276236,0.0066017605854537,0.0000277124913429863,0.00498770014566429,-0.00390789143454568,0.016186845293078
"ANN","Horsham","S2",50000,"FloweringDAS","FirstOrder","FloweringTarget",0.0214537205618974,0.00617089080372709,0.000303482689432308,0.0050384308835107,-0.00365029963278131,0.017803420929116
"ANN","Horsham","S2",50000,"FloweringDAS","FirstOrder","Population",0.0214293884282813,0.00123761138614394,0.000293907180479537,0.00505792005520579,-0.00899694692236136,0.01243244150592
"ANN","Horsham","S2",50000,"FloweringDAS","FirstOrder","FracPAWCmm",0.0213598556517555,0.00100668995379898,0.000307998600679856,0.00503431852412133,-0.00903066642326452,0.012329189228491
"ANN","Horsham","S2",50000,"FloweringDAS","FirstOrder","PAWCmm",0.0212788652096258,0.000706694337943598,0.000303006316289786,0.00500279671016637,-0.00936178380959523,0.0119170814000306
"ANN","Horsham","S2",50000,"FloweringDAS","FirstOrder","sowingESW",0.0212446676441532,0.00106557145038627,0.000300093751124212,0.00503386175884812,-0.00897927618918609,0.0122653914549672
"ANN","Horsham","S2",50000,"FloweringDAS","FirstOrder","SowingDOY",0.0204321322405529,0.146714835569129,0.000520569401159937,0.00479085760076384,0.135820119587924,0.156252251828477
"ANN","Horsham","S2",50000,"FloweringDAS","FirstOrder","AvgMinT0_30",0.0210675428732961,0.0823803191408507,0.000279579259888751,0.00507643027606893,0.0721953047897019,0.093262847662998
"ANN","Horsham","S2",50000,"FloweringDAS","FirstOrder","AvgMinT30_60",0.0194608540225871,0.107477139463031,-0.000153371941768773,0.00476521341787319,0.097965104430907,0.117425958453494
"ANN","Horsham","S2",50000,"FloweringDAS","FirstOrder","AvgMinT60_90",0.0204799080396758,0.0369278922625337,0.000592943223837385,0.00486671528916915,0.0263003127181952,0.046780220757871
"ANN","Horsham","S2",50000,"FloweringDAS","FirstOrder","AvgMaxT0_30",0.0164711938220192,0.219388706872213,0.000225944366789632,0.00421522863827644,0.210499218877422,0.226970412699441
"ANN","Horsham","S2",50000,"FloweringDAS","FirstOrder","AvgMaxT30_60",0.0193775206613145,0.192364767534502,0.00036842751153604,0.00454273652298929,0.181964851425941,0.201342372087256
