"model","location","sowing","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","ShootLag",0.0179281150843303,0.00854038786544816,0.000369251087561034,0.00460394317592384,0.000580519023769231,0.0185086341080995
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","VegTarget",0.0172003435298327,0.000329775048502729,0.00038767917486396,0.00452192309219601,-0.00756395259724874,0.00963639093258399
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","LateVegTarget",0.0178641398497408,0.00309347695971484,0.000386474528093477,0.00468482436261416,-0.00546318741772648,0.0124009524320143
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","FloweringTarget",0.0175598335280059,-0.000401123232170372,0.000374694701767783,0.00457083521850075,-0.00830337175200426,0.00925646177600167
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","Population",0.0176696625471605,-0.000436606326168906,0.000382428229614977,0.00455633348172979,-0.00831380399245804,0.00935585855470251
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","FracPAWCmm",0.0175995991552416,-0.000543071381941918,0.000395877613326294,0.00457388066203977,-0.00849171474681094,0.00910788440843071
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","PAWCmm",0.0175479308964351,-0.000592927122695419,0.000375388078301397,0.00456140926610631,-0.00848946393954275,0.0090584669568924
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","sowingESW",0.0175676978453295,-0.000592003237293786,0.000381178971563528,0.00456812965997248,-0.00849343198134416,0.00907426586398535
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","SowingDOY",0.0185232752488645,0.00184940785030371,0.000383586961142877,0.00458479513211762,-0.00651163639515144,0.0120116388537131
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT0_30",0.0170198133568715,0.397795084557044,0.000170580221991401,0.00437749696789733,0.388630677457621,0.405650490814493
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT30_60",0.0185454522296563,0.00359108898297156,0.000288678140907174,0.0045742834439053,-0.00483245685517596,0.0137129953744803
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT60_90",0.0176086586500202,0.000145698819426138,0.000390320559466806,0.00460552560214861,-0.00782145690330864,0.00978720174671152
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT0_30",0.017256419885407,0.39951522758232,0.0000745150962948027,0.0042900306863909,0.39123940244644,0.408495822331847
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT30_60",0.0182899659648831,0.0236836708433683,0.000508453567410781,0.00454793711877858,0.0151065089263246,0.0333964748912076
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT60_90",0.0174787987023823,0.00269780631020706,0.000343249030202008,0.00459012464098641,-0.00533453896246097,0.0121442597399213
