"model","location","sowing","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","ShootLag",0.0190762056945975,0.0183862835767548,0.000333669368765745,0.00452109327749517,0.00862212700196723,0.0276983326965647
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","VegTarget",0.0182628362556144,0.0107325245863838,0.000262175237470923,0.00447610653201319,0.00106958839465703,0.0193324246502714
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","LateVegTarget",0.0178927620871668,0.0133242835002367,0.000243392401499908,0.00448361016437527,0.00415615547073007,0.0220489175578968
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","FloweringTarget",0.0184784680522836,0.00975049221317228,0.000248719596316369,0.00451852193777762,-0.00000297033022661833,0.018475497722057
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Population",0.0184179603760323,0.00957854785230464,0.000259341701275916,0.00449510415977052,-0.000262368527404879,0.0181555918486274
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","FracPAWCmm",0.0184159594595127,0.00988571754679495,0.000253652961262266,0.00450981181486835,0.000261975265007111,0.0186779347245198
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","PAWCmm",0.0183590420828692,0.00980370082636227,0.000250101446721197,0.00449887455130604,0.000159288825731931,0.0185183309086012
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","sowingESW",0.0183770511308427,0.00967888453218409,0.000253744181785724,0.00450320040720791,0.00000125959226721789,0.0183783107231099
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","SowingDOY",0.0186374226448828,0.0117860426902429,0.000278944557515919,0.00454395476311979,0.00206888915588522,0.020706311800768
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT0_30",0.0140456185508998,0.409767209594162,-0.0000301462865817115,0.00399363711289107,0.402299598156273,0.416345216707173
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT30_60",0.0188697681999005,0.0147430313815566,0.000365640942489115,0.0044979679720313,0.00468601632216269,0.0235557845220632
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT60_90",0.0180149259420047,0.0101415231514276,0.000237189303303789,0.00450064904914372,0.000661883597103882,0.0186768095391086
