"model","location","sowing","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","ShootLag",0.0181365201971548,0.0155501815619481,0.000811295878797589,0.0044910016246547,0.00449603174747512,0.0226325519446299
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","VegTarget",0.0181741970112376,0.00876001883034759,0.000746737532593923,0.00459007275099453,-0.00229314371491252,0.0158810532963251
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","LateVegTarget",0.0176848373574666,0.0101862851314455,0.000795971675330829,0.00459832899409321,-0.000756713066322943,0.0169281242911436
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","FloweringTarget",0.0182342164040104,0.00755910732135049,0.000762659098185093,0.00460519383127813,-0.00361568101528195,0.0146185353887285
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","Population",0.018202053620174,0.00725110501236084,0.000759460004057778,0.00460471209280159,-0.00381840903362095,0.014383644586553
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","FracPAWCmm",0.0183434655731797,0.00767678921480541,0.000781305157251065,0.00460012944458897,-0.00343048016224452,0.0149129854109352
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","PAWCmm",0.0183741417252535,0.00760049905432405,0.000775720156767984,0.00460492037138449,-0.00354930322151945,0.0148248385037341
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","sowingESW",0.0183040282591898,0.00741063049028117,0.000761006235780909,0.00460524788802959,-0.0037271754062609,0.0145768528529289
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","SowingDOY",0.0186291582397144,0.00958935538254313,0.000780569007683468,0.00460436841684008,-0.0015701081526476,0.0170590500870668
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT0_30",0.0148263879741691,0.412064769080996,0.000264565709194642,0.00381724339257123,0.403889044845319,0.418715432819488
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT30_60",0.017272076749082,0.0131895519502181,0.000745253117755583,0.00452390257804058,0.00258058986763007,0.019852666616712
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT60_90",0.0181036599896887,0.00798253993225291,0.000735969902657117,0.00461156510456169,-0.00312590604189898,0.0149777539477898
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT0_30",0.0183656953229802,0.402790225611212,0.00000683838994197661,0.00430337987287251,0.393036660160472,0.411402355483452
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT30_60",0.019514196635982,0.0314075013340835,0.000691493042897874,0.00474353022336533,0.0195175404383587,0.0390317370743407
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT60_90",0.0182698991756578,0.0102042563206365,0.000626776584674152,0.0045828139164462,-0.000878666228266097,0.0173912329473917
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","Rain0_30",0.0182458495125361,0.0087606418133553,0.000715181284336676,0.00459621903051806,-0.00230029692623775,0.0159455525862983
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","Rain30_60",0.0183400462243508,0.0069921324572057,0.000768340666870716,0.00463364889804664,-0.00412697944648507,0.0142130667778657
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","Rain60_90",0.0183200992499014,0.0074524223717356,0.000783966873920032,0.00461614391300952,-0.00371080760595875,0.0146092916439427
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","Radn0_30",0.0174255559465938,0.0206500070295367,0.000590079360380229,0.00462342866705234,0.0104236186082633,0.027849174554857
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","Radn30_60",0.0169465352101302,0.044877913325804,0.00108226804042787,0.00446971304229881,0.0347660865187611,0.0517126217288912
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","Radn60_90",0.0179198267628012,0.00851169095052215,0.000788502042756132,0.00456833306463508,-0.00237921784097707,0.0155406089218242
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","ShootLag",0.000321034984608833,0.00915093307455506,0.00000720936346282168,0.0000804985873327563,0.00897834989688871,0.00929938488149755
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","VegTarget",0.0000588746050184923,0.0012749893692614,0.00000139294731103302,0.0000130020070672827,0.00123989992816449,0.00129877453318298
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","LateVegTarget",0.000135719670531632,0.00349429832950898,0.00000392262054585207,0.0000318587593866579,0.00341470981186289,0.00355042948239452
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","FloweringTarget",0.00000496040496889263,0.000103063004951109,0.000000212692050113319,0.00000123725858937958,0.000100460185240843,0.000105420590209736
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","Population",0.000014951970825088,0.000295148045347693,0.000000879762294599964,0.00000366135833983426,0.000286717862346314,0.000301669833171402
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","FracPAWCmm",0.0000137741172845721,0.000240447608133132,0.000000409132686574065,0.00000334386057251498,0.000233409921122853,0.000247184038407425
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","PAWCmm",0.00000525980372846606,0.000114103688729994,0.000000369181921816569,0.00000140082996964678,0.000110733554395801,0.000115993358124267
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","sowingESW",0.00000000000045621875396473,0.00000000000000122124532708767,-0.0000000000000280631073934501,0.000000000000109942331264896,-0.000000000000179211877023341,0.000000000000277006876941389
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","SowingDOY",0.000110031858631609,0.00265011276051441,0.00000732505683622266,0.0000276821222962871,0.00258622928701947,0.00269626114565108
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","AvgMinT0_30",0.014693790227755,0.485582602748546,-0.000340536099252664,0.00391091877164477,0.478067821417871,0.492761611645626
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","AvgMinT30_60",0.000530012322112899,0.0114077729254944,0.000011792756532826,0.00012753389219021,0.0111349948600046,0.0116650071821175
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","AvgMinT60_90",0.0000588668592153552,0.00141302832826828,0.0000010086086557825,0.0000148724613082931,0.00138263429989315,0.0014415011591085
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","AvgMaxT0_30",0.0140162058834574,0.47830854922429,-0.000969399955369876,0.0034648816791218,0.472465009731154,0.486481215614612
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","AvgMaxT30_60",0.00114292646961565,0.0270940811658428,0.0000330407601480363,0.000287047924980039,0.0265664156588787,0.0277093421284943
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","AvgMaxT60_90",0.000197692327555275,0.00418613123093758,0.0000108110911829426,0.0000514034097402635,0.0040863462483386,0.00428403857589388
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","Rain0_30",0.000210285290470714,0.0041068718575209,0.00000906046328627997,0.0000518996553791596,0.00400109452035715,0.00421137981082787
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","Rain30_60",0.0000718376158702447,0.00137165547306983,0.00000207861109739684,0.0000172238708592368,0.00133167735549414,0.00140351497136438
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","Rain60_90",0.0000164202290969139,0.000372913439404154,0.00000057404981578359,0.00000461511261959072,0.000363293727455154,0.000379713956552068
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","Radn0_30",0.00070729727937863,0.016899408686577,0.0000334330048195088,0.00016302130055523,0.0164653487321206,0.0171726460114992
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","Radn30_60",0.00161625620742355,0.038635155950226,0.0000793063736791791,0.000396027501163029,0.03780564752911,0.0394219037365335
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","Radn60_90",0.0000705287463791881,0.00162526622620207,0.00000259701497298923,0.0000186730082768514,0.00158469171055538,0.00165522045693456
