"model","location","sowing","target","input","mu","mu.star","sigma"
"ANN","Emerald","S3","EmergenceDAS","Lat",-0.129242014462389,0.145641858762356,0.108325049052678
"ANN","Emerald","S3","EmergenceDAS","ShootLag",1.10523034678165,1.10523034678165,0.420866169051619
"ANN","Emerald","S3","EmergenceDAS","VegTarget",-0.446063617912719,0.446063617912719,0.107622208792789
"ANN","Emerald","S3","EmergenceDAS","LateVegTarget",-0.733315205813525,0.733315205813525,0.236017911454915
"ANN","Emerald","S3","EmergenceDAS","FloweringTarget",-0.115557125101531,0.118671002749414,0.0694779522778336
"ANN","Emerald","S3","EmergenceDAS","Population",0.00384378231933693,0.196408048167452,0.242112973758209
"ANN","Emerald","S3","EmergenceDAS","FracPAWCmm",0.546245988974893,0.555326258818843,0.221366475387094
"ANN","Emerald","S3","EmergenceDAS","PAWCmm",0.182560121823894,0.182999312449138,0.0770609905626136
"ANN","Emerald","S3","EmergenceDAS","sowingESW",-0.534899729923302,0.565542121021944,0.275826828046824
"ANN","Emerald","S3","EmergenceDAS","SowingDOY",0.567985119827054,0.575608491328158,0.30848721476698
"ANN","Emerald","S3","EmergenceDAS","AvgMinT0_30",-8.75815034069404,8.75815034069404,4.86500539950369
"ANN","Emerald","S3","EmergenceDAS","AvgMinT30_60",1.22742464369237,1.33369845914727,1.20189112439297
"ANN","Emerald","S3","EmergenceDAS","AvgMinT60_90",-0.174586092124188,0.46239440308906,0.540564427753735
"ANN","Emerald","S3","EmergenceDAS","AvgMaxT0_30",-7.05760660492608,7.05760660492608,4.80345643741269
"ANN","Emerald","S3","EmergenceDAS","AvgMaxT30_60",-1.98380836088032,1.98380836088032,0.831767598677655
"ANN","Emerald","S3","EmergenceDAS","AvgMaxT60_90",0.550973182634206,0.620895170929731,0.543637641316553
"ANN","Emerald","S3","EmergenceDAS","Rain0_30",0.312091853357979,0.720067573413036,0.836564873678991
"ANN","Emerald","S3","EmergenceDAS","Rain30_60",0.101924975380357,0.417097478331405,0.495516735413404
"ANN","Emerald","S3","EmergenceDAS","Rain60_90",-0.0203483540859423,0.216070330726201,0.278211028184229
"ANN","Emerald","S3","EmergenceDAS","Radn0_30",-1.48576644407389,1.48739253304947,0.600856976468008
"ANN","Emerald","S3","EmergenceDAS","Radn30_60",2.17578453921577,2.17588899761295,0.990023108505596
"ANN","Emerald","S3","EmergenceDAS","Radn60_90",-0.439899464612732,0.452224147592872,0.27678168338394
"ANN","Emerald","S3","FloweringDAS","Lat",-6.99829755786946,7.01811212475411,2.77800538329539
"ANN","Emerald","S3","FloweringDAS","ShootLag",3.72551089431002,3.95699194951335,2.66082465620742
"ANN","Emerald","S3","FloweringDAS","VegTarget",5.08336515416901,5.47079268495451,5.48482591339985
"ANN","Emerald","S3","FloweringDAS","LateVegTarget",1.72404101651304,6.1217516264065,8.0082101371372
"ANN","Emerald","S3","FloweringDAS","FloweringTarget",-3.14368853212286,3.18665534544901,1.70710439835413
"ANN","Emerald","S3","FloweringDAS","Population",-0.124013446371841,0.781282889048583,0.959577334391236
"ANN","Emerald","S3","FloweringDAS","FracPAWCmm",-0.55871958500467,2.69158404584799,3.30660793885367
"ANN","Emerald","S3","FloweringDAS","PAWCmm",-0.156855083226929,0.872292096324079,1.08242003175967
"ANN","Emerald","S3","FloweringDAS","sowingESW",0.378125602743427,3.33433125130055,4.06087926206124
"ANN","Emerald","S3","FloweringDAS","SowingDOY",-11.2642671379131,16.2211938301648,16.3265090942846
"ANN","Emerald","S3","FloweringDAS","AvgMinT0_30",-15.0023508970883,15.1685067907526,8.99896329319501
"ANN","Emerald","S3","FloweringDAS","AvgMinT30_60",-16.4386889163588,16.4386889163588,5.93717112238097
"ANN","Emerald","S3","FloweringDAS","AvgMinT60_90",-8.75755809068302,8.79718967354841,6.95748712789518
"ANN","Emerald","S3","FloweringDAS","AvgMaxT0_30",-19.0725396228504,19.0725396228504,7.64510693532161
"ANN","Emerald","S3","FloweringDAS","AvgMaxT30_60",-19.7986706428491,19.7986706428491,6.65293577795779
"ANN","Emerald","S3","FloweringDAS","AvgMaxT60_90",-8.57898037100136,8.70908803525463,7.80981651668596
"ANN","Emerald","S3","FloweringDAS","Rain0_30",0.75060768980534,1.35908249498248,1.5076366818749
"ANN","Emerald","S3","FloweringDAS","Rain30_60",0.80565844923329,1.04629032644201,1.02391811337358
"ANN","Emerald","S3","FloweringDAS","Rain60_90",-1.07088095130221,1.42408855929665,1.24512514257034
"ANN","Emerald","S3","FloweringDAS","Radn0_30",2.95794606944283,5.66565904335161,6.67370191491567
"ANN","Emerald","S3","FloweringDAS","Radn30_60",1.84888551111049,2.91885421688013,3.3271917005525
"ANN","Emerald","S3","FloweringDAS","Radn60_90",-1.03816649561275,3.03814980138548,3.78362897039385
"ANN","Emerald","S3","PoddingDAS","Lat",-24.0446543058825,24.0827355477229,13.4360732903639
"ANN","Emerald","S3","PoddingDAS","ShootLag",11.7345043584642,11.7345043584642,6.08810696236081
"ANN","Emerald","S3","PoddingDAS","VegTarget",4.45932252848005,6.27669869069688,6.66492063384208
"ANN","Emerald","S3","PoddingDAS","LateVegTarget",-9.49908122664549,14.9425857894978,15.2036987856372
"ANN","Emerald","S3","PoddingDAS","FloweringTarget",-1.75496727118476,5.010194860857,5.72199478918781
"ANN","Emerald","S3","PoddingDAS","Population",5.46907912342491,6.43959913290761,5.48952124180005
"ANN","Emerald","S3","PoddingDAS","FracPAWCmm",19.1819486173201,19.1819486173201,10.9918839073364
"ANN","Emerald","S3","PoddingDAS","PAWCmm",-5.40863810747706,7.27630196090177,7.86138706772087
"ANN","Emerald","S3","PoddingDAS","sowingESW",-26.5916226907344,26.5916226907344,13.7138903095677
"ANN","Emerald","S3","PoddingDAS","SowingDOY",-45.7561365963073,51.5507793920628,40.2842725385967
"ANN","Emerald","S3","PoddingDAS","AvgMinT0_30",-28.6100943443545,29.9167297367399,22.6591918221506
"ANN","Emerald","S3","PoddingDAS","AvgMinT30_60",-18.725646835962,18.9587986464359,12.2401976099659
"ANN","Emerald","S3","PoddingDAS","AvgMinT60_90",-64.5916545965263,65.7596054568198,42.3230335474107
"ANN","Emerald","S3","PoddingDAS","AvgMaxT0_30",-19.3319565092211,19.3483345378587,8.68369980342372
"ANN","Emerald","S3","PoddingDAS","AvgMaxT30_60",-25.5132186824144,25.8373080217217,21.7231169517567
"ANN","Emerald","S3","PoddingDAS","AvgMaxT60_90",-48.1588040439665,48.3149334908262,28.9460066424521
"ANN","Emerald","S3","PoddingDAS","Rain0_30",7.01577425595709,8.68844401182403,7.88964141163341
"ANN","Emerald","S3","PoddingDAS","Rain30_60",11.8695481467452,15.9298366393562,15.2600535376946
"ANN","Emerald","S3","PoddingDAS","Rain60_90",14.9175249166708,15.983253053211,12.0268213850543
"ANN","Emerald","S3","PoddingDAS","Radn0_30",6.27496430010919,16.8267116654716,18.8180843271025
"ANN","Emerald","S3","PoddingDAS","Radn30_60",8.78498215177832,13.7838931337638,13.9698543225116
"ANN","Emerald","S3","PoddingDAS","Radn60_90",-16.8857238923156,19.8347258444507,17.5287600995026
"ANN","Emerald","S3","MaturityDAS","Lat",-25.5314987332113,25.5314987332113,11.7922674421983
"ANN","Emerald","S3","MaturityDAS","ShootLag",6.6112995649632,6.61139235730213,3.88145906282092
"ANN","Emerald","S3","MaturityDAS","VegTarget",4.53814401677338,4.93891516915663,4.18660613265378
"ANN","Emerald","S3","MaturityDAS","LateVegTarget",-0.59563989199312,3.84876082582992,4.81925241446008
"ANN","Emerald","S3","MaturityDAS","FloweringTarget",1.99208725225124,2.00248196260231,1.07453072011451
"ANN","Emerald","S3","MaturityDAS","Population",2.00695720017396,3.90929710911042,4.28791716980181
"ANN","Emerald","S3","MaturityDAS","FracPAWCmm",25.1655314396833,25.1655314396833,8.22461290077744
"ANN","Emerald","S3","MaturityDAS","PAWCmm",0.101718571906016,4.24347564456322,4.84124230314521
"ANN","Emerald","S3","MaturityDAS","sowingESW",-32.4653824247107,32.4653824247107,10.1469141637062
"ANN","Emerald","S3","MaturityDAS","SowingDOY",-52.9277892149472,53.2405850005746,32.8217691627193
"ANN","Emerald","S3","MaturityDAS","AvgMinT0_30",-20.5324908417378,20.5359455263896,11.9975154044688
"ANN","Emerald","S3","MaturityDAS","AvgMinT30_60",-21.4777557517856,21.9580865234074,16.7367393514857
"ANN","Emerald","S3","MaturityDAS","AvgMinT60_90",-39.830662758585,39.830662758585,16.6837753656335
"ANN","Emerald","S3","MaturityDAS","AvgMaxT0_30",-25.4133617950953,25.4133617950953,9.31613935059107
"ANN","Emerald","S3","MaturityDAS","AvgMaxT30_60",-27.3327530627666,27.3327530627666,12.8539698747565
"ANN","Emerald","S3","MaturityDAS","AvgMaxT60_90",-46.2512488786266,46.2512488786266,15.1130402139144
"ANN","Emerald","S3","MaturityDAS","Rain0_30",2.64788886607617,3.37255283090209,3.35307873205068
"ANN","Emerald","S3","MaturityDAS","Rain30_60",7.02819763786661,9.0942775361586,9.96562454225993
"ANN","Emerald","S3","MaturityDAS","Rain60_90",8.24359025736185,8.47802939914502,6.42294799495393
"ANN","Emerald","S3","MaturityDAS","Radn0_30",0.544967565701717,6.69942969296804,7.93365355333733
"ANN","Emerald","S3","MaturityDAS","Radn30_60",-2.31827395647326,6.05259636077359,6.97932281961229
"ANN","Emerald","S3","MaturityDAS","Radn60_90",-7.81933485007731,9.82100976595055,8.76068856513172
"ANN","Emerald","S3","Biomass","Lat",125.626900093595,154.530581923225,315.232427970055
"ANN","Emerald","S3","Biomass","ShootLag",5.91740820808897,22.834675137826,36.5776721397607
