"model","location","sowing","target","input","mu","mu.star","sigma"
"ANN","Gunnedah","S1","EmergenceDAS","Lat",-0.133080925897067,0.145502874337022,0.102240386921367
"ANN","Gunnedah","S1","EmergenceDAS","ShootLag",1.12010408271767,1.12010408271767,0.424029264545804
"ANN","Gunnedah","S1","EmergenceDAS","VegTarget",-0.441392258413565,0.441392258413565,0.109926998549006
"ANN","Gunnedah","S1","EmergenceDAS","LateVegTarget",-0.729808672782976,0.729808672782976,0.235420262565056
"ANN","Gunnedah","S1","EmergenceDAS","FloweringTarget",-0.117305381396939,0.11928810152718,0.0666742338149946
"ANN","Gunnedah","S1","EmergenceDAS","Population",-0.0149050451040163,0.190991262366541,0.235015669042209
"ANN","Gunnedah","S1","EmergenceDAS","FracPAWCmm",0.544954148318744,0.554182349611484,0.225385567271037
"ANN","Gunnedah","S1","EmergenceDAS","PAWCmm",0.187500368079311,0.187855601013368,0.0753065358928412
"ANN","Gunnedah","S1","EmergenceDAS","sowingESW",-0.504940555897148,0.543372149536363,0.287390216791186
"ANN","Gunnedah","S1","EmergenceDAS","SowingDOY",0.585622526589306,0.592948988193297,0.302675653357341
"ANN","Gunnedah","S1","EmergenceDAS","AvgMinT0_30",-8.90900016693802,8.90900016693802,4.61525410430733
"ANN","Gunnedah","S1","EmergenceDAS","AvgMinT30_60",1.17838739326587,1.27098717000075,1.17810742309019
"ANN","Gunnedah","S1","EmergenceDAS","AvgMinT60_90",-0.152068257319822,0.429490999359036,0.508851752133704
"ANN","Gunnedah","S1","EmergenceDAS","AvgMaxT0_30",-7.08633390169783,7.08633390169783,4.76896517861432
"ANN","Gunnedah","S1","EmergenceDAS","AvgMaxT30_60",-2.00096683355335,2.00096683355335,0.87154038457762
"ANN","Gunnedah","S1","EmergenceDAS","AvgMaxT60_90",0.572541831809807,0.63569978285121,0.545241565342308
"ANN","Gunnedah","S1","EmergenceDAS","Rain0_30",0.332656332452331,0.691305426398732,0.797962765140308
"ANN","Gunnedah","S1","EmergenceDAS","Rain30_60",0.0914472338259523,0.436612821098411,0.52148829186396
"ANN","Gunnedah","S1","EmergenceDAS","Rain60_90",-0.0112637811267593,0.206804549600765,0.264880405623366
"ANN","Gunnedah","S1","EmergenceDAS","Radn0_30",-1.51994008989136,1.52053436411716,0.621392121676106
"ANN","Gunnedah","S1","EmergenceDAS","Radn30_60",2.15686447267207,2.15686447267207,0.996442172117825
"ANN","Gunnedah","S1","EmergenceDAS","Radn60_90",-0.433542662648087,0.452299796393708,0.289529205268966
"ANN","Gunnedah","S1","FloweringDAS","Lat",-6.89930754634434,6.92266608811668,2.80002145109715
"ANN","Gunnedah","S1","FloweringDAS","ShootLag",3.75458105889241,3.98473560853732,2.67519816654211
"ANN","Gunnedah","S1","FloweringDAS","VegTarget",5.01976872224652,5.41609675636636,5.44180207158473
"ANN","Gunnedah","S1","FloweringDAS","LateVegTarget",1.72339844481265,6.2457757338161,8.06143050581603
