"model","location","sowing","target","input","mu","mu.star","sigma"
"ANN","Gunnedah","S3","EmergenceDAS","Lat",-0.13335011514459,0.150534514090672,0.107979559593405
"ANN","Gunnedah","S3","EmergenceDAS","ShootLag",1.14757357241172,1.14757357241172,0.447143881161
"ANN","Gunnedah","S3","EmergenceDAS","VegTarget",-0.436329358480291,0.436329358480291,0.113069428063854
"ANN","Gunnedah","S3","EmergenceDAS","LateVegTarget",-0.735981427971616,0.735981427971616,0.245403276780935
"ANN","Gunnedah","S3","EmergenceDAS","FloweringTarget",-0.11076998138789,0.114046755824829,0.0686388643127473
"ANN","Gunnedah","S3","EmergenceDAS","Population",-0.00534056724646603,0.196448337267206,0.244636723276417
"ANN","Gunnedah","S3","EmergenceDAS","FracPAWCmm",0.54137871470642,0.550851347776183,0.221151315261714
"ANN","Gunnedah","S3","EmergenceDAS","PAWCmm",0.181902195912498,0.182227594101755,0.0767254591717531
"ANN","Gunnedah","S3","EmergenceDAS","sowingESW",-0.519427940458587,0.548582373846241,0.270640229785531
"ANN","Gunnedah","S3","EmergenceDAS","SowingDOY",0.597670988398538,0.604120210754,0.306411914114574
"ANN","Gunnedah","S3","EmergenceDAS","AvgMinT0_30",-9.20466041822595,9.20466041822595,4.83234710042981
"ANN","Gunnedah","S3","EmergenceDAS","AvgMinT30_60",1.21876137013464,1.32393665499484,1.20435194297733
"ANN","Gunnedah","S3","EmergenceDAS","AvgMinT60_90",-0.232482758940127,0.483032177402681,0.54125446656526
"ANN","Gunnedah","S3","EmergenceDAS","AvgMaxT0_30",-7.19483465218422,7.19483465218422,4.85967200305078
"ANN","Gunnedah","S3","EmergenceDAS","AvgMaxT30_60",-2.01808620449326,2.01808620449326,0.843874379581608
"ANN","Gunnedah","S3","EmergenceDAS","AvgMaxT60_90",0.554427182638215,0.622698709965406,0.546629306378986
"ANN","Gunnedah","S3","EmergenceDAS","Rain0_30",0.334137856405295,0.704515498623294,0.792939943972451
"ANN","Gunnedah","S3","EmergenceDAS","Rain30_60",0.112470234874122,0.435436771717673,0.521621416336107
"ANN","Gunnedah","S3","EmergenceDAS","Rain60_90",-0.00562244536720699,0.205602626089774,0.261935441609708
"ANN","Gunnedah","S3","EmergenceDAS","Radn0_30",-1.48821561627342,1.4886878514961,0.596400373290318
