"model","location","sowing","target","input","mu","mu.star","sigma"
"ANN","Horsham","S1","EmergenceDAS","Lat",-0.13503489239778,0.152271831601918,0.110219496125479
"ANN","Horsham","S1","EmergenceDAS","ShootLag",1.12342325213514,1.12342325213514,0.431920931772406
"ANN","Horsham","S1","EmergenceDAS","VegTarget",-0.445494416630318,0.445494416630318,0.112465811361807
"ANN","Horsham","S1","EmergenceDAS","LateVegTarget",-0.732943854376998,0.732943854376998,0.248210448843065
"ANN","Horsham","S1","EmergenceDAS","FloweringTarget",-0.119964296416002,0.122143810547137,0.0674579071496058
"ANN","Horsham","S1","EmergenceDAS","Population",-0.00622071282380163,0.196772512862409,0.243067259895287
"ANN","Horsham","S1","EmergenceDAS","FracPAWCmm",0.557148686445118,0.564545417596883,0.224976276894575
"ANN","Horsham","S1","EmergenceDAS","PAWCmm",0.182420729996488,0.183080135874908,0.0775561605617013
"ANN","Horsham","S1","EmergenceDAS","sowingESW",-0.515750107739089,0.548708281779004,0.281182245537673
"ANN","Horsham","S1","EmergenceDAS","SowingDOY",0.592926266126415,0.597239845900993,0.295029586604768
"ANN","Horsham","S1","EmergenceDAS","AvgMinT0_30",-8.78664537637653,8.78664537637653,4.61014887941951
"ANN","Horsham","S1","EmergenceDAS","AvgMinT30_60",1.21227117407827,1.30612793969144,1.18238396763526
"ANN","Horsham","S1","EmergenceDAS","AvgMinT60_90",-0.183358101201091,0.452583841394103,0.532773927361498
"ANN","Horsham","S1","EmergenceDAS","AvgMaxT0_30",-7.31158825704741,7.31158825704741,4.93207690547883
"ANN","Horsham","S1","EmergenceDAS","AvgMaxT30_60",-1.9887375370041,1.9887375370041,0.835062749196698
"ANN","Horsham","S1","EmergenceDAS","AvgMaxT60_90",0.572622763524999,0.643057526168102,0.548414482565575
"ANN","Horsham","S1","EmergenceDAS","Rain0_30",0.36423647780731,0.723996941051691,0.808298574622212
"ANN","Horsham","S1","EmergenceDAS","Rain30_60",0.0845429096575745,0.417161865044396,0.506600074067513
"ANN","Horsham","S1","EmergenceDAS","Rain60_90",-0.0202430866104489,0.204716965632601,0.261202137247719
"ANN","Horsham","S1","EmergenceDAS","Radn0_30",-1.54311193353642,1.54351881867736,0.615961123716455
"ANN","Horsham","S1","EmergenceDAS","Radn30_60",2.20893333918677,2.20893333918677,1.00182124579232
"ANN","Horsham","S1","EmergenceDAS","Radn60_90",-0.432695591974328,0.446464057942974,0.272242968855154
"ANN","Horsham","S1","FloweringDAS","Lat",-6.96577140227627,6.99889479168531,2.77386693666318
"ANN","Horsham","S1","FloweringDAS","ShootLag",3.76257923092283,4.03089576323379,2.67506372991165
"ANN","Horsham","S1","FloweringDAS","VegTarget",5.04093826049478,5.43823182959187,5.49476181469294
"ANN","Horsham","S1","FloweringDAS","LateVegTarget",1.83898418528567,5.88751626606545,7.59818872014196
"ANN","Horsham","S1","FloweringDAS","FloweringTarget",-3.22036489693475,3.26500224972777,1.67239878792314
"ANN","Horsham","S1","FloweringDAS","Population",-0.167632148158603,0.79364779294219,0.958951671091736
"ANN","Horsham","S1","FloweringDAS","FracPAWCmm",-0.351774787843189,2.62116752973631,3.23937870896014
"ANN","Horsham","S1","FloweringDAS","PAWCmm",-0.112905171238239,0.852313664151625,1.07028632464788
"ANN","Horsham","S1","FloweringDAS","sowingESW",0.238362908947238,3.25262775497561,3.99404890543065
"ANN","Horsham","S1","FloweringDAS","SowingDOY",-12.0641747788021,17.0081816387018,16.6691329048063
"ANN","Horsham","S1","FloweringDAS","AvgMinT0_30",-14.2780043754679,14.4042788527323,8.57761006929233
"ANN","Horsham","S1","FloweringDAS","AvgMinT30_60",-16.2279307260396,16.2279307260396,5.43839535965973
"ANN","Horsham","S1","FloweringDAS","AvgMinT60_90",-8.05651141613885,8.09029052709936,6.87755499855476
"ANN","Horsham","S1","FloweringDAS","AvgMaxT0_30",-19.1956811180527,19.1956811180527,7.80513645209298
"ANN","Horsham","S1","FloweringDAS","AvgMaxT30_60",-19.7166884906479,19.7166884906479,6.28385401738956
"ANN","Horsham","S1","FloweringDAS","AvgMaxT60_90",-8.23066716761775,8.40352270865188,7.49109826443714
"ANN","Horsham","S1","FloweringDAS","Rain0_30",0.688078584592654,1.38768756156688,1.59180547045649
"ANN","Horsham","S1","FloweringDAS","Rain30_60",0.829640158884722,1.06895667990512,1.07221735940447
"ANN","Horsham","S1","FloweringDAS","Rain60_90",-1.14429429160907,1.46292735013315,1.21084245500526
"ANN","Horsham","S1","FloweringDAS","Radn0_30",3.06197567360676,5.63361081497857,6.33318809424088
"ANN","Horsham","S1","FloweringDAS","Radn30_60",1.98176626363792,2.92393426376555,3.07475710521253
"ANN","Horsham","S1","FloweringDAS","Radn60_90",-1.08911445936065,3.19910640652761,3.93768987092039
"ANN","Horsham","S1","PoddingDAS","Lat",-23.4667028189118,23.4970444722907,13.7316775340695
"ANN","Horsham","S1","PoddingDAS","ShootLag",11.5703490313339,11.5703490313339,5.92641805723795
"ANN","Horsham","S1","PoddingDAS","VegTarget",4.22439609985006,6.09712181368673,6.53310831729979
"ANN","Horsham","S1","PoddingDAS","LateVegTarget",-9.46184801986512,14.9804587066596,15.4831768235599
"ANN","Horsham","S1","PoddingDAS","FloweringTarget",-1.86183596000295,5.1272743598878,5.83808927165168
"ANN","Horsham","S1","PoddingDAS","Population",5.42857296862456,6.38289935806016,5.34531761030665
"ANN","Horsham","S1","PoddingDAS","FracPAWCmm",19.1319033979612,19.1319033979612,11.1585218169672
"ANN","Horsham","S1","PoddingDAS","PAWCmm",-5.55815565078678,7.33516597082364,7.93078750069739
"ANN","Horsham","S1","PoddingDAS","sowingESW",-25.0817768359116,25.0817768359116,12.879309365087
"ANN","Horsham","S1","PoddingDAS","SowingDOY",-46.0927090344861,51.641627498648,39.8436608818966
"ANN","Horsham","S1","PoddingDAS","AvgMinT0_30",-28.06758640835,29.3994629187047,22.502433306403
"ANN","Horsham","S1","PoddingDAS","AvgMinT30_60",-18.3310894960736,18.6739388818853,12.3762515099845
