"model","location","sowing","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"ANN","Emerald","S1",1e+05,"EmergenceDAS","FirstOrder","ShootLag",0.0135053579086865,0.318338373751121,-0.000354516803526994,0.00313797741619208,0.312202910388604,0.32570826829729
"ANN","Emerald","S1",1e+05,"EmergenceDAS","FirstOrder","VegTarget",0.0152892491203271,0.110224839129806,0.000433149702527363,0.00340290448852349,0.102698132300764,0.117987381421091
"ANN","Emerald","S1",1e+05,"EmergenceDAS","FirstOrder","LateVegTarget",0.0121703918371057,0.366109121823843,0.000266550024265011,0.0028878071182345,0.35925893452966,0.371429326366766
"ANN","Emerald","S1",1e+05,"EmergenceDAS","FirstOrder","FloweringTarget",0.015668332089704,0.00963210490229222,9.74957974200861e-05,0.00358815934317755,0.0012191419416889,0.0168874740313929
"ANN","Emerald","S1",1e+05,"EmergenceDAS","FirstOrder","Population",0.0146872157381823,0.00231181252550507,8.97929121048196e-05,0.00358376345148759,-0.00540953379466805,0.0092776819435142
"ANN","Emerald","S1",1e+05,"EmergenceDAS","FirstOrder","FracPAWC",0.0144637836526509,0.192197723962602,-4.56292418581361e-05,0.00328015679056615,0.184197593312717,0.198661376965368
"ANN","Emerald","S1",1e+05,"EmergenceDAS","TotalEffects","ShootLag",0.00641353783605081,0.320167386008247,9.30871619876927e-05,0.00157280247589518,0.317219896935687,0.323633434771738
"ANN","Emerald","S1",1e+05,"EmergenceDAS","TotalEffects","VegTarget",0.00240094132178871,0.111573145184145,6.62475539447704e-05,0.000614588392711176,0.110297089556929,0.112698030878718
"ANN","Emerald","S1",1e+05,"EmergenceDAS","TotalEffects","LateVegTarget",0.00911077578727143,0.367343867372534,6.04352466395675e-05,0.00192682114222152,0.363241296342551,0.372352072129822
"ANN","Emerald","S1",1e+05,"EmergenceDAS","TotalEffects","FloweringTarget",0.000279991139331586,0.0101478123984039,-4.44885568920764e-07,5.84303168868571e-05,0.0100042708070742,0.0102842619464058
"ANN","Emerald","S1",1e+05,"EmergenceDAS","TotalEffects","Population",5.58103735963521e-05,0.0025194111117719,6.63267629833365e-07,1.39812721507309e-05,0.00248929042519887,0.00254510079879523
"ANN","Emerald","S1",1e+05,"EmergenceDAS","TotalEffects","FracPAWC",0.00384668857259429,0.193600462390774,1.50304105827892e-05,0.00099783889964607,0.191813393267811,0.195660081840405
"ANN","Emerald","S1",1e+05,"FloweringDAS","FirstOrder","ShootLag",0.011722288097269,0.0179095750875567,-0.000405933243824857,0.00310272502354705,0.0119838724883626,0.0237061605856317
"ANN","Emerald","S1",1e+05,"FloweringDAS","FirstOrder","VegTarget",0.0126827749322632,0.144596605985721,-6.59206277590363e-05,0.00298366926040533,0.137712759293786,0.150395534226049
"ANN","Emerald","S1",1e+05,"FloweringDAS","FirstOrder","LateVegTarget",0.00960173878242299,0.225785847828078,-0.000411128772165759,0.00259135623977023,0.221228382225315,0.230830121007738
"ANN","Emerald","S1",1e+05,"FloweringDAS","FirstOrder","FloweringTarget",0.0119237496551262,0.120219092667733,-0.000308558447063706,0.00317504724358548,0.114273161648392,0.126196911303518
"ANN","Emerald","S1",1e+05,"FloweringDAS","FirstOrder","Population",0.0113926731577854,0.00978326046058239,-0.000360461421224756,0.00315472663046883,0.00405072164951506,0.0154433948073004
"ANN","Emerald","S1",1e+05,"FloweringDAS","FirstOrder","FracPAWC",0.00876313238416471,0.469912687060775,-0.000427625474283155,0.00220880367598863,0.466198526716752,0.474961659100916
"ANN","Emerald","S1",1e+05,"FloweringDAS","TotalEffects","ShootLag",0.000520296653054041,0.0212042272689993,-8.51898078173957e-07,0.000133551031954427,0.0209324890825845,0.0214527857356385
"ANN","Emerald","S1",1e+05,"FloweringDAS","TotalEffects","VegTarget",0.00420337017078265,0.164778284222666,0.000264647639585641,0.000972482875485255,0.162363869446769,0.166567239617551
"ANN","Emerald","S1",1e+05,"FloweringDAS","TotalEffects","LateVegTarget",0.00499320492816621,0.236487203287936,-0.000131112202164163,0.00125834044964864,0.234336131653546,0.239329336581712
"ANN","Emerald","S1",1e+05,"FloweringDAS","TotalEffects","FloweringTarget",0.00269129911981568,0.11815665078263,3.75958579716673e-05,0.000631644092164665,0.116613162694703,0.119304461814519
"ANN","Emerald","S1",1e+05,"FloweringDAS","TotalEffects","Population",0.000198320572920296,0.00903046907307037,1.19073908886463e-06,5.03629984352169e-05,0.00894555041604492,0.00914387098896522
"ANN","Emerald","S1",1e+05,"FloweringDAS","TotalEffects","FracPAWC",0.00984086533269762,0.464572150003163,-8.79708227337628e-05,0.0023602068405934,0.459550257785526,0.469391123118224
"ANN","Emerald","S1",1e+05,"PoddingDAS","FirstOrder","ShootLag",0.0119719170182208,0.175680576532978,0.000233512230485788,0.00294403864530374,0.169302660276647,0.181274577294868
"ANN","Emerald","S1",1e+05,"PoddingDAS","FirstOrder","VegTarget",0.0124967265339403,0.113537416388125,-3.1227872190176e-05,0.00318722920111052,0.107092576525616,0.119589303059556
"ANN","Emerald","S1",1e+05,"PoddingDAS","FirstOrder","LateVegTarget",0.0113409475240881,0.0117104000423284,6.54687556425095e-05,0.00303694784378287,0.00569366350686744,0.0170346110309556
"ANN","Emerald","S1",1e+05,"PoddingDAS","FirstOrder","FloweringTarget",0.0110865063530251,0.00714844786529405,0.00010652673617443,0.00305282319364999,0.0013959812655728,0.0124824876185979
"ANN","Emerald","S1",1e+05,"PoddingDAS","FirstOrder","Population",0.0114964218522704,0.021300361906637,9.2083492975549e-05,0.00307871672495055,0.0156735742935292,0.0271699961457996
"ANN","Emerald","S1",1e+05,"PoddingDAS","FirstOrder","FracPAWC",0.00661356483774078,0.686143372379957,5.28141463403964e-05,0.00151581620530457,0.682393820710103,0.689007385547843
"ANN","Emerald","S1",1e+05,"PoddingDAS","TotalEffects","ShootLag",0.00375531626490502,0.17317977103162,0.000170436043660183,0.000929927943369644,0.171022008485618,0.174777324750523
"ANN","Emerald","S1",1e+05,"PoddingDAS","TotalEffects","VegTarget",0.00222847593115967,0.105819058670564,7.14212797948699e-05,0.000538324573495422,0.104572841104033,0.106801317035193
"ANN","Emerald","S1",1e+05,"PoddingDAS","TotalEffects","LateVegTarget",0.000510000299343224,0.0196739934994202,7.59322572697549e-06,0.000142042220513272,0.0194022649512725,0.0199122652506157
