"model","location","sowing","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"ANN","Emerald","S2",1e+05,"EmergenceDAS","FirstOrder","ShootLag",0.013384991066924,0.0110020871895339,5.49734617319754e-05,0.00311255240338341,0.00391339162633992,0.0172983826932639
"ANN","Emerald","S2",1e+05,"EmergenceDAS","FirstOrder","VegTarget",0.0135075333761113,0.00426792910609429,2.33255216806512e-05,0.00315048957597318,-0.00280189430621935,0.0107056390698919
"ANN","Emerald","S2",1e+05,"EmergenceDAS","FirstOrder","LateVegTarget",0.0136980596974104,0.0061932254765572,5.79515145218666e-05,0.00317914678621129,-0.00102602296799191,0.0126720367294185
"ANN","Emerald","S2",1e+05,"EmergenceDAS","FirstOrder","FloweringTarget",0.013476468814614,0.0030276057742626,9.92820975268026e-06,0.00316303651827653,-0.00398645852761081,0.00949001028700318
"ANN","Emerald","S2",1e+05,"EmergenceDAS","FirstOrder","Population",0.0135317377120245,0.00281981615568522,1.10246458374379e-05,0.00316087147225226,-0.0042693019066525,0.00926243580537198
"ANN","Emerald","S2",1e+05,"EmergenceDAS","FirstOrder","FracPAWCmm",0.013564357415514,0.00301988334005268,3.51096109473229e-05,0.0031729074062919,-0.00411267564756618,0.00945168176794785
"ANN","Emerald","S2",1e+05,"EmergenceDAS","FirstOrder","PAWCmm",0.0136320170040066,0.00311212941362132,2.39112154971984e-05,0.00316990406129571,-0.00399231047975623,0.00963970652425033
"ANN","Emerald","S2",1e+05,"EmergenceDAS","FirstOrder","sowingESW",0.0135477462692141,0.00295392260774004,1.67963496306347e-05,0.00316564764668694,-0.00410511151608033,0.00944263475313373
"ANN","Emerald","S2",1e+05,"EmergenceDAS","FirstOrder","SowingDOY",0.0139095786338118,0.00526295492349222,2.39822968025631e-05,0.00317567020770413,-0.00209075328795015,0.0118188253458617
"ANN","Emerald","S2",1e+05,"EmergenceDAS","FirstOrder","AvgMinT0_30",0.0110930665347271,0.402713442118286,0.000239966432233174,0.00270234824453378,0.397098267967539,0.408191334502266
"ANN","Emerald","S2",1e+05,"EmergenceDAS","FirstOrder","AvgMinT30_60",0.0135446293314337,0.00774166957747537,-5.63867555788081e-05,0.00320452519182678,0.000765726979049816,0.0143103563104836
"ANN","Emerald","S2",1e+05,"EmergenceDAS","FirstOrder","AvgMinT60_90",0.0136929394272824,0.00338878698835029,1.93767384605234e-05,0.00315065446491768,-0.00373811357440827,0.00995482585287415
"ANN","Emerald","S2",1e+05,"EmergenceDAS","FirstOrder","AvgMaxT0_30",0.0123381898822523,0.398016260416996,-0.000374859413435291,0.00327348908849926,0.392159927903163,0.404498117785415
"ANN","Emerald","S2",1e+05,"EmergenceDAS","FirstOrder","AvgMaxT30_60",0.0130732748006847,0.0272564740262383,6.29220388096569e-05,0.00312312819327448,0.0201274347894584,0.0332007095901431
"ANN","Emerald","S2",1e+05,"EmergenceDAS","FirstOrder","AvgMaxT60_90",0.0136683567456701,0.00566679830044212,3.76480065814953e-05,0.0031359905452392,-0.00147499497449074,0.0121933617711794
"ANN","Emerald","S2",1e+05,"EmergenceDAS","FirstOrder","Rain0_30",0.0139812219040847,0.00512814661220438,-5.60485193708982e-05,0.00320731256057566,-0.00201154175741756,0.0119696801466672
"ANN","Emerald","S2",1e+05,"EmergenceDAS","FirstOrder","Rain30_60",0.0135164765063045,0.00321572887661392,1.10994170172615e-05,0.00315599868715937,-0.00378913275617931,0.00972734375012518
"ANN","Emerald","S2",1e+05,"EmergenceDAS","FirstOrder","Rain60_90",0.0134663001357554,0.00290487949585402,5.49695747224452e-06,0.00315876496105045,-0.0041182585551186,0.00934804158063682
"ANN","Emerald","S2",1e+05,"EmergenceDAS","FirstOrder","Radn0_30",0.0134528650545994,0.019144959543488,2.04519323591459e-05,0.00318361217071198,0.0118495471579684,0.0253024122125677
"ANN","Emerald","S2",1e+05,"EmergenceDAS","FirstOrder","Radn30_60",0.0142809152990335,0.0358442317527775,-6.82311970610222e-05,0.0032491578875914,0.0283315566978578,0.0426124719968913
"ANN","Emerald","S2",1e+05,"EmergenceDAS","FirstOrder","Radn60_90",0.0136041674868302,0.00416355892776518,2.37061564818102e-05,0.00316665474165033,-0.00291210743092405,0.0106920600559062
"ANN","Emerald","S2",1e+05,"EmergenceDAS","TotalEffects","ShootLag",0.000279354658131678,0.00926840961586284,-1.33848282115288e-06,6.81635328805621e-05,0.00913690985485277,0.00941626451298445
