"model","location","sowing","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"ANN","Emerald","S2",10000,"EmergenceDAS","FirstOrder","Lat",0.0392087245093024,0.010176711257881,-0.000968749863852071,0.0099392852822722,-0.0109318123151153,0.028276912194187
"ANN","Emerald","S2",10000,"EmergenceDAS","FirstOrder","ShootLag",0.0397284822660214,0.0178486847121697,-0.000791994521896336,0.0100877225474231,-0.00322145346002244,0.0365070288059989
"ANN","Emerald","S2",10000,"EmergenceDAS","FirstOrder","VegTarget",0.0393008769902161,0.0110788590624243,-0.000851177316780753,0.00998846650790788,-0.00992024031795067,0.0293806366722655
"ANN","Emerald","S2",10000,"EmergenceDAS","FirstOrder","LateVegTarget",0.0395561652977966,0.0121392339744585,-0.000836501774176133,0.00997717690210178,-0.00879254522275729,0.0307636200750393
"ANN","Emerald","S2",10000,"EmergenceDAS","FirstOrder","FloweringTarget",0.0390124140517215,0.0100642670510187,-0.000923038544231253,0.00991420346161674,-0.0107752086439727,0.0282372054077488
"ANN","Emerald","S2",10000,"EmergenceDAS","FirstOrder","Population",0.039351930188077,0.0103519283780261,-0.000922122185757469,0.00992152631589244,-0.010667041561672,0.028684888626405
"ANN","Emerald","S2",10000,"EmergenceDAS","FirstOrder","FracPAWCmm",0.0397336444995741,0.0125574280741473,-0.000952254262856573,0.00992196199928591,-0.00899382786660337,0.0307398166329707
"ANN","Emerald","S2",10000,"EmergenceDAS","FirstOrder","PAWCmm",0.0393935525255153,0.0100747735323085,-0.000907104846355252,0.00993505038880697,-0.011264461947004,0.0281290905785113
"ANN","Emerald","S2",10000,"EmergenceDAS","FirstOrder","sowingESW",0.0396946146410646,0.012922336207,-0.00092220987308397,0.00982678197073099,-0.00806542706969958,0.031629187571365
"ANN","Emerald","S2",10000,"EmergenceDAS","FirstOrder","SowingDOY",0.0397477373474334,0.0118150453308997,-0.000795761493873968,0.00992628231119539,-0.00984020925884438,0.029907528088589
"ANN","Emerald","S2",10000,"EmergenceDAS","FirstOrder","AvgMinT0_30",0.0336290440029607,0.419390586932119,-0.000775481434889147,0.00875823276544519,0.404104095092237,0.437733139095197
"ANN","Emerald","S2",10000,"EmergenceDAS","FirstOrder","AvgMinT30_60",0.0398518608286171,0.0161153140507651,-0.00102823831912053,0.00998037551369761,-0.00526352511945456,0.0345883357091625
"ANN","Emerald","S2",10000,"EmergenceDAS","FirstOrder","AvgMinT60_90",0.0390567800821918,0.00998086274155066,-0.000972217128625167,0.00990641305742308,-0.0114862773003959,0.0275705027817959
"ANN","Emerald","S2",10000,"EmergenceDAS","FirstOrder","AvgMaxT0_30",0.0383622504470397,0.393857893671339,-0.00123550565442149,0.00880066096374854,0.373142680455891,0.411504930902931
"ANN","Emerald","S2",10000,"EmergenceDAS","FirstOrder","AvgMaxT30_60",0.0414209841956246,0.0351507486938328,-0.000823759147581364,0.0101578721462845,0.0120316447039807,0.0534526288996053
"ANN","Emerald","S2",10000,"EmergenceDAS","FirstOrder","AvgMaxT60_90",0.0391108109673387,0.0127064392835168,-0.000875347118854612,0.0100414319194003,-0.00878069759000897,0.0303301133773297
"ANN","Emerald","S2",10000,"EmergenceDAS","FirstOrder","Rain0_30",0.0389618464185527,0.0111468240249944,-0.000741313718992402,0.00992309683597647,-0.0102622593297199,0.0286995870888328
"ANN","Emerald","S2",10000,"EmergenceDAS","FirstOrder","Rain30_60",0.0383684771198652,0.0104543167433954,-0.000974493888609478,0.00973996346301728,-0.0103254680207837,0.0280430090990815
"ANN","Emerald","S2",10000,"EmergenceDAS","FirstOrder","Rain60_90",0.0391511327912271,0.0100968650003994,-0.000954478092377706,0.00994014751261646,-0.0107887506865461,0.028362382104681
"ANN","Emerald","S2",10000,"EmergenceDAS","FirstOrder","Radn0_30",0.0399263646455175,0.0268051339206261,-0.000774729920458454,0.00996897205173804,0.00540900809407353,0.045335372739591
"ANN","Emerald","S2",10000,"EmergenceDAS","FirstOrder","Radn30_60",0.0417681641334453,0.0438230908534333,-0.0012875344733705,0.00993023330154654,0.0220091473838501,0.0637773115172954
"ANN","Emerald","S2",10000,"EmergenceDAS","FirstOrder","Radn60_90",0.0394033561465248,0.0108815813919189,-0.000973688365417995,0.00998254155199174,-0.0103726685327126,0.0290306876138122
"ANN","Emerald","S2",10000,"EmergenceDAS","TotalEffects","Lat",0.0000127878653479292,0.000134911806660698,-0.000000342678888133336,0.00000354901508063484,0.000128627282676758,0.000141415148024687
"ANN","Emerald","S2",10000,"EmergenceDAS","TotalEffects","ShootLag",0.000850033649206747,0.00909999326608668,-0.000013755739616584,0.000199538304979668,0.00865140548509722,0.00950143913430397
"ANN","Emerald","S2",10000,"EmergenceDAS","TotalEffects","VegTarget",0.000106678115260101,0.00122455389808884,-0.00000145856889517855,0.0000256533068340331,0.00117123009725267,0.00127790821251277
"ANN","Emerald","S2",10000,"EmergenceDAS","TotalEffects","LateVegTarget",0.000362197726115831,0.00351268037508501,-0.00000834117268600811,0.0000820122731058615,0.00332878601810258,0.00369098374421841
"ANN","Emerald","S2",10000,"EmergenceDAS","TotalEffects","FloweringTarget",0.0000102416677604394,0.0000991434323724949,0.000000121903677883223,0.00000259641068144923,0.000094436576506329,0.000104678244266768
"ANN","Emerald","S2",10000,"EmergenceDAS","TotalEffects","Population",0.0000279026256866807,0.000274815312740539,0.0000000999302542048714,0.00000731595915095214,0.000260060711264453,0.000287963336951133
"ANN","Emerald","S2",10000,"EmergenceDAS","TotalEffects","FracPAWCmm",0.000217073571732312,0.00213574219207302,-0.00000635024086004373,0.0000516699783037205,0.00203434900614994,0.00225142257788225
"ANN","Emerald","S2",10000,"EmergenceDAS","TotalEffects","PAWCmm",0.0000233202006004629,0.000233261998447087,-0.000000295871385697088,0.000005994704745886,0.000221749921501758,0.000245070122102221
"ANN","Emerald","S2",10000,"EmergenceDAS","TotalEffects","sowingESW",0.000189748111135586,0.00179277638740349,-0.00000160432943175585,0.0000444925525385715,0.00169467733604332,0.0018844254471789
"ANN","Emerald","S2",10000,"EmergenceDAS","TotalEffects","SowingDOY",0.000252804112657554,0.00273906710532501,0.00000192755839278783,0.0000656654428094837,0.00260630875101436,0.00285911286367191
"ANN","Emerald","S2",10000,"EmergenceDAS","TotalEffects","AvgMinT0_30",0.033673703938909,0.497857128488524,-0.000546169257271634,0.00845282307487064,0.482513363729797,0.516187067668706
"ANN","Emerald","S2",10000,"EmergenceDAS","TotalEffects","AvgMinT30_60",0.00128372408842182,0.0110061668704341,0.0000468559830909387,0.000288343360589431,0.0103156696854042,0.011599393773826
"ANN","Emerald","S2",10000,"EmergenceDAS","TotalEffects","AvgMinT60_90",0.000148480910998423,0.0014291325876522,-0.000000482682018488993,0.0000381680224604671,0.0013551038082369,0.00150358471923533
"ANN","Emerald","S2",10000,"EmergenceDAS","TotalEffects","AvgMaxT0_30",0.0288953902835431,0.474721622762614,-0.00100258879808174,0.00694879418195422,0.460407825494865,0.489303215778408
"ANN","Emerald","S2",10000,"EmergenceDAS","TotalEffects","AvgMaxT30_60",0.00272994983642448,0.0270487592927013,-0.0000551828723590018,0.000615792890085814,0.0255726114006999,0.0283025612371244
