"model","location","sowing","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"ANN","Gunnedah","S1",10000,"EmergenceDAS","FirstOrder","Lat",0.0413601962138722,-0.00701749052887428,0.000275300570892933,0.009349039546085,-0.0288531222084741,0.0125070740053981
"ANN","Gunnedah","S1",10000,"EmergenceDAS","FirstOrder","ShootLag",0.0406270580703339,-0.000338936830595253,0.00043468924183479,0.00930719821032706,-0.0219848902648232,0.0186421678055107
"ANN","Gunnedah","S1",10000,"EmergenceDAS","FirstOrder","VegTarget",0.0409244262492191,-0.00626696857851144,0.00025626988957593,0.00930594035235323,-0.0275818081796374,0.0133426180695817
"ANN","Gunnedah","S1",10000,"EmergenceDAS","FirstOrder","LateVegTarget",0.0417789707350282,-0.00347354057443934,0.000294927891032476,0.00933118181881406,-0.0257243715521454,0.0160545991828828
"ANN","Gunnedah","S1",10000,"EmergenceDAS","FirstOrder","FloweringTarget",0.0415140204693936,-0.00707357266484418,0.000286313029320034,0.00935916723000585,-0.0290026423576687,0.012511378111725
"ANN","Gunnedah","S1",10000,"EmergenceDAS","FirstOrder","Population",0.0414082154149407,-0.00701681977244145,0.000280288001696354,0.00933019521385402,-0.0288244422915608,0.01258377312338
"ANN","Gunnedah","S1",10000,"EmergenceDAS","FirstOrder","FracPAWCmm",0.0416899064910368,-0.0053184707460912,0.000310926113048409,0.00939025110899552,-0.0273939265157422,0.0142959799752946
"ANN","Gunnedah","S1",10000,"EmergenceDAS","FirstOrder","PAWCmm",0.0413221024894045,-0.00666142062684938,0.000295503173661863,0.00933614915670579,-0.0284151386281882,0.0129069638612163
"ANN","Gunnedah","S1",10000,"EmergenceDAS","FirstOrder","sowingESW",0.0417709362453262,-0.00595692406018263,0.000316306199603094,0.00936849487788642,-0.0279795490480148,0.0137913871973114
"ANN","Gunnedah","S1",10000,"EmergenceDAS","FirstOrder","SowingDOY",0.0411164397392085,-0.0047146626328791,0.000272962321264779,0.00928366536528886,-0.0263991844132437,0.0147172553259648
"ANN","Gunnedah","S1",10000,"EmergenceDAS","FirstOrder","AvgMinT0_30",0.0346062462793358,0.393934434350994,-0.000282361931837949,0.00861909001323828,0.376430364119106,0.411036610398442
"ANN","Gunnedah","S1",10000,"EmergenceDAS","FirstOrder","AvgMinT30_60",0.039394962310618,-0.000145745882373745,0.000448133791755173,0.00918610313188494,-0.0211975187743674,0.0181974435362506
"ANN","Gunnedah","S1",10000,"EmergenceDAS","FirstOrder","AvgMinT60_90",0.0415732507530824,-0.00758019227457297,0.000183351713437896,0.00936551831988986,-0.0290291573426368,0.0125440934104456
"ANN","Gunnedah","S1",10000,"EmergenceDAS","FirstOrder","AvgMaxT0_30",0.0385271603386342,0.40224961944385,0.000484363388903564,0.00913354525238995,0.383573143775452,0.422100304114086
"ANN","Gunnedah","S1",10000,"EmergenceDAS","FirstOrder","AvgMaxT30_60",0.0429648034371376,0.0195931602506432,0.0000616633145327262,0.00948845605104873,-0.00222797022487362,0.0407368332122639
"ANN","Gunnedah","S1",10000,"EmergenceDAS","FirstOrder","AvgMaxT60_90",0.0413609331845113,-0.00444598581017052,0.000186835266641414,0.00929153633688371,-0.0269143919637734,0.0144465412207379
