"model","location","sowing","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"ANN","Horsham","S2",10000,"EmergenceDAS","FirstOrder","Lat",0.0394661064607041,-0.00174353269133097,-0.000961252234572815,0.00986950486461357,-0.0216150981155014,0.0178510083452027
"ANN","Horsham","S2",10000,"EmergenceDAS","FirstOrder","ShootLag",0.0392594282580095,0.00756057206287215,-0.000910457548742702,0.009778330814352,-0.0120387281698306,0.0272207000881789
"ANN","Horsham","S2",10000,"EmergenceDAS","FirstOrder","VegTarget",0.0397906874855552,-0.00169457607044071,-0.000940349592423927,0.00988878972447148,-0.0215647158785456,0.0182259716070096
"ANN","Horsham","S2",10000,"EmergenceDAS","FirstOrder","LateVegTarget",0.0391749559533073,0.00145712077134599,-0.00102869277523217,0.00992034504688584,-0.0180483747866875,0.0211265811666197
"ANN","Horsham","S2",10000,"EmergenceDAS","FirstOrder","FloweringTarget",0.0396751648152317,-0.0017385631167094,-0.00100062092647085,0.00986433587208287,-0.0216375898881404,0.0180375749270913
"ANN","Horsham","S2",10000,"EmergenceDAS","FirstOrder","Population",0.0396381676073213,-0.00197890970962689,-0.00097417344280955,0.00987281952734662,-0.0221213827177763,0.017516784889545
"ANN","Horsham","S2",10000,"EmergenceDAS","FirstOrder","FracPAWCmm",0.0396325602003614,0.000449960001675052,-0.000988612262302388,0.00988666559205962,-0.0191687825029314,0.02046377769743
"ANN","Horsham","S2",10000,"EmergenceDAS","FirstOrder","PAWCmm",0.0397189505963224,-0.00223734268308387,-0.00101211530630985,0.00990580076743041,-0.0221505907299685,0.0175683598663539
"ANN","Horsham","S2",10000,"EmergenceDAS","FirstOrder","sowingESW",0.0392318395401251,-0.00122722266331053,-0.000981823672712811,0.00982667754020494,-0.0205517645758239,0.0186800749643011
"ANN","Horsham","S2",10000,"EmergenceDAS","FirstOrder","SowingDOY",0.0397478466959068,0.000652316909246745,-0.00108446274134665,0.00982741982274638,-0.0191462174300509,0.0206016292658558
"ANN","Horsham","S2",10000,"EmergenceDAS","FirstOrder","AvgMinT0_30",0.036631679083229,0.41511566306927,0.000846072649275276,0.00846352115733147,0.396985888688112,0.433617567771341
"ANN","Horsham","S2",10000,"EmergenceDAS","FirstOrder","AvgMinT30_60",0.0399244472231726,0.00515283259253723,-0.00102083882064778,0.0100620404314314,-0.01493006558192,0.0249943816412527
