"model","location","sowing","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","Lat",0.0193188787901837,0.0214030741532921,-0.000126406946297643,0.0048566536245004,0.0135624952500095,0.0328813740401932
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","ShootLag",0.0197011973432481,0.0147406112802258,-0.000183641664838672,0.00479945944131198,0.00677412026911372,0.0264753176123618
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","VegTarget",0.0200466609671751,0.017295018606085,-0.000171394279599439,0.00486874510786851,0.00950145836185383,0.0295481193290289
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","LateVegTarget",0.0197709550114283,0.0133707334645755,-0.000161298172521258,0.00484527612477741,0.00548409964878108,0.0252550546602094
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","FloweringTarget",0.0198329411997688,0.0133405415065158,-0.000152894830633275,0.00483581771696868,0.0054200686503418,0.0252530098501106
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","Population",0.0197102140173165,0.013700980541497,-0.000172723104278124,0.0048459361105047,0.00588554176078628,0.0255957557781027
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","FracPAWCmm",0.0197781300245312,0.0134531276143649,-0.000152055103148148,0.00482613370897511,0.00553644487438884,0.02531457489892
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","PAWCmm",0.0197605654098871,0.0134105960387309,-0.000154887151366615,0.00483671324872869,0.00549183260954242,0.0252523980194295
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","sowingESW",0.0199392362908254,0.0155686605033158,-0.000130272712693787,0.00485509161471085,0.0078208045261223,0.0277600408169477
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","SowingDOY",0.0153625558843243,0.410452047072021,0.000186896310158835,0.00393435098739285,0.401891767254889,0.417254323139214
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT0_30",0.0198066165858185,0.0186885076625816,-0.00015996878459508,0.00488233695278345,0.00998505091216488,0.0297916674979834
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT30_60",0.0198687595442475,0.014055891382322,-0.000179583146736583,0.00484927012700925,0.00607789509759001,0.0259466546418375
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT60_90",0.0164568266797322,0.403115098116054,-0.000750617411030663,0.00411155139595377,0.395512467450629,0.411969294130361
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT0_30",0.0188810142413086,0.0381851988955677,0.0000556026756785705,0.00480745396794188,0.030422996074041,0.0493040103153497
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT30_60",0.0199388717734978,0.0162018213188227,-0.000171922234834261,0.00488017519289373,0.00799590112817435,0.0279347729016721
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT60_90",0.0193975098812259,0.0156958243295335,-0.000214959789826585,0.00489677793818255,0.00784033710942691,0.0272378469906528
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","Rain0_30",0.0198607249774863,0.0130569645556811,-0.000168874823672746,0.00489684596515437,0.00508127774530284,0.0249420027227891
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","Rain30_60",0.0197131955052362,0.0133435334889538,-0.000164001823387187,0.0048416271706,0.00547207199835996,0.0251852675035962
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","Rain60_90",0.019664159462711,0.029425675970353,-0.000199740459962326,0.00486934421889782,0.0219917333004343,0.0416558927631453
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","Radn0_30",0.0210317018767554,0.0450880668154914,-0.0000370958301956423,0.00483382767967516,0.0369865234804326,0.058018225357188
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","Radn30_60",0.0198207070398822,0.0141011719238518,-0.00014686437377162,0.00484360224841865,0.00594538702802885,0.0257660940679111
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","Radn60_90",0.0197154124111367,0.0134290302191759,-0.000154773952973232,0.00484614225644961,0.00552862617683419,0.0252440385879709
