"model","location","sowing","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","ShootLag",0.0201352867294634,0.0107538540240322,0.000680544802966232,0.00462338370331993,0.000503104492796846,0.0206383912222602
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","VegTarget",0.0199865336366776,0.00363917509152023,0.000692414447456829,0.00473559462994101,-0.00672390473578159,0.013262628900896
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","LateVegTarget",0.0207936782613551,0.00646299811466957,0.000651082863573679,0.00478413101903148,-0.00418526068371861,0.0166084175776365
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","FloweringTarget",0.0200561521463045,0.00272917174027388,0.000688518741120047,0.00472251859990579,-0.00765424324193173,0.0124019089043728
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Population",0.0201738517637072,0.00252921148714538,0.000676771990859144,0.00473125929535284,-0.00792681053022374,0.0122470412334835
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","FracPAWCmm",0.020011125358796,0.00261986562856762,0.000695421837417731,0.00473034921346033,-0.00776324176570672,0.0122478835930893
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","PAWCmm",0.0201383326729069,0.00243670882581641,0.000681806635625186,0.00473317935874406,-0.0079468585648996,0.0121914741080073
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","sowingESW",0.0201434016339249,0.00255149827113184,0.000684704172693239,0.00473040832016366,-0.00787005606985396,0.0122733455640709
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","SowingDOY",0.0198772493576584,0.00522987843343719,0.000692639289162657,0.00470054109674703,-0.005224792427947,0.0146524569297114
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT0_30",0.0146151848111091,0.404474849274479,0.000193240000792683,0.00386498966724104,0.397005207292669,0.411620392103778
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT30_60",0.0203466451457908,0.00880048043629537,0.000678437449197123,0.00473850536120075,-0.00152239179994907,0.0188242533458417
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT60_90",0.0203001660198674,0.00283721384460779,0.000706406286449828,0.00473331843230899,-0.00760205952152838,0.012698106498339
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT0_30",0.0179893139353605,0.398251199106245,0.000707694996461505,0.00461352989766493,0.389513557090693,0.407502871026053
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT30_60",0.0186820872596546,0.0260178528849853,0.000466773402487828,0.00461390433980125,0.0174620832552069,0.0361441705148614
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT60_90",0.0202218832957012,0.00510390520484023,0.000684196139842675,0.00472815725123355,-0.00540321146889653,0.0148186718268047
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Rain0_30",0.0202037747619066,0.00458505442588845,0.000731091352108739,0.00475000970808206,-0.00577878596642266,0.014424988795484
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Rain30_60",0.0199318404380497,0.00270025366776877,0.00062487905357251,0.00472985233475516,-0.00745710492407661,0.0124747355139731
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Rain60_90",0.0201645117490486,0.00261183039532269,0.000686987608795727,0.00472742224144107,-0.00785003493120868,0.0123144768178399
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Radn0_30",0.0205519355851143,0.0179811880179953,0.000839056957514742,0.00471325290292908,0.00749463249259908,0.0280465680777134
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Radn30_60",0.0189676581947305,0.0378216947383257,0.00060591833627676,0.00461036344521111,0.0287627319294488,0.0477303901241793
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Radn60_90",0.0199084366649569,0.0038852817375656,0.000658654429025028,0.00469916908250249,-0.00649102882673948,0.0134174078382174
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","ShootLag",0.000297757059953406,0.00917538399283502,-0.0000175016673313461,0.0000834808249381415,0.00904030093056679,0.0093380579905202
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","VegTarget",0.0000486089269267551,0.00128124035063915,-0.00000178883923970135,0.0000118805998536203,0.00125553860507776,0.00130414753200452
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","LateVegTarget",0.000133417061006174,0.00356143814792054,-0.00000427532850461694,0.0000345602842196042,0.00350277100156993,0.0036361880625761
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","FloweringTarget",0.00000442823585942848,0.000101463566626769,-0.0000000724597260959319,0.00000107439775004767,0.0000994293663395066,0.000103857602198935
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","Population",0.0000145040717268965,0.000285071497615808,-0.000000469944891161582,0.00000363253640828976,0.000277351210210357,0.000291855281937253
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","FracPAWCmm",0.0000131345843876222,0.000252604688428137,-0.000000506914027776913,0.00000306094117525722,0.000246340322629375,0.000259474907016997
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","PAWCmm",0.00000541712968369276,0.000122883343775748,-0.000000166729562131043,0.00000126866166296901,0.000120276853153252,0.000125693982836945
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","sowingESW",0.000000000000453965476210235,0.0000000000000608402217494586,-0.0000000000000396971344684971,0.000000000000110123472495167,-0.0000000000000844519982400637,0.000000000000369513477970171
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","SowingDOY",0.000105060338547433,0.00276666510806822,-0.00000233385963763558,0.0000268263880965742,0.00272176999946955,0.00282683033801698
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","AvgMinT0_30",0.0158756454938906,0.492262783360895,0.0000904792235484342,0.00343371896565653,0.483018733573358,0.498894379067249
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","AvgMinT30_60",0.000514804793203509,0.0113686504757202,-0.0000132178920380262,0.000129335613423906,0.0111432492763296,0.0116580540695331
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","AvgMinT60_90",0.0000701215803658301,0.00146646670853756,-0.0000017656856687821,0.0000164143413851751,0.00142844558250558,0.00149856716287141
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","AvgMaxT0_30",0.0163324112215254,0.479010832131037,0.000263576540033006,0.00341988058053762,0.470574590129641,0.486907001351166
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","AvgMaxT30_60",0.00102938421147209,0.0274164580570576,-0.0000489102056752538,0.000260143547384833,0.0269339484980077,0.0279633327094798
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","AvgMaxT60_90",0.000212488261042673,0.00408868725970812,-0.00000417680272542329,0.0000524224584574637,0.0039774408151985,0.00418992907624117
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","Rain0_30",0.000229267304570924,0.00431240891606099,-0.00000688494188695078,0.0000551263899766765,0.00420319601741572,0.00443246332198664
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","Rain30_60",0.0000659423201945764,0.00135184661321286,-0.00000116836148478803,0.00001647779771143,0.00132136175010855,0.00138730407030312
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","Rain60_90",0.0000228523803599441,0.000367782020535667,-0.000000780550739019035,0.00000548061499809913,0.000357605563142903,0.000380457943502847
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","Radn0_30",0.000658672155432791,0.0173696782500672,-0.0000319289645678567,0.000166359334321772,0.0170654769749175,0.0177241491303503
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","Radn30_60",0.0016465089315952,0.0385659449085599,-0.0000381765833595005,0.000388409985324362,0.0377870015041703,0.0394335104357655
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","Radn60_90",0.0000780817979200894,0.00158463083547111,-0.00000160912240137817,0.000019014020496841,0.00154866387960251,0.0016267456775226
"ANN","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","ShootLag",0.0199660594662283,0.0101334622777771,-0.000258405116970169,0.00476382831312051,0.000972410839536031,0.0209384703057643
"ANN","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","VegTarget",0.0180770560445719,0.010049213158516,-0.0000269050321552496,0.00459376617194585,0.00216217157354957,0.0202392276181215
"ANN","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","LateVegTarget",0.0173378826506629,0.001712402656722,-0.0000701753914496206,0.00460958879081725,-0.00626715583947907,0.0110707268111839
"ANN","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","FloweringTarget",0.019519942464851,0.00538904232596013,-0.000194699674287374,0.00482349959514236,-0.00362537916068205,0.015894563304169
"ANN","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","Population",0.0192654801460028,-0.0011900975211317,-0.0000926609634991761,0.00475555231942924,-0.0103353598885035,0.00893012025749932
"ANN","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","FracPAWCmm",0.0192525875691909,-0.00116607488281829,-0.0000876868351705341,0.00477477554870901,-0.0102485266549491,0.00900406091424178
"ANN","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","PAWCmm",0.0193667522205722,-0.00138485366463334,-0.000118760362463422,0.00479420988044793,-0.0104149594870877,0.00895179273348447
"ANN","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","sowingESW",0.0193648907416035,-0.00123251942816351,-0.0000923971953789048,0.00477520548227625,-0.0103921488584159,0.00897274188318759
"ANN","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","SowingDOY",0.0170977125022146,0.114467481961261,0.0000200346603871637,0.00470569739695881,0.10591391155761,0.123011624059825
"ANN","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","AvgMinT0_30",0.0187380309319809,0.087294532957201,0.0000767667008504808,0.00478694034139209,0.077455896590957,0.096193927522938
"ANN","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","AvgMinT30_60",0.0201806258710409,0.103297625606395,-0.0002527655223757,0.00483489107909991,0.093169638838476,0.113350264709517
"ANN","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","AvgMinT60_90",0.0204294426713089,0.0391960579147059,-0.000258485662197425,0.0048364975831058,0.0297952905574972,0.0502247332288061
"ANN","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","AvgMaxT0_30",0.0161283289839065,0.232930346630135,0.000528675897152997,0.00392130396974449,0.225239992254663,0.24136832123857
"ANN","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","AvgMaxT30_60",0.0164992277224261,0.202112075809041,0.000254401277108435,0.00406518531113801,0.193765578065147,0.210264805787573
"ANN","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","AvgMaxT60_90",0.0207720701448471,0.0439566066240605,-0.0000529065265636522,0.00504298383291782,0.0344376462690509,0.0552097164138981
"ANN","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","Rain0_30",0.0197597077053347,-0.000904556088776565,-0.0000950048223141894,0.00480425659790725,-0.0105477211941987,0.00921198651113606
"ANN","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","Rain30_60",0.019657568990973,-0.00100198031954463,-0.00013860933215753,0.00482080690520424,-0.0103142686173186,0.00934330037365432
"ANN","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","Rain60_90",0.0195825804180217,-0.000500862466492301,-0.0000859167648863791,0.00476661553382349,-0.00974187540656845,0.00984070501145321
"ANN","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","Radn0_30",0.0200441446991753,0.00179417514448239,-0.0000225520657307998,0.00482729987601471,-0.00790319462351141,0.0121409500756639
"ANN","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","Radn30_60",0.0194176701464455,0.000704601143222167,-0.0000981336900979329,0.0048097608360054,-0.00848097513046877,0.0109366950159768
"ANN","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","Radn60_90",0.0194232796304387,-0.0000166757146154437,-0.0000673580422631347,0.00474654130114939,-0.00918891691737474,0.010234362713064
"ANN","Gunnedah","S2",50000,"FloweringDAS","TotalEffects","ShootLag",0.000474533099047962,0.0133884840632122,0.00000924498533315041,0.000115242611273672,0.0131491578869461,0.0136236909859941
"ANN","Gunnedah","S2",50000,"FloweringDAS","TotalEffects","VegTarget",0.00116937215741836,0.02412098412388,-0.00000443842904686992,0.000323717701252441,0.0235542316083094,0.0247236037657277
"ANN","Gunnedah","S2",50000,"FloweringDAS","TotalEffects","LateVegTarget",0.00161043633078179,0.0302232168752817,-0.0000418634561744242,0.000407473055683626,0.0294762514953214,0.0310866878261032
"ANN","Gunnedah","S2",50000,"FloweringDAS","TotalEffects","FloweringTarget",0.000258691605243973,0.00794948292061992,0.00000344169108889431,0.0000705575696458702,0.00782134557814755,0.00808003718339152
"ANN","Gunnedah","S2",50000,"FloweringDAS","TotalEffects","Population",0.0000200309057731979,0.000421960914766206,0.000000545487961461943,0.00000465619842245639,0.00041198787688677,0.000432018782659968
"ANN","Gunnedah","S2",50000,"FloweringDAS","TotalEffects","FracPAWCmm",0.00000977391432920339,0.000167747791453121,-0.000000148099577523825,0.00000237340106860966,0.000163318619754807,0.00017309253408401
"ANN","Gunnedah","S2",50000,"FloweringDAS","TotalEffects","PAWCmm",0.0000450331237101076,0.00097076579448685,-0.000000218843475388022,0.0000104727628478889,0.000949686249730763,0.000994719373440871
"ANN","Gunnedah","S2",50000,"FloweringDAS","TotalEffects","sowingESW",0.0000000000013246187931899,0.000000000000682010004027234,-0.000000000000501936270325132,0.000000000000326137075161757,0.000000000000442843734826623,0.00000000000176746252801652
"ANN","Gunnedah","S2",50000,"FloweringDAS","TotalEffects","SowingDOY",0.00782637269731407,0.194457395451014,0.0000486111485195062,0.00178768956792417,0.190763749725918,0.198590122423232
"ANN","Gunnedah","S2",50000,"FloweringDAS","TotalEffects","AvgMinT0_30",0.00521373974581021,0.112499277667262,0.0000526191090670786,0.00122008147138213,0.109710256901221,0.114923996647032
"ANN","Gunnedah","S2",50000,"FloweringDAS","TotalEffects","AvgMinT30_60",0.00387730655639434,0.115878705534831,-0.000023848408885016,0.00104688629963002,0.11399352365024,0.117870830206634
"ANN","Gunnedah","S2",50000,"FloweringDAS","TotalEffects","AvgMinT60_90",0.00253487851360383,0.0576606608814465,0.00000390787445493646,0.000577007815610967,0.0564983172439769,0.0590331957575807
"ANN","Gunnedah","S2",50000,"FloweringDAS","TotalEffects","AvgMaxT0_30",0.00755408159508364,0.267448442989904,0.000189400539570117,0.0019686693875765,0.263324342939822,0.270878424534905
"ANN","Gunnedah","S2",50000,"FloweringDAS","TotalEffects","AvgMaxT30_60",0.00709740263058237,0.218732687793812,0.0000040617265411047,0.00187091287748795,0.21513279082547,0.222230193456053
"ANN","Gunnedah","S2",50000,"FloweringDAS","TotalEffects","AvgMaxT60_90",0.00327703294619996,0.0688450016455219,0.0000864737732103049,0.000770802595903439,0.067200389352548,0.070477422298748
"ANN","Gunnedah","S2",50000,"FloweringDAS","TotalEffects","Rain0_30",0.0000674443654752048,0.00118569722817463,-0.000000473285489236384,0.000015426165443046,0.00114751524682737,0.00121495961230257
"ANN","Gunnedah","S2",50000,"FloweringDAS","TotalEffects","Rain30_60",0.0000437027796672735,0.000754473450078952,0.00000075974825434642,0.000011258422467501,0.000731334290801474,0.000775037070468747
"ANN","Gunnedah","S2",50000,"FloweringDAS","TotalEffects","Rain60_90",0.00006701588419241,0.00159518428953065,0.000000889189713710898,0.0000162322373300884,0.00156195459210355,0.00162897047629596
"ANN","Gunnedah","S2",50000,"FloweringDAS","TotalEffects","Radn0_30",0.000842957857058041,0.0185760701809558,-0.00000379008587597304,0.00020493423107593,0.0181044464755302,0.0189474043325883
"ANN","Gunnedah","S2",50000,"FloweringDAS","TotalEffects","Radn30_60",0.000339104546822283,0.00531286154245658,-0.00000450994416898668,0.0000748895699258965,0.0051526020672878,0.00549170661411008
"ANN","Gunnedah","S2",50000,"FloweringDAS","TotalEffects","Radn60_90",0.000336048304312367,0.00688444815871236,0.0000076527250126926,0.0000882047725476141,0.00668266213657562,0.00701871044088799
"ANN","Gunnedah","S2",50000,"PoddingDAS","FirstOrder","ShootLag",0.0217070606249748,0.00600593426298276,-0.000697205901621833,0.00541707964849409,-0.00543491945844814,0.0162721411665266
"ANN","Gunnedah","S2",50000,"PoddingDAS","FirstOrder","VegTarget",0.0216112070926566,-0.00252420170437442,-0.000645615238756054,0.00546812548521663,-0.0135704513156952,0.0080407557769614
"ANN","Gunnedah","S2",50000,"PoddingDAS","FirstOrder","LateVegTarget",0.0220704209004076,0.00813338475749898,-0.000595814355459138,0.00552583856889301,-0.00322075834138963,0.018849662559018
"ANN","Gunnedah","S2",50000,"PoddingDAS","FirstOrder","FloweringTarget",0.0220978933942427,-0.0032076362927496,-0.000657215830623451,0.0054769401585119,-0.0147877640048235,0.00731012938941915
"ANN","Gunnedah","S2",50000,"PoddingDAS","FirstOrder","Population",0.021735280742567,-0.000403474042610537,-0.000767854992692299,0.00549930228859721,-0.0116101127977548,0.0101251679448122
"ANN","Gunnedah","S2",50000,"PoddingDAS","FirstOrder","FracPAWCmm",0.0215346864643901,-0.00338707323740457,-0.000649017836039299,0.00553652134355132,-0.0144196903840068,0.00711499608038327
"ANN","Gunnedah","S2",50000,"PoddingDAS","FirstOrder","PAWCmm",0.0216823861688682,0.000941175587092488,-0.000632658226405238,0.00550397828146103,-0.0104305892226717,0.0112517969461965
"ANN","Gunnedah","S2",50000,"PoddingDAS","FirstOrder","sowingESW",0.0217743358927755,-0.00365273152853645,-0.000651143135515903,0.0055205119079817,-0.0149449860477449,0.00682934984503068
"ANN","Gunnedah","S2",50000,"PoddingDAS","FirstOrder","SowingDOY",0.0216345449960921,0.178240332621044,-0.000837716027241281,0.00513664636725305,0.167245670060272,0.188880215056364
"ANN","Gunnedah","S2",50000,"PoddingDAS","FirstOrder","AvgMinT0_30",0.020779966315728,0.0372126562886423,-0.000544188817230028,0.00529990033554139,0.0259919375535575,0.0467719038692855
"ANN","Gunnedah","S2",50000,"PoddingDAS","FirstOrder","AvgMinT30_60",0.0210833977432379,0.00984344190456158,-0.000659302989722693,0.00543191326837345,-0.00136317224719759,0.0197202254960403
"ANN","Gunnedah","S2",50000,"PoddingDAS","FirstOrder","AvgMinT60_90",0.0178995248739179,0.265744096661008,-0.000727349020147428,0.00441729366365763,0.257189238900401,0.275088763774319
