"model","location","sowing","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","ShootLag",0.0168667228743436,0.0105881690614838,-0.000870892932498155,0.00418936115538979,0.00313080885721399,0.0199975317315576
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","VegTarget",0.0164197510725258,0.00428279723864899,-0.000856133750958791,0.00412617497109527,-0.00279785071128108,0.0136219003612447
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","LateVegTarget",0.0158782480891888,0.00600558258900218,-0.000845009541252197,0.00413442906367603,-0.000789878887911535,0.0150883692012773
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","FloweringTarget",0.0157596991579403,0.00300205655774626,-0.0008212369385273,0.00410557837306146,-0.003873692552264,0.0118860066056763
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","Population",0.0159520368548595,0.00300858332276117,-0.00084088310006904,0.00409884600366594,-0.00390344553168277,0.0120485913231767
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","FracPAWCmm",0.0157356617478153,0.0030540319799208,-0.000842869912329543,0.00409743146677928,-0.00372154428566809,0.0120141174621472
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","PAWCmm",0.0159591612138067,0.00299138204085866,-0.000834412336574367,0.00411057635093489,-0.00393141922657101,0.0120277419872357
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","sowingESW",0.015943083823773,0.00288159292251251,-0.000839143894926977,0.0041060868211367,-0.00405148576974481,0.0118915980540282
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","SowingDOY",0.0158816548661398,0.00524350537609997,-0.000807231351384579,0.00409672894852151,-0.00162109142104964,0.0142605634450902
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT0_30",0.0174131030549575,0.40960257084191,-0.00110207981717014,0.00399605491131828,0.403314566517405,0.420727669572363
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT30_60",0.0167636192913106,0.00899758662502166,-0.000723663922357697,0.00419065359059233,0.00185461484368363,0.0186182341349942
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT60_90",0.0156880710228245,0.00318896110201538,-0.000831631741918917,0.00409241450153458,-0.0036031738709217,0.0120848971519028
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT0_30",0.0149821409460894,0.401400887244967,-0.0000406727756909753,0.00382027511673248,0.393888056862615,0.408870197808704
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT30_60",0.015489975579439,0.0265450248690852,-0.000906695481463902,0.00406505874738649,0.0197559557935833,0.0352459313730224
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT60_90",0.015816791246211,0.00574730306188357,-0.000777354718324792,0.00414987112153575,-0.00105520466533715,0.0147615865808738
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","Rain0_30",0.015430934064922,0.00424929738768266,-0.000785529416267568,0.00407633288647003,-0.00240926556848046,0.0130216684964416
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","Rain30_60",0.0160049279719702,0.00286772374066813,-0.000862365674913805,0.00408969696961808,-0.0041153982642852,0.011889529707685
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","Rain60_90",0.0161515362434689,0.0030901450500943,-0.000841014359536243,0.0041112129682517,-0.00394183672001588,0.012209699523453
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","Radn0_30",0.0149613894451221,0.0178998860458603,-0.000849004411920744,0.00402729270886149,0.0114625842550041,0.0264239737001262
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","Radn30_60",0.0164395667257964,0.0366786882889895,-0.000788878131068156,0.00421698414087363,0.0298462066323043,0.0462857733581007
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","Radn60_90",0.0159265001861537,0.00392885491223298,-0.000832726970351551,0.00408715474906372,-0.0031056966715994,0.0128208035145542
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","ShootLag",0.000386897956218038,0.00901431969179345,-0.00000376233772312641,0.0000918638529620747,0.00881684849742664,0.00920374645364468
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","VegTarget",0.0000542315073754449,0.00125727930004305,0.00000150511909983607,0.0000130413103310145,0.00122549283973397,0.00127972434710941
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","LateVegTarget",0.000152231485482071,0.00346006802441101,-0.00000148461986343874,0.0000331550580316137,0.00338724747775782,0.00353947896323989
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","FloweringTarget",0.00000446691320863699,0.000102762431134384,0.00000000828552893738469,0.0000011672419942727,0.00010061633317713,0.000105083246385767
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","Population",0.0000173567970596258,0.00028939793942373,-0.000000104967329190827,0.00000393140861832398,0.00028101100786487,0.000298367804924495
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","FracPAWCmm",0.0000118674594068056,0.000243200451459757,-0.000000603270761579967,0.00000299951794883695,0.00023848673637769,0.000250354195784496
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","PAWCmm",0.00000574065293840032,0.000114974320781225,0.0000000276243019337085,0.000001434292884889,0.00011218876098765,0.00011792941392605
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","sowingESW",0.000000000000456606564722154,0.0000000000000506261699229071,-0.0000000000000573741054665788,0.000000000000106796563595398,-0.000000000000133980451461107,0.000000000000322626113261047
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","SowingDOY",0.000118357390999276,0.00263756123684555,-0.00000153840573777556,0.0000286649249380251,0.00258026294562046,0.00269862033661974
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","AvgMinT0_30",0.0140491240092738,0.486151299976763,-0.0000572439203035957,0.00334227894056654,0.479552708150281,0.493601832159554
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","AvgMinT30_60",0.000571405154432913,0.011395268435727,0.0000173335165185532,0.0001376263336063,0.0111014338766957,0.0116728390311286
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","AvgMinT60_90",0.0000683262573528817,0.00143232191775566,-0.00000101030824114731,0.0000167475916138746,0.00139764886704978,0.00146597512440266
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","AvgMaxT0_30",0.0132355068888246,0.477833244487839,0.000552356103004081,0.00316885927045608,0.471367612330821,0.484603119219646
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","AvgMaxT30_60",0.00111064353260156,0.0269605878722858,0.000009812371370755,0.000284709325034186,0.026376458596572,0.0274871021291736
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","AvgMaxT60_90",0.000212929537692043,0.00412713179739199,-0.00000214649512661567,0.0000519588453830052,0.00401905713913272,0.00423198667682477
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","Rain0_30",0.000203567864321451,0.00412833397955781,0.00000028065866754419,0.0000530625048392719,0.00401396853855769,0.00421753640287914
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","Rain30_60",0.0000638394551313246,0.00134067660091397,-0.00000097260239002037,0.0000177543084588586,0.00131270872075352,0.00137654817588485
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","Rain60_90",0.0000185856984192187,0.000363351069452622,-0.00000034646597772746,0.00000457938290318598,0.000356220099759087,0.000374805798178306
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","Radn0_30",0.000905849934813425,0.0167146739550821,0.0000105592322804,0.000188455249337239,0.0162786008699587,0.0171844508047721
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","Radn30_60",0.00172511844557804,0.0380361269178149,0.00000353136046496449,0.000391582663122321,0.0371756236924811,0.0389007421380591
"ANN","Horsham","S2",50000,"EmergenceDAS","TotalEffects","Radn60_90",0.0000805097455589638,0.0016198503350997,-0.000000873131378967794,0.0000210715020812316,0.00158146645020882,0.00166197619576778
"ANN","Horsham","S2",50000,"FloweringDAS","FirstOrder","ShootLag",0.0183870926196179,0.0162984863949252,0.00053798679917804,0.00481085392449612,0.00787028920946467,0.0262573818290826
"ANN","Horsham","S2",50000,"FloweringDAS","FirstOrder","VegTarget",0.0189473736081177,0.0230528837400177,0.000447914382260363,0.00494749674011307,0.013741602684945,0.0326889762930627
"ANN","Horsham","S2",50000,"FloweringDAS","FirstOrder","LateVegTarget",0.0184343066967849,0.0110074771986105,0.000766097022384501,0.0047643939002932,0.00166709288380574,0.0201013995805906
"ANN","Horsham","S2",50000,"FloweringDAS","FirstOrder","FloweringTarget",0.0185985135863953,0.0136796123251898,0.000568668059928192,0.00466007906045532,0.00420429986440598,0.0228028134508013
"ANN","Horsham","S2",50000,"FloweringDAS","FirstOrder","Population",0.0190608440800598,0.00810982988257697,0.000516615537982403,0.00481004541446427,-0.000861456620982734,0.018199387459077
"ANN","Horsham","S2",50000,"FloweringDAS","FirstOrder","FracPAWCmm",0.0193729488411432,0.00767597933692462,0.000507583964492139,0.00482097277599957,-0.00143557196124649,0.0179373768798967
"ANN","Horsham","S2",50000,"FloweringDAS","FirstOrder","PAWCmm",0.0190544526379163,0.00778545144740546,0.000493239570022996,0.0048247325383504,-0.0011490762859143,0.017905376352002
"ANN","Horsham","S2",50000,"FloweringDAS","FirstOrder","sowingESW",0.0192494112358684,0.00787978367815997,0.000508601825314476,0.0048148288089108,-0.00112990910188131,0.0181195021339871
"ANN","Horsham","S2",50000,"FloweringDAS","FirstOrder","SowingDOY",0.018853586507672,0.148537535117339,0.000414032180273888,0.0048431510427252,0.139138310998853,0.157991897506525
"ANN","Horsham","S2",50000,"FloweringDAS","FirstOrder","AvgMinT0_30",0.017699383020448,0.0899820676947359,0.00041335271434749,0.0046527878088761,0.0808974994777686,0.0985968824982166
"ANN","Horsham","S2",50000,"FloweringDAS","FirstOrder","AvgMinT30_60",0.0188921815638656,0.110223253162028,0.000383072285087674,0.0047159495935194,0.101264148020739,0.120156329584604
"ANN","Horsham","S2",50000,"FloweringDAS","FirstOrder","AvgMinT60_90",0.0197920125957383,0.0462551201397371,0.000759430065573261,0.00505984545612658,0.0359290696378636,0.055721082233602
"ANN","Horsham","S2",50000,"FloweringDAS","FirstOrder","AvgMaxT0_30",0.0170944693510947,0.227635132995536,0.000314446668898294,0.00406892305264441,0.217667234336233,0.234761703687328
"ANN","Horsham","S2",50000,"FloweringDAS","FirstOrder","AvgMaxT30_60",0.0177630724440329,0.196756588183069,0.000358678507875659,0.00433356253306902,0.187587164934362,0.205350237378395
"ANN","Horsham","S2",50000,"FloweringDAS","FirstOrder","AvgMaxT60_90",0.0191080416803169,0.0508612307854367,0.00077518220717377,0.00499666485433589,0.0414827756756524,0.0605908173559693
"ANN","Horsham","S2",50000,"FloweringDAS","FirstOrder","Rain0_30",0.0187645243712509,0.00766555471269426,0.000549141387812182,0.00481953841135053,-0.00116813407889175,0.0175963902923592
"ANN","Horsham","S2",50000,"FloweringDAS","FirstOrder","Rain30_60",0.0191107448753695,0.0084101422623831,0.000507311800249263,0.00478957995811493,-0.000599030833968284,0.0185117140414012
"ANN","Horsham","S2",50000,"FloweringDAS","FirstOrder","Rain60_90",0.0189575592797723,0.00850878295036294,0.000513955035229066,0.00480854269048111,-0.000200370665675468,0.0187571886140968
"ANN","Horsham","S2",50000,"FloweringDAS","FirstOrder","Radn0_30",0.0204261030551295,0.0114836679522645,0.000567427072044342,0.00496261792771872,0.000904946478085259,0.0213310495332147
"ANN","Horsham","S2",50000,"FloweringDAS","FirstOrder","Radn30_60",0.0192369205333918,0.00924408129350038,0.000484479230858018,0.00483133917845899,-0.0000688763728870327,0.0191680441605048
"ANN","Horsham","S2",50000,"FloweringDAS","FirstOrder","Radn60_90",0.0193024175995199,0.00832794084797802,0.000508372624986944,0.00485324406756238,-0.00110249755893171,0.0181999200405882
