"model","location","sowing","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","Lat",0.0162896427744482,-0.00234247350762559,-0.000433583496083442,0.00415565683863371,-0.0101007297057866,0.00618891306866167
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","ShootLag",0.0171103237975384,0.00609252105477678,-0.000502950563815814,0.00423726444529332,-0.00179671573654511,0.0153136080609933
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","VegTarget",0.0165229819159143,-0.000838217060291312,-0.000471262143561552,0.00416743151046418,-0.00866039481734498,0.00786258709856928
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","LateVegTarget",0.0164129281443078,0.000229199383073786,-0.00039869029342782,0.0041800718439739,-0.0075945629998086,0.00881836514449919
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","FloweringTarget",0.0163791054628397,-0.00231089515109494,-0.000442186001569065,0.00416074541865743,-0.0101193482492921,0.00625975721354765
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","Population",0.0162935560105144,-0.00236888873419213,-0.000435884585219285,0.0041450126514432,-0.01004366802716,0.00624988798335442
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","FracPAWCmm",0.0164078363899642,-0.00103273567851226,-0.000426518808113154,0.00422386377281667,-0.00882473843791028,0.00758309795205388
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","PAWCmm",0.0164629358085746,-0.00219454584490356,-0.000422209238344731,0.00415725477318611,-0.00999130174316547,0.00647163406540909
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","sowingESW",0.0162546544255679,-0.000778883904175226,-0.000464138813929818,0.00416489803582217,-0.00849269865915697,0.00776195576641094
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","SowingDOY",0.0165197362866956,0.000197466630728046,-0.000464686079103956,0.00416659161278645,-0.00759011820282999,0.0089296180838656
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT0_30",0.0161052327215214,0.403064886120307,-0.000287668090622084,0.00429190946237883,0.395398463865081,0.411503696586602
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT30_60",0.0166701386843229,0.00287226843452931,-0.000457491665945421,0.00416245708962977,-0.00507472108523878,0.0115954175990841
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT60_90",0.016640407010214,-0.00176057706104916,-0.000400711486172062,0.00415948244518871,-0.00967069301573426,0.00696971399447977
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT0_30",0.0169581080375737,0.39321413427648,-0.000439286873595846,0.0039372235332488,0.385468211954565,0.402426319992138
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT30_60",0.0157821223828119,0.0231998973793628,-0.000416603735969547,0.00414113052435676,0.015946928890581,0.0317290512733929
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT60_90",0.0162385113795887,0.00021662942418682,-0.000438884726560979,0.00415474895200676,-0.0075705615368123,0.00866794984277636
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","Rain0_30",0.0163469341963515,-0.000688436859113759,-0.000462390437367143,0.00411277188805188,-0.00806569780443695,0.00828123639191453
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","Rain30_60",0.0161194062456694,-0.00174867477904713,-0.000431570223817777,0.0041419926414979,-0.00942136421770122,0.00669804202796815
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","Rain60_90",0.0160814282807304,-0.00256383006024791,-0.000430869898130258,0.00414080573431356,-0.0103401435078336,0.00574128477289675
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","Radn0_30",0.0175788335176079,0.0124361736031955,-0.000552135131659293,0.00437646454860731,0.00484853075218057,0.0224273642697884
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","Radn30_60",0.0159641010308277,0.0290219628730603,-0.000318414374360254,0.00399380316952405,0.0213118024179812,0.0372759034488089
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","Radn60_90",0.0160473062205187,-0.000883931098230692,-0.000455167480367479,0.00411317100150301,-0.00862752246676216,0.00741978375375657
"ANN","Emerald","S2",50000,"EmergenceDAS","TotalEffects","Lat",4.66181844226965e-13,5.47339951140202e-14,-2.87714296831609e-14,1.03188396323149e-13,-1.61265348891038e-13,3.04916495335927e-13
"ANN","Emerald","S2",50000,"EmergenceDAS","TotalEffects","ShootLag",0.000377515286957177,0.00913235899380815,-9.98516068709439e-06,9.32664399278772e-05,0.00897776946568835,0.00935528475264553
"ANN","Emerald","S2",50000,"EmergenceDAS","TotalEffects","VegTarget",5.18296042741962e-05,0.00124391820993397,-1.27045409209817e-06,1.25471201178135e-05,0.00121729810294874,0.00126912770722293
"ANN","Emerald","S2",50000,"EmergenceDAS","TotalEffects","LateVegTarget",0.00013479365530113,0.00349100479572251,-3.53904126460143e-07,3.36207928005779e-05,0.00341869616529412,0.00355348982059525
"ANN","Emerald","S2",50000,"EmergenceDAS","TotalEffects","FloweringTarget",4.78040050593369e-06,9.50075313118637e-05,-2.56771915130305e-08,1.13648395085198e-06,9.26412436165243e-05,9.7421644122458e-05
"ANN","Emerald","S2",50000,"EmergenceDAS","TotalEffects","Population",1.76544179621903e-05,0.000268718271166257,-5.77273633228792e-07,3.75062309290884e-06,0.000260465997351171,0.000278120415313362
"ANN","Emerald","S2",50000,"EmergenceDAS","TotalEffects","FracPAWCmm",0.000103469509308787,0.00201975879819438,-7.80436311773741e-07,2.39556181291812e-05,0.00196925733139543,0.00207272684070422
"ANN","Emerald","S2",50000,"EmergenceDAS","TotalEffects","PAWCmm",1.07433407899635e-05,0.000239524769693467,6.41625989616977e-08,2.86507166573353e-06,0.00023406589311243,0.000244809233902394
"ANN","Emerald","S2",50000,"EmergenceDAS","TotalEffects","sowingESW",6.70036998207469e-05,0.00170504986326803,-1.37337398024785e-06,1.78875620558414e-05,0.0016701956419105,0.00173719934173125
"ANN","Emerald","S2",50000,"EmergenceDAS","TotalEffects","SowingDOY",0.00013657466460112,0.00286414876398433,-7.05279511487023e-07,3.26624996906077e-05,0.00279910135300594,0.00293567601760706
"ANN","Emerald","S2",50000,"EmergenceDAS","TotalEffects","AvgMinT0_30",0.0157122030864321,0.4947961909995,0.000847296503517891,0.0039843688040589,0.485662232107609,0.501374435194041
"ANN","Emerald","S2",50000,"EmergenceDAS","TotalEffects","AvgMinT30_60",0.000536798387530728,0.0105327584536968,-1.94875830385136e-05,0.000128452039568971,0.01027988772435,0.0108166861118807
"ANN","Emerald","S2",50000,"EmergenceDAS","TotalEffects","AvgMinT60_90",6.84755413449165e-05,0.00145996564593331,4.77073708804497e-07,1.92043039196677e-05,0.0014248214070579,0.00149329694840282
"ANN","Emerald","S2",50000,"EmergenceDAS","TotalEffects","AvgMaxT0_30",0.0130596005453411,0.477385795515498,-0.000205543776832073,0.00369704855743907,0.471689813891776,0.484749414437117
"ANN","Emerald","S2",50000,"EmergenceDAS","TotalEffects","AvgMaxT30_60",0.00120323465568773,0.0268054989546963,-3.08489180842822e-05,0.000305003610561877,0.0261738399349039,0.0273770745905916
"ANN","Emerald","S2",50000,"EmergenceDAS","TotalEffects","AvgMaxT60_90",0.00021460647307608,0.00392479376160648,-5.0399815878354e-06,5.14656932180348e-05,0.00381383221787441,0.00402843869095049
"ANN","Emerald","S2",50000,"EmergenceDAS","TotalEffects","Rain0_30",0.000224038566123501,0.00454617027302362,-3.93107710691676e-06,5.83785972688675e-05,0.004441225280281,0.0046652638464045
