"model","location","sowing","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","Lat",0.0176413413790358,0.0110637120804976,-0.000571965856351608,0.00434994281307551,0.0031615387446272,0.020802880123663
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","ShootLag",0.0172251800863886,0.00396596331516507,-0.00052542112422646,0.00437860526724855,-0.0041528897255435,0.0130722903608451
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","VegTarget",0.0177946742390325,0.006971758187668,-0.000516900072259465,0.00439513685111371,-0.00182607107483564,0.0159686031641968
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","LateVegTarget",0.0174300412957501,0.00321067876877113,-0.000530380898109723,0.00435685250740218,-0.0049935971900683,0.0124364441056818
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","FloweringTarget",0.0174953707477365,0.00305971686735836,-0.000527376737128033,0.00436925782263349,-0.00514105102212166,0.0123543197256149
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","Population",0.0171731577989039,0.00316911966966426,-0.000538934536982262,0.00436546917775938,-0.0048532377467692,0.0123199200521347
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","FracPAWCmm",0.0174870527792675,0.00325049874001757,-0.000524585333590987,0.00437446902368331,-0.00497111125561045,0.012515941523657
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","PAWCmm",0.0174210047403092,0.00304876735394658,-0.000527738817303543,0.00435970278136909,-0.0051235705532119,0.0122974341870973
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","sowingESW",0.0175084769849903,0.00617448097961831,-0.000632069626594204,0.00442373048334093,-0.00179277004702693,0.0157157069379634
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","SowingDOY",0.0188609454295469,0.378836004194409,-0.000217729796606947,0.00442929785414493,0.370004449645126,0.388865395074673
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT0_30",0.0172473003229483,0.00653282880957897,-0.00060491086338971,0.0044184535380917,-0.00134730054391183,0.0158999997790365
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT30_60",0.0173484632944167,0.0038546888408961,-0.000599335115371792,0.00434074722583038,-0.00399484253512995,0.0133536207592868
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT60_90",0.0195782532258595,0.386354127098197,-8.49639729113005e-05,0.00491611049115531,0.376012662790405,0.395590916016265
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT0_30",0.0148093578821431,0.0264808402683024,-0.000587593838134032,0.00429567644637417,0.0200689856761487,0.0348783435582918
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT30_60",0.016886013309265,0.00536680534210419,-0.000532046036300389,0.00431269004743824,-0.00276132985016447,0.0141246834591005
"ANN","Emerald","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT60_90",0.0167626735301098,0.00771009548774812,-0.000561808517869311,0.00432288606706816,-0.000395053679962358,0.0163676198501474
