"model","location","sowing","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Lat",0.0174598589007844,0.0076096560424549,0.000403692159886685,0.00434767480211855,-0.00111206341595915,0.0163477954848252
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","ShootLag",0.0168387732554969,0.000269681802144396,0.00027432577414687,0.00431247165568133,-0.00839054789595819,0.00844822535953868
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","VegTarget",0.0162330760645156,0.003410664054595,0.000299049412713223,0.00429470731676165,-0.00475082645534474,0.0114822496091708
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","LateVegTarget",0.0165239832286006,-0.000589443019912481,0.00028247097819881,0.00429347254364608,-0.00905672096509067,0.0074672622635099
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","FloweringTarget",0.0166696745790612,-0.000576798103998417,0.000281457532371415,0.00429495860176335,-0.00911463294845822,0.00755504163060302
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Population",0.0165650474118502,-0.000367482475961382,0.000305286617614698,0.00428594670259906,-0.00891374813575545,0.00765129927609471
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","FracPAWCmm",0.0164675804217868,-0.000144235350717448,0.000290042514975356,0.00428900218524232,-0.00860207783471525,0.00786550258707159
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","PAWCmm",0.0166112180319645,-0.00049728116807771,0.00028517009156739,0.00429093250489814,-0.00901612433913173,0.00759509369283278
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","sowingESW",0.0167124386154335,0.00301251766140172,0.00027628685199595,0.00428332511971628,-0.00563290980434609,0.0110795288110874
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","SowingDOY",0.0168113271060711,0.369728705813484,1.81410589718545e-05,0.00431196777622261,0.361371732408103,0.378183059514174
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT0_30",0.0177708936948325,0.00240741094245787,0.000265178042697596,0.00442442475293608,-0.00644309371482458,0.011327799980008
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT30_60",0.0167716610804604,0.000319009780742197,0.000287672083176988,0.0042526745248943,-0.00816367061374997,0.00860799046671039
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT60_90",0.0203102234077667,0.390723068600288,0.000504254439713692,0.00447623271816062,0.381024366055621,0.401334589463388
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT0_30",0.0169851375825816,0.0232980896009829,0.00040330925822437,0.00447200147373119,0.0141992936745212,0.0311844312571028
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT30_60",0.0164080967979291,0.00111018218451756,0.000276398997867587,0.00428258656417055,-0.00718444835948558,0.00922364843844353
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT60_90",0.0168097289499075,0.00531448808500301,0.000318357286653416,0.00433098401658229,-0.00359647837305235,0.0132132505768551
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Rain0_30",0.0162391153251151,-0.000201854707749726,0.000310256729406956,0.00426753038795789,-0.00861061529383614,0.00762850003127901
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Rain30_60",0.0166829258809366,-0.000221990442734039,0.000318191862003276,0.00431518967271541,-0.00880026399756891,0.00788266188336769
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Rain60_90",0.0171536581104582,0.0164755344943189,0.000222129362984751,0.00427867175905657,0.00770192052979715,0.0248555786402554
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Radn0_30",0.0161507544580884,0.0274923681808728,0.000310089610071122,0.00425860616573095,0.019033513808542,0.0351842682666304
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Radn30_60",0.0167610500156375,0.000101345320325251,0.00026507096686837,0.00429042158836112,-0.00841161630023219,0.00834943371540529
"ANN","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Radn60_90",0.0166112180319645,-0.00049728116807771,0.00028517009156739,0.00429093250489814,-0.00901612433913173,0.00759509369283278
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","Lat",0.000447466637006573,0.00912650076413268,5.82321100703158e-06,0.000104214741927192,0.00891066895851377,0.00935813559552034
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","ShootLag",5.55319816184494e-05,0.00121446593750651,1.01167882105577e-06,1.41385158123651e-05,0.0011858477015468,0.00124137968316525
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","VegTarget",0.000163738478407049,0.00369748556451144,1.97533181206175e-06,4.01386589326771e-05,0.00361595613320832,0.00377969461161537
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","LateVegTarget",4.42543999445696e-06,8.01184286255419e-05,-2.8742181329422e-08,1.07623524046418e-06,7.80893602333777e-05,8.25148002278347e-05
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","FloweringTarget",1.1984451483305e-05,0.000213567714853147,1.27199213345575e-07,3.13915549760918e-06,0.00020763868807669,0.000219623139559995
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","Population",2.2634515818015e-05,0.000418703688326527,-3.67039323815341e-07,5.44602814415294e-06,0.000407953874289337,0.000430588390107352
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","FracPAWCmm",1.07106454761528e-05,0.000208207567601426,1.84420230501246e-07,2.6182631169596e-06,0.000203035288946695,0.000213745934422847
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","PAWCmm",3.36862377312349e-13,-8.43769498715119e-15,4.99733587844275e-14,8.99329995714627e-14,-2.19952771454622e-13,1.16909605857727e-13
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","sowingESW",0.000190733151000005,0.003788245009543,-2.16943422122647e-06,4.42464864994577e-05,0.0037033606989109,0.00389409384991091
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","SowingDOY",0.0165853588553858,0.499952708873411,-0.000479107148726954,0.00394665305759652,0.49228280017404,0.508868159029426
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","AvgMinT0_30",0.000425468179933653,0.00821701052094503,1.81678854538694e-06,0.000106394589132692,0.00800509357186946,0.00843056175180311
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","AvgMinT30_60",0.000106665592025964,0.00196037397324134,4.89026008897555e-06,2.80230968922766e-05,0.00190377249442991,0.00201043808645587
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","AvgMinT60_90",0.0165261988767129,0.520176120744877,0.000314056094989801,0.00453595962287282,0.511826023542521,0.528352222419234
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","AvgMaxT0_30",0.00130423772328894,0.0268664533023372,-1.13982231560589e-05,0.000332146467094951,0.0261781683868848,0.0274824061101737
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","AvgMaxT30_60",0.000161309956583344,0.00298838405181634,-3.45674364874739e-06,4.13954595548935e-05,0.00291029955912793,0.00307160951571128
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","AvgMaxT60_90",0.000366975980358462,0.0069079209546784,6.78776834219831e-07,9.40946735853699e-05,0.00671972185471226,0.00708669783507072
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","Rain0_30",7.21340565630643e-05,0.00115906154466694,-8.18825805774977e-07,1.79193979609198e-05,0.00112809079236778,0.00120022484893085
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","Rain30_60",4.09940743813889e-05,0.00059447454905126,-8.5494560174708e-07,9.75765909854899e-06,0.000576437087946842,0.00061743116232823
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","Rain60_90",0.000949585112982317,0.0200913951553241,1.05311986137654e-05,0.000226894736174716,0.0196380669525978,0.0205876520655801
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","Radn0_30",0.00150510909869138,0.0319044761578072,1.82203379232374e-05,0.000365100875851338,0.0312155724558141,0.0327206815545055
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","Radn30_60",5.52091029586235e-05,0.00106348157853564,9.40649503672255e-07,1.34571796117322e-05,0.00103634722120322,0.00109155632416184
"ANN","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","Radn60_90",3.36862377312349e-13,-8.43769498715119e-15,4.99733587844275e-14,8.99329995714627e-14,-2.19952771454622e-13,1.16909605857727e-13
"ANN","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","Lat",0.0162687033627191,0.00166211925222404,0.000591799764982368,0.00407855359287151,-0.00769675766437574,0.00857194569834334
"ANN","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","ShootLag",0.0170121664551388,0.00302544667064888,0.000623916717140518,0.00416606513139484,-0.00676443594626943,0.0102477305088694
"ANN","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","VegTarget",0.0177261880561538,0.00380094142335277,0.000629140793194059,0.00424667635908554,-0.00651157440768442,0.0112146136484693
"ANN","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","LateVegTarget",0.0170847742405594,0.00210587115259037,0.000554685839991832,0.00421117247353615,-0.00771357068829668,0.00937120355226274
"ANN","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","FloweringTarget",0.0167949174329977,-0.00285720410601099,0.000589068112589329,0.00413784192867201,-0.0122352771176538,0.00455964031534389
"ANN","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","Population",0.0169609943294732,-0.00287023851147291,0.00058699822829642,0.00414949167395231,-0.0124279688052564,0.00453302552421677
"ANN","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","FracPAWCmm",0.0171680156407519,-0.00194145793331114,0.000578558783224042,0.00416238223931046,-0.0116497907867583,0.00551822485399359
"ANN","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","PAWCmm",0.0169359664282355,-0.00299469501589023,0.000583127332816684,0.0041421473357511,-0.0125143515019694,0.00442161492626614
"ANN","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","sowingESW",0.0161632096593608,0.078796199876433,9.58111615262242e-05,0.00414830334539579,0.0704743108881847,0.0866375205475454
