"model","location","sowing","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","Lat",0.0178020928029937,0.00422889355260831,0.000308151067153653,0.00434517784438566,-0.00534816215212884,0.0124539306508649
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","ShootLag",0.0179312891847359,-0.00268525526161123,0.000255319071280596,0.00433659496686094,-0.0121402123084801,0.00579107687625576
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","VegTarget",0.017515739781334,-0.000392626937051817,0.000249665810649297,0.00430579632807228,-0.00982668134272952,0.00768905843860448
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","LateVegTarget",0.0178102809583452,-0.00395212781861849,0.000316561815630166,0.00432845797656849,-0.0134746539579843,0.00433562700036096
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","FloweringTarget",0.0178195914129981,-0.003899409470584,0.000319849416566632,0.00433471000758956,-0.0133893754704241,0.00443021594257398
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","Population",0.0176254021421174,-0.00362447179329466,0.000323372380985983,0.00433171096750818,-0.0130817635715988,0.00454363857051859
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","FracPAWCmm",0.0177247006362567,-0.0037476965972893,0.000300499232410469,0.00432822267515312,-0.0132555968147719,0.00446910382148484
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","PAWCmm",0.0177904486219343,-0.00395987098821459,0.000312574273602358,0.00433697172046413,-0.0134833100395001,0.00430713858243426
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","sowingESW",0.0179919674825101,-0.000551091253124507,0.000293827927285322,0.00430852957726744,-0.00966186850088589,0.00833009898162421
"ANN","Horsham","S2",50000,"EmergenceDAS","FirstOrder","SowingDOY",0.0166134420965732,0.367340275233156,0.000330620208448207,0.00417352068230327,0.358114048190221,0.374727490286794
