"model","location","sowing","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"ANN","Horsham","S1",50000,"EmergenceDAS","FirstOrder","Lat",0.015984318540946,0.00946894993844682,-0.000556337621436458,0.00427770444548378,0.00193740842507441,0.0179217269660204
"ANN","Horsham","S1",50000,"EmergenceDAS","FirstOrder","ShootLag",0.016449755222336,0.0031771259942146,-0.000592807556209421,0.0043419428044163,-0.00430429425399095,0.012145460968345
"ANN","Horsham","S1",50000,"EmergenceDAS","FirstOrder","VegTarget",0.0166211815261675,0.0051917173653318,-0.000530252626819537,0.0043133760350714,-0.00255390674294481,0.0140672747832227
"ANN","Horsham","S1",50000,"EmergenceDAS","FirstOrder","LateVegTarget",0.0163223893221523,0.00153234186545947,-0.000602089670769493,0.00430539726586485,-0.00581858023589791,0.0105038090862544
"ANN","Horsham","S1",50000,"EmergenceDAS","FirstOrder","FloweringTarget",0.0162606775581645,0.00161822234501311,-0.000615311862296548,0.004301518298711,-0.00562948936003637,0.0106311881981281
"ANN","Horsham","S1",50000,"EmergenceDAS","FirstOrder","Population",0.0161964412782596,0.00148252273125549,-0.000606784621207993,0.00431145272315416,-0.00580992861400367,0.0103865126642559
"ANN","Horsham","S1",50000,"EmergenceDAS","FirstOrder","FracPAWCmm",0.0160993141168717,0.00157628903275924,-0.000590848233655007,0.00430095132602929,-0.00571052306738372,0.010388791049488
"ANN","Horsham","S1",50000,"EmergenceDAS","FirstOrder","PAWCmm",0.0162062248598469,0.0015598911810867,-0.000594373456837864,0.00430871199207696,-0.00574259907881276,0.0104636257810341
"ANN","Horsham","S1",50000,"EmergenceDAS","FirstOrder","sowingESW",0.016104521135295,0.00432410056106343,-0.000652163996541606,0.00429346810262934,-0.00298924853934085,0.0131152725959542
"ANN","Horsham","S1",50000,"EmergenceDAS","FirstOrder","SowingDOY",0.016851115872345,0.413246835070111,-0.000466016305519346,0.00405187244913974,0.406000662490628,0.422851778362973
"ANN","Horsham","S1",50000,"EmergenceDAS","FirstOrder","AvgMinT0_30",0.0160786672293077,0.0083824647939024,-0.000612626168430544,0.00433206500803167,0.000883898578131107,0.0169625658074388
