"model","location","sowing","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"ANN","Gunnedah","S2",1e+05,"EmergenceDAS","FirstOrder","Lat",0.0117779509208231,0.00189967331898279,-0.000700664563894662,0.00286458417950883,-0.0030998624584929,0.00867808846233016
"ANN","Gunnedah","S2",1e+05,"EmergenceDAS","FirstOrder","ShootLag",0.0121960551432055,-0.0050530322699622,-0.000626713289578601,0.00286172597369573,-0.0104213538140588,0.00177470132914669
"ANN","Gunnedah","S2",1e+05,"EmergenceDAS","FirstOrder","VegTarget",0.0120951478459232,-0.00269959517284707,-0.000657831810877856,0.00286889263884267,-0.00804963088222436,0.0040455169636988
"ANN","Gunnedah","S2",1e+05,"EmergenceDAS","FirstOrder","LateVegTarget",0.0120246874495063,-0.00613475533235231,-0.000627575147848188,0.00286528880041862,-0.0114645779933368,0.000560109456169501
"ANN","Gunnedah","S2",1e+05,"EmergenceDAS","FirstOrder","FloweringTarget",0.0120131556570643,-0.00623391565211282,-0.000638548197233072,0.00285138978121981,-0.0115647019048481,0.00044845375221622
"ANN","Gunnedah","S2",1e+05,"EmergenceDAS","FirstOrder","Population",0.0118774428660841,-0.0061660276068363,-0.000629396037579216,0.00286741956799199,-0.0114911167792029,0.000386326086881189
"ANN","Gunnedah","S2",1e+05,"EmergenceDAS","FirstOrder","FracPAWCmm",0.0120242132436965,-0.0062293608611129,-0.000635950889427077,0.00286538439480983,-0.0115270329961485,0.000497180247548051
"ANN","Gunnedah","S2",1e+05,"EmergenceDAS","FirstOrder","PAWCmm",0.0120346293391714,-0.0062998122801076,-0.000632147726701307,0.00286612890047802,-0.0116497470015784,0.000384882337592997
"ANN","Gunnedah","S2",1e+05,"EmergenceDAS","FirstOrder","sowingESW",0.0121157409229789,-0.00362522101199284,-0.000696904473715485,0.00288495847152253,-0.00883444121834303,0.00328129970463587
"ANN","Gunnedah","S2",1e+05,"EmergenceDAS","FirstOrder","SowingDOY",0.0110820794633955,0.402024689851139,-2.44788361937198e-05,0.00254256592638144,0.397332097381302,0.408414176844697
"ANN","Gunnedah","S2",1e+05,"EmergenceDAS","FirstOrder","AvgMinT0_30",0.0115694121393915,-0.000597576523981822,-0.000673513958781746,0.00283068746349488,-0.00542951450302703,0.00613989763636448
