"model","location","sowing","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"ANN","Emerald","S2",100000,"EmergenceDAS","FirstOrder","ShootLag",0.0143592781756384,0.00984131429694921,0.000167647520060687,0.00321594983697876,0.00279163334087955,0.017150911516518
"ANN","Emerald","S2",100000,"EmergenceDAS","FirstOrder","VegTarget",0.0134015548357249,0.003130201647014,0.000207313734568761,0.00319028612129003,-0.00375627862550733,0.00964527621021754
"ANN","Emerald","S2",100000,"EmergenceDAS","FirstOrder","LateVegTarget",0.0136792722286542,0.00499876273474902,0.000235614263595751,0.00321510217324466,-0.00198196606048901,0.0116973061681652
"ANN","Emerald","S2",100000,"EmergenceDAS","FirstOrder","FloweringTarget",0.0134729292866549,0.00197794512550672,0.00022519161891686,0.00317791122333705,-0.00505569094386442,0.00841723834279053
"ANN","Emerald","S2",100000,"EmergenceDAS","FirstOrder","Population",0.0134145808118515,0.00189893072173871,0.000218686378281269,0.00317607345318212,-0.00516155094386061,0.00825302986799085
"ANN","Emerald","S2",100000,"EmergenceDAS","FirstOrder","FracPAWCmm",0.0134225155087487,0.00194493310632869,0.000214101989972804,0.00317875904971532,-0.00504263659404886,0.0083798789146998
"ANN","Emerald","S2",100000,"EmergenceDAS","FirstOrder","PAWCmm",0.0135408371738966,0.00196728602477839,0.000220270628697083,0.00318520785653934,-0.00507449996396808,0.00846633720992851
"ANN","Emerald","S2",100000,"EmergenceDAS","FirstOrder","sowingESW",0.0134801757974947,0.00188653622591489,0.000218157008442611,0.00317908447132173,-0.00513983717142341,0.00834033862607133
"ANN","Emerald","S2",100000,"EmergenceDAS","FirstOrder","SowingDOY",0.0135696849203403,0.00465799767994342,0.000200649873297667,0.00319326374907636,-0.00209765215217183,0.0114720327681685
"ANN","Emerald","S2",100000,"EmergenceDAS","FirstOrder","AvgMinT0_30",0.0104166711686327,0.402269282082166,0.0000796649138391503,0.00252357475516594,0.397020366985454,0.407437038154087
"ANN","Emerald","S2",100000,"EmergenceDAS","FirstOrder","AvgMinT30_60",0.0132238298153176,0.00731600231759657,0.000173872627637221,0.00318561762954473,0.000499834435358171,0.0137236642506758
"ANN","Emerald","S2",100000,"EmergenceDAS","FirstOrder","AvgMinT60_90",0.0132353616840818,0.00226101010943521,0.000191546272817785,0.00318755176190021,-0.00450816991136934,0.00872719177271244
"ANN","Emerald","S2",100000,"EmergenceDAS","FirstOrder","AvgMaxT0_30",0.0121522163971724,0.402212533378083,0.0000374624461141337,0.00312229550621361,0.39642074583882,0.408572962235992
"ANN","Emerald","S2",100000,"EmergenceDAS","FirstOrder","AvgMaxT30_60",0.0128765216738959,0.0255259243699544,0.000318992673879054,0.0031500957936542,0.0186951588825889,0.0315716805564848
"ANN","Emerald","S2",100000,"EmergenceDAS","FirstOrder","AvgMaxT60_90",0.0131059740671782,0.00431186976939096,0.000175357182301166,0.00318127531048567,-0.00225624460500449,0.0108497294621737
"ANN","Emerald","S2",100000,"EmergenceDAS","FirstOrder","Rain0_30",0.0136302736126161,0.00434556067021598,0.000217409813000762,0.0032355667731196,-0.00266573968995674,0.0109645339226593
"ANN","Emerald","S2",100000,"EmergenceDAS","FirstOrder","Rain30_60",0.0133342732638786,0.00170579895757107,0.000221251440489104,0.00314496608232169,-0.00528322207672175,0.00805105118715681
"ANN","Emerald","S2",100000,"EmergenceDAS","FirstOrder","Rain60_90",0.0134402587176966,0.00204819281410511,0.000235972816439848,0.00316342959875158,-0.00485887146678683,0.00858138725090975
"ANN","Emerald","S2",100000,"EmergenceDAS","FirstOrder","Radn0_30",0.0127704633402026,0.0185918141443448,0.000178718872393211,0.00324331231639793,0.0118220094992481,0.0245924728394507
"ANN","Emerald","S2",100000,"EmergenceDAS","FirstOrder","Radn30_60",0.0127064192304383,0.0354072697539303,0.000215568645596804,0.00315927847126445,0.0284006960075869,0.0411071152380253
"ANN","Emerald","S2",100000,"EmergenceDAS","FirstOrder","Radn60_90",0.0134565720218897,0.00290206703731039,0.000188883028908255,0.00317680268429475,-0.00407894677795559,0.00937762524393411
"ANN","Emerald","S2",100000,"EmergenceDAS","TotalEffects","ShootLag",0.000245192872960997,0.00912503733434133,0.0000102935189463995,0.0000675586494759751,0.00900453491282738,0.00924972778578838
"ANN","Emerald","S2",100000,"EmergenceDAS","TotalEffects","VegTarget",0.0000396766203095416,0.00126379596249848,-0.000000554335160414228,0.00000929537275590615,0.00124262159967697,0.00128229821998651
"ANN","Emerald","S2",100000,"EmergenceDAS","TotalEffects","LateVegTarget",0.000111186559027275,0.00351397918113616,0.00000170380861370424,0.0000280174264025748,0.00345317562382301,0.00356436218285028
"ANN","Emerald","S2",100000,"EmergenceDAS","TotalEffects","FloweringTarget",0.0000035262277145265,0.0000983158581222554,0.000000121289822723188,0.00000083722057951167,0.0000964436938730486,0.0000999699215875751
"ANN","Emerald","S2",100000,"EmergenceDAS","TotalEffects","Population",0.0000127123425986981,0.000274630323229497,-0.000000132406213910726,0.00000282853403403988,0.000267942542578791,0.000280654885177489
"ANN","Emerald","S2",100000,"EmergenceDAS","TotalEffects","FracPAWCmm",0.00000995793307499129,0.000269518448854589,-0.0000000399169306064388,0.00000241132472895428,0.000264909901678371,0.000274867834753363
"ANN","Emerald","S2",100000,"EmergenceDAS","TotalEffects","PAWCmm",0.00000422428972491126,0.000130917802328656,0.000000103701310097962,0.00000108561108267475,0.000128806442465306,0.000133030732190217
"ANN","Emerald","S2",100000,"EmergenceDAS","TotalEffects","sowingESW",0.000000000000589523707516967,-0.000000000000124789067967868,0.000000000000200032213015788,0.000000000000139840340057853,-0.000000000000584418268366,0.00000000000000510543915096653
"ANN","Emerald","S2",100000,"EmergenceDAS","TotalEffects","SowingDOY",0.0000850649361601686,0.00288087028297024,0.000000562551351937154,0.0000228481669808968,0.00283910000145819,0.00292416493761836
"ANN","Emerald","S2",100000,"EmergenceDAS","TotalEffects","AvgMinT0_30",0.0123144525957636,0.487683259163482,-0.0000862264214636088,0.00284141201924049,0.481300572011071,0.493615024606835
"ANN","Emerald","S2",100000,"EmergenceDAS","TotalEffects","AvgMinT30_60",0.000332747982239012,0.010778683515739,0.00000760544612698338,0.0000870439080331188,0.0106125845485696,0.0109453325308086
"ANN","Emerald","S2",100000,"EmergenceDAS","TotalEffects","AvgMinT60_90",0.0000639793805816251,0.00149794891671029,-0.00000133636545807678,0.0000141783672932954,0.00146114389731004,0.00152512327789167
"ANN","Emerald","S2",100000,"EmergenceDAS","TotalEffects","AvgMaxT0_30",0.0102751385739072,0.488885942176093,0.000100349696399882,0.00257183851950868,0.483811267757987,0.494086406331894
"ANN","Emerald","S2",100000,"EmergenceDAS","TotalEffects","AvgMaxT30_60",0.000725047017057778,0.0274308398652452,0.0000222647148404066,0.000197357536359577,0.0270212657286008,0.0277463127456586
"ANN","Emerald","S2",100000,"EmergenceDAS","TotalEffects","AvgMaxT60_90",0.000153954000342874,0.00397503945586775,-0.00000177663133748597,0.0000348755502607979,0.0038974583229784,0.00405141232332128
"ANN","Emerald","S2",100000,"EmergenceDAS","TotalEffects","Rain0_30",0.000140337596384347,0.00450197467414126,0.00000119835333614853,0.0000361842163004182,0.00443380223162653,0.00457413982801087
"ANN","Emerald","S2",100000,"EmergenceDAS","TotalEffects","Rain30_60",0.0000598742219833017,0.00134232412092639,-0.00000194404669049287,0.0000128036082803611,0.00131485732452513,0.00137473154650843
"ANN","Emerald","S2",100000,"EmergenceDAS","TotalEffects","Rain60_90",0.0000158062487503453,0.000360034134096132,0.000000386688966915751,0.00000378033685470611,0.000352242689359367,0.000368048938109713
