"model","location","sowing","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"RF","Emerald","S2",50000,"EmergenceDAS","FirstOrder","ShootLag",0.0204069858750127,0.0145504709567473,-0.0000123851991473359,0.00463768708207625,0.00489629723153573,0.0253032831065485
"RF","Emerald","S2",50000,"EmergenceDAS","FirstOrder","VegTarget",0.0204023021812753,-0.00379052203424467,-0.0000150810575150549,0.00469112379678406,-0.0139964567842172,0.0064058453970581
"RF","Emerald","S2",50000,"EmergenceDAS","FirstOrder","LateVegTarget",0.0205032188268642,-0.00379479569798628,-0.00000815021826140738,0.00468362839731382,-0.0140075414570192,0.00649567736984499
"RF","Emerald","S2",50000,"EmergenceDAS","FirstOrder","FloweringTarget",0.0204352990194037,-0.00381426267707394,-0.00000849710894535545,0.00468917360071278,-0.0140511290230918,0.00638416999631196
"RF","Emerald","S2",50000,"EmergenceDAS","FirstOrder","Population",0.020225560972217,-0.0036736128195877,-0.0000100798626425356,0.00469361490977562,-0.014006944680386,0.00621861629183105
"RF","Emerald","S2",50000,"EmergenceDAS","FirstOrder","FracPAWCmm",0.0198335925458327,0.00522284814183631,-0.0000420757383770244,0.0045485372960674,-0.00484784447587884,0.0149857480699538
"RF","Emerald","S2",50000,"EmergenceDAS","FirstOrder","PAWCmm",0.0202483456052926,-0.00404268379757773,-0.0000489738213741578,0.00468118157977368,-0.0139938110215864,0.00625453458370612
"RF","Emerald","S2",50000,"EmergenceDAS","FirstOrder","sowingESW",0.0204192419100355,-0.0038168535637965,-0.0000103202986964624,0.0046905315259387,-0.014037053206125,0.00638218870391051
"RF","Emerald","S2",50000,"EmergenceDAS","FirstOrder","SowingDOY",0.0201069493443936,0.0366178219480402,-0.000059207786904894,0.00478388201805738,0.0265634194527529,0.0466703687971465
"RF","Emerald","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT0_30",0.0124376718335923,0.451895114349638,0.000116129717831981,0.00323168249132372,0.445666053034489,0.458103724868081
"RF","Emerald","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT30_60",0.0204345921184234,-0.00346072715851987,-0.00000666524552299375,0.00470625519820876,-0.0136195973927005,0.00681499472572285
"RF","Emerald","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT60_90",0.0204707804912455,-0.00358239458313441,-0.0000113545040970014,0.00470560615138211,-0.0137866134685717,0.00668416702267375
"RF","Emerald","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT0_30",0.015995982796826,0.432051964583958,-0.000306974062954879,0.00353291928468059,0.4244357981422,0.440431780939026
"RF","Emerald","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT30_60",0.0204545993112095,-0.00262088319138453,-0.0000054768503400522,0.00470200562437855,-0.0129820758212087,0.0074725234900008
"RF","Emerald","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT60_90",0.0203135901498455,-0.00354444196077116,-0.0000146120889153705,0.00467334302663708,-0.0136506083380715,0.00666298181177399
"RF","Emerald","S2",50000,"EmergenceDAS","FirstOrder","Rain0_30",0.0203966770758212,-0.003846408334782,0.00000366909639991407,0.00468952842442015,-0.0140423503557378,0.00635432672008344
"RF","Emerald","S2",50000,"EmergenceDAS","FirstOrder","Rain30_60",0.020453271713049,-0.00380049229333254,-0.00000596218762541519,0.0046897173561818,-0.0140558446747535,0.00639742703829556
"RF","Emerald","S2",50000,"EmergenceDAS","FirstOrder","Rain60_90",0.0204197324663921,-0.0037854809732308,-0.00000961690308434173,0.00469063008063788,-0.0139928129687859,0.00642691949760625
"RF","Emerald","S2",50000,"EmergenceDAS","FirstOrder","Radn0_30",0.0203178833180368,-0.0014104261166588,-0.0000181457397462118,0.0046560738061701,-0.0112924192822021,0.00902546403583472
"RF","Emerald","S2",50000,"EmergenceDAS","FirstOrder","Radn30_60",0.0201187176168643,-0.00277286087906706,0.0000208998180196486,0.00467939829815299,-0.0127171958855733,0.00740152173129094
"RF","Emerald","S2",50000,"EmergenceDAS","FirstOrder","Radn60_90",0.0197510571721403,-0.00112703142987444,-0.0000341703910031166,0.00469297284045236,-0.0109438883594283,0.00880716881271195
"RF","Emerald","S2",50000,"EmergenceDAS","TotalEffects","ShootLag",0.000561039141990658,0.0180460170092223,0.00000697666659631516,0.000141280227401915,0.0177610783364545,0.0183221174784451
"RF","Emerald","S2",50000,"EmergenceDAS","TotalEffects","VegTarget",0.00000456354054318762,0.000091892166665164,0.0000000196607231994745,0.00000111605274586236,0.0000891862182383309,0.0000937497587815185
"RF","Emerald","S2",50000,"EmergenceDAS","TotalEffects","LateVegTarget",0.0000103230278830774,0.000246024162934733,-0.0000000841407330565234,0.00000244727888572293,0.000240989245815783,0.000251312273698861
"RF","Emerald","S2",50000,"EmergenceDAS","TotalEffects","FloweringTarget",0.000000288600409894806,0.00000537686736634679,0.0000000139909586005512,0.000000074451364784113,0.00000522467468791757,0.00000551327509781238
