"model","location","sowing","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","ShootLag",0.0217447035929132,0.0225583728707444,-0.000537297478255185,0.00497931254573612,0.0127526174694518,0.034497321062365
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","VegTarget",0.0212081533934915,0.0050574171131915,-0.000517116817847775,0.00503388989878827,-0.00434632519534497,0.0168618281981465
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","LateVegTarget",0.0212424416260521,0.00498694822598425,-0.00050331378676927,0.00503615437352899,-0.00447089702723399,0.0167715445988182
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","FloweringTarget",0.0212878962793377,0.00493982579257075,-0.000515264371831921,0.00503103501864229,-0.00452967294858088,0.0167582233307568
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Population",0.0212458573709783,0.00536805079560467,-0.000535407132077991,0.00504532565518684,-0.00401113315606491,0.0172347242149134
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","FracPAWCmm",0.0210442730957197,0.00802840281733025,-0.000667324035119753,0.00505946230106288,-0.000850207360752222,0.0201940657349674
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","PAWCmm",0.0211636949899204,0.00467293601086683,-0.000494798496293916,0.00506484411586635,-0.00466452921342829,0.0164991657764921
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","sowingESW",0.0213079038176168,0.00496128754237059,-0.000513765648620261,0.00503497843716526,-0.00451881733858455,0.0167890864790323
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","SowingDOY",0.0210298668430863,0.0578035991148289,-0.000467087463828349,0.00496664511152894,0.0487555153006417,0.069785382143728
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT0_30",0.014976839745914,0.462202379042582,0.000123469847961799,0.00353393892191233,0.45486446086656,0.469841300612474
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT30_60",0.0213894984449603,0.00528040030738513,-0.000495570472612961,0.00501519560129651,-0.00429014277687785,0.0170993556680825
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT60_90",0.0209426196249201,0.00505575627436223,-0.000528420655097666,0.00503116461590567,-0.00421147216378083,0.0167311474611393
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT0_30",0.0132652158190136,0.430444650500009,-0.000388170055559023,0.00358470980427885,0.423727845852991,0.436993061672004
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT30_60",0.0213562369037308,0.00655329819676828,-0.000492284293162199,0.00504329035758746,-0.0029513616320643,0.0184048752716665
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT60_90",0.0213267952157296,0.00499336270953659,-0.00051384988386519,0.00503351018441086,-0.00454631927433759,0.016780475941392
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Rain0_30",0.0212300242892017,0.0051007357360601,-0.000506229296420049,0.00503220552585394,-0.00436218447763864,0.0168678398115631
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Rain30_60",0.0212935531702351,0.00494879247687647,-0.000518566437855281,0.00504499789481324,-0.00449216265225701,0.0168013905179781
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Rain60_90",0.0213060048285515,0.0049895166101388,-0.00051274000890262,0.00503417621476629,-0.00447473250594626,0.0168312723226053
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Radn0_30",0.0216298726777546,0.00733729472146928,-0.000467485457867347,0.00505592361718514,-0.00254886412806032,0.0190810085496943
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Radn30_60",0.0208832733764808,0.00627871134088362,-0.000530553532551136,0.00504208511575816,-0.00297651273367969,0.0179067606428011
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Radn60_90",0.0208549368132315,0.00897593270569381,-0.000495567827465715,0.00498204187657334,-0.0000175342773272857,0.0208374025359042
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","ShootLag",0.000609320112412028,0.01845290611916,0.0000175181998968675,0.000152783259144326,0.0181170741504477,0.0187263942628598
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","VegTarget",0.00000491124273797014,0.0000924726638373841,0.000000129282209916377,0.000001126055144652,0.0000898644041902178,0.000094775646928188
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","LateVegTarget",0.0000109742393521278,0.000219126005517656,0.000000789133978643672,0.00000263004323474004,0.00021256883771074,0.000223543077062868
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","FloweringTarget",0.00000028837089088463,0.00000481398010976353,0.00000000926077639018496,0.0000000695308602122173,0.0000046832189026729,0.00000497158979355753
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","Population",0.0000519850511647826,0.000924704646001584,0.00000240103069768958,0.0000135449308043042,0.000896208773928329,0.000948193825093112
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","FracPAWCmm",0.00141843252786145,0.00965794027743017,-0.0000119480980764249,0.000370392222301212,0.00905289076745983,0.0104713232953213
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","PAWCmm",0.000381438650944435,0.0019953124371882,0.0000096470694491823,0.0000910600115104354,0.00180362744062421,0.00218506609156864
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","sowingESW",0.000000000000873709118459558,0.000000000000159539048638635,-0.000000000000099950048237929,0.000000000000217475716803661,-0.000000000000100897767916196,0.000000000000772811350543362
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","SowingDOY",0.00200945587778394,0.0586149094213532,0.0000818111206674493,0.000525021789312844,0.0574824736883539,0.0594919295661379
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","AvgMinT0_30",0.0129132349090595,0.480643710269687,0.000451408781242835,0.00315492815870396,0.473457713640164,0.486370948549224
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","AvgMinT30_60",0.0000307503133779543,0.000652524187328973,0.000000128922821924734,0.00000809911724688205,0.000636416682399849,0.000667166995777803
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","AvgMinT60_90",0.0000239993224465742,0.000352994646057314,0.0000000538675465922033,0.00000602377712695728,0.000341571741525142,0.000365571063971716
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","AvgMaxT0_30",0.0109285126095069,0.450763464712803,0.000266748893618551,0.0029173913215017,0.444327287614779,0.455255800224286
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","AvgMaxT30_60",0.00007039341059167,0.00145825484598705,-0.00000203196816540353,0.0000177218906604011,0.00142752531290359,0.00149791872349526
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","AvgMaxT60_90",0.0000270631554994879,0.000467230821693643,0.000000772780739534125,0.00000693707463833116,0.000452023588989704,0.000479086744489192
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","Rain0_30",0.00000681954609219631,0.000119632587979202,0.0000000645353937855984,0.00000172625056671198,0.00011601909251608,0.000122838638608276
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","Rain30_60",0.00000255888723586057,0.0000394939509392733,-0.0000000254834208124346,0.000000621732179939566,0.0000380559927118137,0.0000406148799476743
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","Rain60_90",0.00000242803009055286,0.0000422568544055091,-0.000000036075725924342,0.000000614393595795874,0.0000410798482586521,0.0000435078783492049
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","Radn0_30",0.000201658118927319,0.00372294012873609,0.00000350334280076713,0.0000502203299999999,0.00361062271507544,0.00381228083400276
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","Radn30_60",0.000120495275873903,0.00204614155209126,0.000000187094754711039,0.0000291599818350363,0.0019796433703299,0.0021001386462038
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","Radn60_90",0.000201350008672444,0.00447344124669635,-0.000000626262980162051,0.0000464128552792192,0.00436408507713084,0.00456543508580329
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","ShootLag",0.0184162921903262,0.0180453934600803,0.000503828889064681,0.0042800870817735,0.00840286134767606,0.0268191535380023
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","VegTarget",0.019382643463394,0.00283168942565774,0.000581496260189363,0.00434825608482114,-0.00828909691272419,0.0110935465506698
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","LateVegTarget",0.0189059652765433,0.00266390272107342,0.000607418441881527,0.00437691963823081,-0.0078852763808048,0.0110206888957385
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","FloweringTarget",0.0193414943672981,0.00160632057522919,0.000571386687260223,0.00438619446079638,-0.00910842156517619,0.0102330728021219
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","Population",0.0193749135756695,0.000215500276252554,0.000585564579682772,0.00436233748877944,-0.0106807945207122,0.00869411905495729
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","FracPAWCmm",0.0193527152097578,0.0000306146495065374,0.000597688348813229,0.00436101760909267,-0.0108586932148662,0.00849402199489155
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","PAWCmm",0.0190008995124307,0.000258385794600173,0.00060220560718732,0.00435916550430629,-0.0103984165534869,0.00860248295894385
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","sowingESW",0.0192840517403144,0.0000113079542973848,0.000593167980822134,0.00435853205367112,-0.010836581507549,0.0084474702327654
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","SowingDOY",0.0186332866735465,0.003515081092179,0.000503683099199612,0.00432112988170852,-0.00677532092109484,0.0118579657524516
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","AvgMinT0_30",0.0184825167500814,0.0392182990488951,0.000678219771423245,0.00428559202337766,0.0294289186336558,0.0479114353837372
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","AvgMinT30_60",0.0208710371705597,0.134025729871786,0.000876033862879627,0.00463013529639226,0.123452793359988,0.144323830530547
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","AvgMinT60_90",0.0186427618068764,0.073705932929871,0.000371692394122228,0.00457416957305091,0.0634217323752392,0.0820644941821156
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","AvgMaxT0_30",0.0171770925578424,0.0558175204099686,0.00052619233733061,0.00426611149395198,0.0468771150949666,0.0640542076528089
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","AvgMaxT30_60",0.0153831807668953,0.376060540997999,0.0000979983813759189,0.00337183234668274,0.3675361395486,0.382919320315496
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","AvgMaxT60_90",0.0155637811112369,0.186154477140315,0.000154208697723202,0.0040156614608644,0.178188605496518,0.193752386607755
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","Rain0_30",0.0192726912623482,-0.0000123306771888171,0.00059263327503702,0.00435968910626781,-0.0108697448618647,0.00840294640048344
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","Rain30_60",0.0192487154476011,0.00000416945039265486,0.000590004341565393,0.0043632754769337,-0.0108233090235345,0.00842540642406668
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","Rain60_90",0.0193190650563849,-0.0000178393245073475,0.000591864565485702,0.00435683046468747,-0.0108988128533156,0.00842025220306933
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","Radn0_30",0.0187344181507242,0.00993809678724418,0.000572966641698659,0.00428681136937945,-0.000453525148965159,0.0182808930017591
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","Radn30_60",0.0213133296684091,0.0573672844197697,0.000647807060668665,0.00472162782829823,0.0458033824342925,0.0671167121027016
"RF","Gunnedah","S2",50000,"FloweringDAS","FirstOrder","Radn60_90",0.0193206784735959,0.00297417363839212,0.000699649296792702,0.00445837712809801,-0.00750280384799389,0.011817874625602
"RF","Gunnedah","S2",50000,"FloweringDAS","TotalEffects","ShootLag",0.000962399975939429,0.0218742182686121,-0.0000010635508673959,0.000203327838219042,0.0214328311092705,0.0223952310852099
