"model","location","sowing","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","ShootLag",0.0212904680540505,0.0167714389964782,-0.00119277615783707,0.00493154960625267,0.0079950905961108,0.0292855586501613
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","VegTarget",0.0212179866715232,-0.000707115486172903,-0.00114077733056109,0.00496264559455391,-0.0091791164514502,0.012038870220073
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","LateVegTarget",0.0210397753859528,-0.000638688571939931,-0.00114118426483685,0.00495127303626961,-0.00906541466609673,0.011974360719856
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","FloweringTarget",0.0211573180052303,-0.000726339783902092,-0.0011315664495126,0.00495535452871354,-0.00920014785771718,0.0119571701475131
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","Population",0.021044452138229,-0.000274717017998188,-0.00112900065249432,0.00491982567447585,-0.00884605050473996,0.0121984016334891
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","FracPAWCmm",0.0203294096057869,0.000373975153863642,-0.0012199576483199,0.00495114320659233,-0.0074037017256874,0.0129257078800995
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","PAWCmm",0.0206921308044975,-0.000349733212460215,-0.00114148825713474,0.00491374814470249,-0.00877179113656573,0.0119203396679318
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","sowingESW",0.0211821163117899,-0.000757304756144912,-0.00113390289922463,0.00495672040683887,-0.00924563406562098,0.0119364822461689
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","SowingDOY",0.020258427881683,0.0656689798395394,-0.000821069650113845,0.00502088159232663,0.0578279978862426,0.0780864257679256
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT0_30",0.0150423047465618,0.449171763926388,-0.000941420207370813,0.00374267886836631,0.443060726438021,0.458103031184583
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT30_60",0.0210930099828791,-0.000507241618194767,-0.00112915694506028,0.00495939398234191,-0.00892395743373809,0.012169052549141
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT60_90",0.0210154141927069,-0.000491243822530004,-0.00113202801527925,0.00494896011064667,-0.0089920965949121,0.0120233175977948
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT0_30",0.0148121923672585,0.418698503485928,-0.00032998346371077,0.00363832623093634,0.411842829421166,0.426655021788424
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT30_60",0.0217411262185636,0.000130945657275188,-0.00110893070717316,0.00497467391521635,-0.00876802906205229,0.0129730971565113
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT60_90",0.0212174501952552,-0.000496323728046204,-0.00112949956777884,0.00494422820644616,-0.00903322412384866,0.0121842260714065
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","Rain0_30",0.021168043008767,-0.000765900346621127,-0.00113107445973531,0.00496149760269869,-0.00922395147665996,0.011944091532107
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","Rain30_60",0.0211272116046886,-0.000664803387963864,-0.00113413321330729,0.00494668367902315,-0.00911617946077854,0.0120110321439101
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","Rain60_90",0.021162340449539,-0.000780934255548907,-0.00112436803626404,0.0049489589524359,-0.0092650513398124,0.0118972891097266
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","Radn0_30",0.0207029324463879,0.00199769876044041,-0.00105395509807779,0.00489400529897597,-0.00644837613040662,0.0142545563159813
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","Radn30_60",0.0213776546830412,-0.000126679051460511,-0.0011244591220309,0.00497089853133872,-0.00885960276482931,0.0125180519182119
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","Radn60_90",0.021459139634716,0.00460641752086982,-0.00110122459583595,0.00492121321268118,-0.00389528586803145,0.0175638537666846
"RF","Horsham","S2",50000,"EmergenceDAS","TotalEffects","ShootLag",0.000486578485620628,0.0181909758316159,0.0000094916450431512,0.000124301825046391,0.0179352919391966,0.0184218704248173
"RF","Horsham","S2",50000,"EmergenceDAS","TotalEffects","VegTarget",0.00000399111054081233,0.0000741981452371254,0.000000200734270584539,0.00000094497250404552,0.0000718276727744606,0.0000758187833152729
"RF","Horsham","S2",50000,"EmergenceDAS","TotalEffects","LateVegTarget",0.0000102588831445912,0.000230845138806335,-0.000000116437029162869,0.00000247410028963665,0.000225375227602303,0.000235634110746894
"RF","Horsham","S2",50000,"EmergenceDAS","TotalEffects","FloweringTarget",0.000000277542588159355,0.00000570739822691735,0.00000000170465714099941,0.0000000701245582284946,0.00000556333488097553,0.00000584087746913489
"RF","Horsham","S2",50000,"EmergenceDAS","TotalEffects","Population",0.000074769289571349,0.00138657623075333,0.00000172208286261738,0.0000179004496438344,0.00134343265492325,0.0014182019444946
"RF","Horsham","S2",50000,"EmergenceDAS","TotalEffects","FracPAWCmm",0.000962569280010993,0.00672389229076709,-0.0000019611877366656,0.000233315732260963,0.00620363712446302,0.00716620640447401
"RF","Horsham","S2",50000,"EmergenceDAS","TotalEffects","PAWCmm",0.000222648069583293,0.00155504824675368,-0.00000403334457777286,0.0000491308592203843,0.00143964396270544,0.00166229203228873
"RF","Horsham","S2",50000,"EmergenceDAS","TotalEffects","sowingESW",0.000000000000740756795111989,-0.0000000000000153210777398272,-0.0000000000000499078556259747,0.000000000000206499071750129,-0.000000000000314210695813313,0.000000000000426546099298676
"RF","Horsham","S2",50000,"EmergenceDAS","TotalEffects","SowingDOY",0.00290252163951682,0.0752835055064928,0.0000923431246434014,0.000733311183917834,0.0738135663626298,0.0767160880021466
"RF","Horsham","S2",50000,"EmergenceDAS","TotalEffects","AvgMinT0_30",0.011589922121345,0.481024012410575,0.000551882559711503,0.00272700966348104,0.475072559730275,0.48666248185162
"RF","Horsham","S2",50000,"EmergenceDAS","TotalEffects","AvgMinT30_60",0.0000257047651729696,0.000548351855219398,0.000000525506211427294,0.00000655680946189366,0.000534491309418158,0.000560196074591127
"RF","Horsham","S2",50000,"EmergenceDAS","TotalEffects","AvgMinT60_90",0.0000206134243153327,0.000289703643681416,0.000000779496449194702,0.00000483697304441465,0.000279057345125457,0.00029967076944079
"RF","Horsham","S2",50000,"EmergenceDAS","TotalEffects","AvgMaxT0_30",0.011293078483636,0.44288412119179,0.000557004269922057,0.00271709752162181,0.436770223968264,0.4480633024519
"RF","Horsham","S2",50000,"EmergenceDAS","TotalEffects","AvgMaxT30_60",0.0000658603300720895,0.00119067596262978,0.000000789957124189755,0.0000161251258197978,0.00115626730884219,0.00122212763891428
"RF","Horsham","S2",50000,"EmergenceDAS","TotalEffects","AvgMaxT60_90",0.0000282620760089962,0.000569133558841362,0.000000652908268583574,0.00000711961818578386,0.000555417777348887,0.000583679853357883
"RF","Horsham","S2",50000,"EmergenceDAS","TotalEffects","Rain0_30",0.00000841952899221864,0.000129093594820717,0.000000272000048577868,0.00000219736244013665,0.000124138376429948,0.000132557905422166
"RF","Horsham","S2",50000,"EmergenceDAS","TotalEffects","Rain30_60",0.00000245533513731944,0.0000403589181328101,0.0000000715520745520079,0.000000581940278967101,0.0000389931212502172,0.0000414484563875366
"RF","Horsham","S2",50000,"EmergenceDAS","TotalEffects","Rain60_90",0.00000262691594845558,0.0000398741408073056,0.000000114672482799392,0.000000595774302369916,0.0000385624238875838,0.0000411893398360394
