"model","location","sowing","target","input","mu","mu.star","sigma"
"RF","Emerald","S3","EmergenceDAS","Lat",-0.850657968051945,0.865072128051945,0.649161038375168
"RF","Emerald","S3","EmergenceDAS","ShootLag",1.21010627999999,1.21010627999999,0.368898890271854
"RF","Emerald","S3","EmergenceDAS","VegTarget",0.0307873371428569,0.0532974171428568,0.0722724934650623
"RF","Emerald","S3","EmergenceDAS","LateVegTarget",-0.0873433199999994,0.0972085199999996,0.0910875205842367
"RF","Emerald","S3","EmergenceDAS","FloweringTarget",0.0074096485714284,0.0162344828571426,0.0206485153669524
"RF","Emerald","S3","EmergenceDAS","Population",0.147374880000001,0.1899168,0.290435413983007
"RF","Emerald","S3","EmergenceDAS","FracPAWCmm",-0.107986350000001,0.16106025,0.362319205352884
"RF","Emerald","S3","EmergenceDAS","PAWCmm",0.0819284085714266,0.175721328571427,0.253784374632718
"RF","Emerald","S3","EmergenceDAS","sowingESW",-0.193533154285714,0.245813117142857,0.594255665402989
"RF","Emerald","S3","EmergenceDAS","SowingDOY",2.09250012571428,2.09250012571428,0.919088102616273
"RF","Emerald","S3","EmergenceDAS","AvgMinT0_30",-5.74929532571425,5.74929532571425,2.68024728222742
"RF","Emerald","S3","EmergenceDAS","AvgMinT30_60",-0.149818703896104,0.193255452467532,0.196190816493149
"RF","Emerald","S3","EmergenceDAS","AvgMinT60_90",0.0837892114285718,0.119877411428571,0.141132524610342
"RF","Emerald","S3","EmergenceDAS","AvgMaxT0_30",-5.46711737662334,5.49756711948049,2.73127799112986
"RF","Emerald","S3","EmergenceDAS","AvgMaxT30_60",-0.286960549090907,0.299101189090907,0.271871532240916
"RF","Emerald","S3","EmergenceDAS","AvgMaxT60_90",0.126922191428571,0.14780369142857,0.144953408621695
"RF","Emerald","S3","EmergenceDAS","Rain0_30",-0.0191434051948057,0.0628423309090907,0.099131347707634
"RF","Emerald","S3","EmergenceDAS","Rain30_60",-0.000647408571428899,0.0401120828571425,0.0633203105479907
"RF","Emerald","S3","EmergenceDAS","Rain60_90",0.00481515000000018,0.0401733300000005,0.065964033033401
"RF","Emerald","S3","EmergenceDAS","Radn0_30",-0.363684444805194,0.416187564805194,0.403258788450921
"RF","Emerald","S3","EmergenceDAS","Radn30_60",0.283203074285712,0.299288559999998,0.265010397244573
"RF","Emerald","S3","EmergenceDAS","Radn60_90",0.542106739999998,0.543005659999998,0.294420440625358
"RF","Emerald","S3","FloweringDAS","Lat",-4.30341899714286,4.30626689714286,2.85498644236583
"RF","Emerald","S3","FloweringDAS","ShootLag",5.10025567581395,5.10246031581395,1.8852493856134
"RF","Emerald","S3","FloweringDAS","VegTarget",1.7723755364935,1.7774404964935,1.22620037902467
"RF","Emerald","S3","FloweringDAS","LateVegTarget",-1.92220682571428,1.94173826571428,1.41477708950479
"RF","Emerald","S3","FloweringDAS","FloweringTarget",-1.41861423428572,1.41951222857143,0.727052164984469
"RF","Emerald","S3","FloweringDAS","Population",0.217349168571428,0.343065437142856,0.466647198717236
"RF","Emerald","S3","FloweringDAS","FracPAWCmm",-0.0192330442857139,0.160010635714285,0.213302976223914
"RF","Emerald","S3","FloweringDAS","PAWCmm",0.262081808571433,0.652168885714288,0.861356605857862
"RF","Emerald","S3","FloweringDAS","sowingESW",0.0444602471428544,0.132214412857142,0.167634740135005
"RF","Emerald","S3","FloweringDAS","SowingDOY",-1.50773271,2.75151903857143,3.47396488037035
"RF","Emerald","S3","FloweringDAS","AvgMinT0_30",-7.98509797857144,7.98509797857144,3.96259395910332
"RF","Emerald","S3","FloweringDAS","AvgMinT30_60",-12.6026741215283,12.6026741215283,4.92145652062622
"RF","Emerald","S3","FloweringDAS","AvgMinT60_90",-7.69240015506498,7.69656031506499,4.94232845846445
"RF","Emerald","S3","FloweringDAS","AvgMaxT0_30",-8.89391846370583,8.89391846370583,5.0148472635724
"RF","Emerald","S3","FloweringDAS","AvgMaxT30_60",-22.6057284507793,22.6057284507793,8.00802533351656
"RF","Emerald","S3","FloweringDAS","AvgMaxT60_90",-12.5950908514286,12.5997747942857,9.79897191855725
"RF","Emerald","S3","FloweringDAS","Rain0_30",-0.0780902285714281,0.118716025714285,0.169692081908221
"RF","Emerald","S3","FloweringDAS","Rain30_60",-0.122508500000001,0.147231594285716,0.224737563373768
