"model","location","sowing","target","input","mu","mu.star","sigma"
"RF","Gunnedah","S2","EmergenceDAS","Lat",-0.844478909350646,0.865881689350646,0.661230507362279
"RF","Gunnedah","S2","EmergenceDAS","ShootLag",1.21360343999999,1.21360343999999,0.357428263999465
"RF","Gunnedah","S2","EmergenceDAS","VegTarget",0.0339079371428569,0.0555286971428566,0.0725905103443901
"RF","Gunnedah","S2","EmergenceDAS","LateVegTarget",-0.0862906199999998,0.0968040599999997,0.0881254297270665
"RF","Gunnedah","S2","EmergenceDAS","FloweringTarget",0.00809112857142847,0.0170268428571426,0.0218858879054894
"RF","Gunnedah","S2","EmergenceDAS","Population",0.145889957142858,0.189244517142857,0.286507739185007
"RF","Gunnedah","S2","EmergenceDAS","FracPAWCmm",-0.114399810000001,0.16699875,0.390730606776762
"RF","Gunnedah","S2","EmergenceDAS","PAWCmm",0.0865977999999979,0.174178539999999,0.232268851381502
"RF","Gunnedah","S2","EmergenceDAS","sowingESW",-0.198577517142857,0.255266991428571,0.658360978565562
"RF","Gunnedah","S2","EmergenceDAS","SowingDOY",2.07886504701298,2.07886504701298,0.932612675500913
"RF","Gunnedah","S2","EmergenceDAS","AvgMinT0_30",-5.66589491857139,5.66589491857139,2.64492785949261
"RF","Gunnedah","S2","EmergenceDAS","AvgMinT30_60",-0.159369669090909,0.204182189090909,0.205223023764972
"RF","Gunnedah","S2","EmergenceDAS","AvgMinT60_90",0.0804425228571427,0.119540699999999,0.151673310504138
"RF","Gunnedah","S2","EmergenceDAS","AvgMaxT0_30",-5.0984286837662,5.11849222090906,2.65130915596267
"RF","Gunnedah","S2","EmergenceDAS","AvgMaxT30_60",-0.265828288571427,0.279302368571427,0.246825545163776
"RF","Gunnedah","S2","EmergenceDAS","AvgMaxT60_90",0.133879785714285,0.153251548571428,0.154355809491287
"RF","Gunnedah","S2","EmergenceDAS","Rain0_30",-0.0232305475324679,0.068289004675325,0.105319265899915
"RF","Gunnedah","S2","EmergenceDAS","Rain30_60",1.57971428566297e-05,0.0388279628571429,0.0598368282937028
"RF","Gunnedah","S2","EmergenceDAS","Rain60_90",0.00775395999999979,0.0383704000000003,0.0627324309844251
"RF","Gunnedah","S2","EmergenceDAS","Radn0_30",-0.362259749999999,0.419004707142856,0.408136772825215
"RF","Gunnedah","S2","EmergenceDAS","Radn30_60",0.282829954285713,0.299246554285713,0.255874387272976
"RF","Gunnedah","S2","EmergenceDAS","Radn60_90",0.553532119999998,0.554246719999998,0.306432005157245
"RF","Gunnedah","S2","FloweringDAS","Lat",-4.51011446714286,4.51211636714286,2.93327149585348
"RF","Gunnedah","S2","FloweringDAS","ShootLag",5.17685700503473,5.18032303360616,1.93741869217388
"RF","Gunnedah","S2","FloweringDAS","VegTarget",1.77531303935065,1.78366200506493,1.3051725854192
"RF","Gunnedah","S2","FloweringDAS","LateVegTarget",-1.89195574428571,1.90486414428571,1.42909249807136
"RF","Gunnedah","S2","FloweringDAS","FloweringTarget",-1.42675333285715,1.42934341285715,0.739233337696679
"RF","Gunnedah","S2","FloweringDAS","Population",0.248020457142858,0.357441831428571,0.465889533668172
"RF","Gunnedah","S2","FloweringDAS","FracPAWCmm",-0.0134979885714281,0.160164542857142,0.214464910372712
"RF","Gunnedah","S2","FloweringDAS","PAWCmm",0.164252139450322,0.579038062307462,0.748080930332405
"RF","Gunnedah","S2","FloweringDAS","sowingESW",0.0502787514285694,0.135411508571426,0.170838553173722
"RF","Gunnedah","S2","FloweringDAS","SowingDOY",-1.55559012142857,2.83442953857143,3.61644919186223
"RF","Gunnedah","S2","FloweringDAS","AvgMinT0_30",-7.64802915649352,7.64993551077923,3.79150369807246
"RF","Gunnedah","S2","FloweringDAS","AvgMinT30_60",-12.6958323674721,12.6958323674721,5.09300486722401
"RF","Gunnedah","S2","FloweringDAS","AvgMinT60_90",-7.46114605350654,7.46360737350654,4.68116456851995
"RF","Gunnedah","S2","FloweringDAS","AvgMaxT0_30",-8.78380584571428,8.78380584571428,4.99566337157583
"RF","Gunnedah","S2","FloweringDAS","AvgMaxT30_60",-23.0737526835368,23.0737526835368,7.79972926328562
"RF","Gunnedah","S2","FloweringDAS","AvgMaxT60_90",-12.9278196258442,12.9327845401299,9.95820723492569
"RF","Gunnedah","S2","FloweringDAS","Rain0_30",-0.0737011892207814,0.115609532077923,0.160031859905602
"RF","Gunnedah","S2","FloweringDAS","Rain30_60",-0.124009448571431,0.150213711428574,0.226038068035834
"RF","Gunnedah","S2","FloweringDAS","Rain60_90",-0.0549570642857167,0.0964277357142869,0.152781436753761
"RF","Gunnedah","S2","FloweringDAS","Radn0_30",-3.86126400428572,3.8633393357143,1.81040981946893
"RF","Gunnedah","S2","FloweringDAS","Radn30_60",-7.61952304155847,7.62153268155847,5.02263792016917
"RF","Gunnedah","S2","FloweringDAS","Radn60_90",-1.98589879766235,2.13524928493508,2.30962653256679
"RF","Gunnedah","S2","PoddingDAS","Lat",-13.4651915083117,13.4651915083117,9.84219640349032
"RF","Gunnedah","S2","PoddingDAS","ShootLag",3.98637047142858,3.98637047142858,1.88754393292528
"RF","Gunnedah","S2","PoddingDAS","VegTarget",1.09145860714286,1.10139561,0.848895427570875
"RF","Gunnedah","S2","PoddingDAS","LateVegTarget",-3.60892730025974,3.61004726025974,3.54032485050316
"RF","Gunnedah","S2","PoddingDAS","FloweringTarget",0.993655001428572,1.00354120142857,0.600727618561591
"RF","Gunnedah","S2","PoddingDAS","Population",2.16787429948052,2.22559814441558,2.99981697688693
"RF","Gunnedah","S2","PoddingDAS","FracPAWCmm",-0.15022152042957,0.451190813636362,0.610152677887849
"RF","Gunnedah","S2","PoddingDAS","PAWCmm",1.07550844168832,2.23129908116884,3.04723200772263
"RF","Gunnedah","S2","PoddingDAS","sowingESW",-0.389218688041957,0.650704125084915,0.949029248640359
"RF","Gunnedah","S2","PoddingDAS","SowingDOY",-8.11350245013986,8.41509381819181,7.03251270352848
"RF","Gunnedah","S2","PoddingDAS","AvgMinT0_30",-4.9170029015085,5.0719778872028,4.36789788659734
"RF","Gunnedah","S2","PoddingDAS","AvgMinT30_60",-9.06997085662339,9.07600618409591,4.30777049383984
"RF","Gunnedah","S2","PoddingDAS","AvgMinT60_90",-26.4430801602098,26.4430801602098,15.5056546933236
"RF","Gunnedah","S2","PoddingDAS","AvgMaxT0_30",-3.13437378558441,3.58039372948052,3.17684695103248
"RF","Gunnedah","S2","PoddingDAS","AvgMaxT30_60",-17.5556352532668,17.5556352532668,6.88008086509946
"RF","Gunnedah","S2","PoddingDAS","AvgMaxT60_90",-40.2511595272129,40.2523046872129,23.4430451534261
"RF","Gunnedah","S2","PoddingDAS","Rain0_30",0.293750414025974,0.415148305974027,0.638899041765021
"RF","Gunnedah","S2","PoddingDAS","Rain30_60",0.175401022077925,0.329126764155846,0.548261171887541
