"model","location","sowing","target","input","mu","mu.star","sigma"
"RF","Horsham","S2","EmergenceDAS","Lat",-0.835918888051945,0.868013488051946,0.682012572940708
"RF","Horsham","S2","EmergenceDAS","ShootLag",1.20752723999999,1.20752723999999,0.34361601538929
"RF","Horsham","S2","EmergenceDAS","VegTarget",0.0350397428571428,0.0578071199999998,0.0765605926508955
"RF","Horsham","S2","EmergenceDAS","LateVegTarget",-0.0848598599999996,0.0949920599999994,0.0903872273412943
"RF","Horsham","S2","EmergenceDAS","FloweringTarget",0.00764441999999991,0.0167318999999998,0.0215752592168406
"RF","Horsham","S2","EmergenceDAS","Population",0.139137617142858,0.186891222857143,0.275550529618414
"RF","Horsham","S2","EmergenceDAS","FracPAWCmm",-0.106393135714286,0.158811621428572,0.350376999662919
"RF","Horsham","S2","EmergenceDAS","PAWCmm",0.0818450199999981,0.180662099999999,0.24468492742854
"RF","Horsham","S2","EmergenceDAS","sowingESW",-0.198685542857143,0.254196222857143,0.629211743071866
"RF","Horsham","S2","EmergenceDAS","SowingDOY",2.09228995662337,2.09228995662337,0.880841826908482
"RF","Horsham","S2","EmergenceDAS","AvgMinT0_30",-5.74802269857139,5.74802269857139,2.54066803576433
"RF","Horsham","S2","EmergenceDAS","AvgMinT30_60",-0.153075529610389,0.195437929610389,0.193788303276315
"RF","Horsham","S2","EmergenceDAS","AvgMinT60_90",0.0808139657142851,0.122471965714285,0.157269861535773
"RF","Horsham","S2","EmergenceDAS","AvgMaxT0_30",-5.25648161129867,5.27260292558438,2.67954824208067
"RF","Horsham","S2","EmergenceDAS","AvgMaxT30_60",-0.284304000519479,0.292701257662336,0.249871546098759
"RF","Horsham","S2","EmergenceDAS","AvgMaxT60_90",0.133374935714285,0.149726255714285,0.144733101622428
"RF","Horsham","S2","EmergenceDAS","Rain0_30",-0.0227745109090911,0.0686959909090906,0.105096334423786
"RF","Horsham","S2","EmergenceDAS","Rain30_60",-0.00425352000000052,0.0422740800000005,0.0664617362065513
"RF","Horsham","S2","EmergenceDAS","Rain60_90",0.00479573999999997,0.0376805400000004,0.0623017945299661
"RF","Horsham","S2","EmergenceDAS","Radn0_30",-0.365173911038959,0.409269985324673,0.38402276753988
"RF","Horsham","S2","EmergenceDAS","Radn30_60",0.290024854285713,0.302831974285713,0.260564332062974
"RF","Horsham","S2","EmergenceDAS","Radn60_90",0.559636929999999,0.559653969999999,0.299487315813221
