"model","location","sowing","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"RF","Emerald","S1",1e+05,"EmergenceDAS","FirstOrder","ShootLag",0.00142707543857212,0.931928820196704,2.32301468768847e-05,0.000330594658356937,0.931141292152523,0.932568367591095
"RF","Emerald","S1",1e+05,"EmergenceDAS","FirstOrder","VegTarget",0.0126889635196411,0.00726012151620269,0.000295392172206565,0.00326539429920182,0.000507743689643948,0.013196707209285
"RF","Emerald","S1",1e+05,"EmergenceDAS","FirstOrder","LateVegTarget",0.0118041985582715,0.023199286819933,0.000425733562887939,0.00332034833191024,0.0164396919036111,0.0282438904618825
"RF","Emerald","S1",1e+05,"EmergenceDAS","FirstOrder","FloweringTarget",0.0117699372061935,-0.000408316483822387,0.000425285907032788,0.00323721701174061,-0.00696933954613801,0.00480059766005551
"RF","Emerald","S1",1e+05,"EmergenceDAS","FirstOrder","Population",0.0120947928444955,0.015697937536339,0.000484132186905632,0.00323800035633133,0.00906394334870389,0.0211587361931994
"RF","Emerald","S1",1e+05,"EmergenceDAS","FirstOrder","FracPAWC",0.0123668486284686,0.0143124571949467,0.000338771040387743,0.0032613859422211,0.00741401274614975,0.0197808613746184
"RF","Emerald","S1",1e+05,"EmergenceDAS","TotalEffects","ShootLag",0.0119352103957422,0.937682484045433,-0.000618349834200504,0.00305263283263475,0.932710926835865,0.944646137231607
"RF","Emerald","S1",1e+05,"EmergenceDAS","TotalEffects","VegTarget",0.000161001467297323,0.00789265270289274,-1.75837370257684e-06,4.09292236287715e-05,0.00781460183549471,0.00797560330279204
"RF","Emerald","S1",1e+05,"EmergenceDAS","TotalEffects","LateVegTarget",0.000493455142765813,0.0244535794337373,-1.68487091116928e-05,0.000117053417030694,0.0241885797037293,0.0246820348464951
"RF","Emerald","S1",1e+05,"EmergenceDAS","TotalEffects","FloweringTarget",3.24411514207574e-06,0.000143228226010317,1.8068361284934e-08,7.43524525723597e-07,0.000141669995960197,0.000144914111102272
"RF","Emerald","S1",1e+05,"EmergenceDAS","TotalEffects","Population",0.000293965638390795,0.0168048232724749,-4.28265287402696e-06,6.63910318807008e-05,0.0166732967990538,0.0169672624374446
"RF","Emerald","S1",1e+05,"EmergenceDAS","TotalEffects","FracPAWC",0.000480888937406131,0.0195698992686073,1.38984371883567e-05,0.000121255617098244,0.0193194922897737,0.0198003812271799
"RF","Emerald","S1",1e+05,"FloweringDAS","FirstOrder","ShootLag",0.00676225575317724,0.479132826925322,-1.43404961132076e-05,0.00194211048199036,0.475575151073744,0.482337406826921
"RF","Emerald","S1",1e+05,"FloweringDAS","FirstOrder","VegTarget",0.0143799971826972,0.148254361641396,9.42580271319216e-05,0.00360282964014031,0.140888141405978,0.155268138588675
"RF","Emerald","S1",1e+05,"FloweringDAS","FirstOrder","LateVegTarget",0.0124388094986483,0.341075817621642,0.000225315698836992,0.00280557849652204,0.333946952143889,0.346385761642537
"RF","Emerald","S1",1e+05,"FloweringDAS","FirstOrder","FloweringTarget",0.0134397355905471,0.0305308373675127,0.000123846725788166,0.00348356819984581,0.0236064321208905,0.0370461677114376
"RF","Emerald","S1",1e+05,"FloweringDAS","FirstOrder","Population",0.0142075614551158,0.00238216598799786,0.000123411269251296,0.00351489660219263,-0.00514094516685091,0.00906661628826484
"RF","Emerald","S1",1e+05,"FloweringDAS","FirstOrder","FracPAWC",0.0140936477740233,0.00254472504408157,0.00013365262985397,0.00351875341353302,-0.00496519104887801,0.00912845672514531
"RF","Emerald","S1",1e+05,"FloweringDAS","TotalEffects","ShootLag",0.00927968802152046,0.479069663301779,3.80945769345997e-06,0.00219986611312307,0.473956733664351,0.483236421685871
"RF","Emerald","S1",1e+05,"FloweringDAS","TotalEffects","VegTarget",0.00320085450576557,0.149198504423514,-1.15935025055136e-05,0.000853216302829298,0.14742032606367,0.150621180569435
"RF","Emerald","S1",1e+05,"FloweringDAS","TotalEffects","LateVegTarget",0.00594314630856413,0.342232669172252,-3.29418348180011e-05,0.001493778770772,0.338848472868793,0.344791619177357
"RF","Emerald","S1",1e+05,"FloweringDAS","TotalEffects","FloweringTarget",0.000730925498382648,0.0323131943270195,4.76573588090862e-06,0.000193944978482833,0.0319304002235344,0.0326613257219171
"RF","Emerald","S1",1e+05,"FloweringDAS","TotalEffects","Population",8.48655664925066e-06,0.000411505925779321,3.97741864694963e-07,2.13471985491328e-06,0.000406903076274917,0.000415389632924168
"RF","Emerald","S1",1e+05,"FloweringDAS","TotalEffects","FracPAWC",1.89142759579449e-05,0.000814653894956274,-2.21375646028941e-07,4.63558742092005e-06,0.000806544352775356,0.000825458628733301
"RF","Emerald","S1",1e+05,"PoddingDAS","FirstOrder","ShootLag",0.0091870715025214,0.483439439542408,2.28320624434675e-05,0.00235147420228477,0.478669783948649,0.487856855451171
"RF","Emerald","S1",1e+05,"PoddingDAS","FirstOrder","VegTarget",0.0140067925329716,0.0300786050079568,4.62386145214239e-05,0.00305470110815372,0.0229368003040176,0.0369435928369892
"RF","Emerald","S1",1e+05,"PoddingDAS","FirstOrder","LateVegTarget",0.0102864037153352,0.446714089493373,0.000158907330387703,0.00229976503202586,0.441149810365925,0.45143621408126
"RF","Emerald","S1",1e+05,"PoddingDAS","FirstOrder","FloweringTarget",0.0146717156807901,0.0123936252909248,0.000129187606004791,0.0030982180931569,0.004787487650389,0.0194592033311791
"RF","Emerald","S1",1e+05,"PoddingDAS","FirstOrder","Population",0.0142966475980869,0.013290554231067,0.000143958429360245,0.00312391126959511,0.00630604141135874,0.0206026890094457
"RF","Emerald","S1",1e+05,"PoddingDAS","FirstOrder","FracPAWC",0.0144607828785207,0.00674342751281501,6.6233563089043e-05,0.0030135391422431,-0.000506133290143922,0.0139546495883767
"RF","Emerald","S1",1e+05,"PoddingDAS","TotalEffects","ShootLag",0.00887015696179588,0.488622472678235,0.000155758264470507,0.00215954048523986,0.483443207403655,0.492313364365451
"RF","Emerald","S1",1e+05,"PoddingDAS","TotalEffects","VegTarget",0.000795054241789009,0.0346808900186144,5.15271011338608e-06,0.000200016826231298,0.0342366298700213,0.0350316841118103
"RF","Emerald","S1",1e+05,"PoddingDAS","TotalEffects","LateVegTarget",0.00859187722373345,0.453082910952723,-0.00012174002959392,0.00206440345811665,0.448864892276416,0.45745676950015
"RF","Emerald","S1",1e+05,"PoddingDAS","TotalEffects","FloweringTarget",0.000385855948590152,0.014554913012974,4.49976483225638e-06,9.92009946380752e-05,0.014335185051809,0.0147210410003991
"RF","Emerald","S1",1e+05,"PoddingDAS","TotalEffects","Population",0.000224619653264617,0.0124860166194001,6.30127755736273e-06,6.24271380936754e-05,0.0123513400062302,0.0125759596594948
"RF","Emerald","S1",1e+05,"PoddingDAS","TotalEffects","FracPAWC",0.000139657691953218,0.00679512907635593,2.21594037046885e-06,3.67826871003686e-05,0.0067215146738234,0.00686117236577662
"RF","Emerald","S1",1e+05,"MaturityDAS","FirstOrder","ShootLag",0.00846087919734678,0.47946921128399,8.31123938395129e-05,0.00191561572510086,0.474791852139727,0.483252731337074
"RF","Emerald","S1",1e+05,"MaturityDAS","FirstOrder","VegTarget",0.0127522861625703,0.0382073615990402,-0.000184170930137617,0.00299463954509209,0.0323755219117503,0.0451278080743206
"RF","Emerald","S1",1e+05,"MaturityDAS","FirstOrder","LateVegTarget",0.00973311921134751,0.398784550825158,-8.78274358195319e-05,0.00239069907685057,0.394102527917816,0.403835647129163
"RF","Emerald","S1",1e+05,"MaturityDAS","FirstOrder","FloweringTarget",0.0111719322069533,0.0120309219275589,-0.000146162748900279,0.00291348767168888,0.00716451053742018,0.0183364427443735
"RF","Emerald","S1",1e+05,"MaturityDAS","FirstOrder","Population",0.0117730522964813,0.0216005511191154,-3.60790122863608e-05,0.00295234447644828,0.0154148858066992,0.0271879381031805
"RF","Emerald","S1",1e+05,"MaturityDAS","FirstOrder","FracPAWC",0.0120387866979524,-0.00491707503926971,-6.31855738707741e-05,0.00299284727433648,-0.010682567943921,0.00135621875403148
"RF","Emerald","S1",1e+05,"MaturityDAS","TotalEffects","ShootLag",0.00890657289046681,0.499876753709454,1.48158136514254e-05,0.00205714472357459,0.495885088623136,0.504791661513603
"RF","Emerald","S1",1e+05,"MaturityDAS","TotalEffects","VegTarget",0.00131590493402711,0.053081889502351,1.29974409459888e-05,0.000330043010503427,0.0524265545056058,0.0537424594396329
"RF","Emerald","S1",1e+05,"MaturityDAS","TotalEffects","LateVegTarget",0.00621122472767249,0.412350353173417,-7.28135655130857e-05,0.00152770175805154,0.408786444922324,0.414997669649997
"RF","Emerald","S1",1e+05,"MaturityDAS","TotalEffects","FloweringTarget",0.000736287361977592,0.028760942676063,1.91582578654495e-05,0.000187361413117508,0.0283727509224331,0.0291090382844107
"RF","Emerald","S1",1e+05,"MaturityDAS","TotalEffects","Population",0.000615836343842449,0.028084960866786,1.25720001972023e-05,0.000139106620084842,0.027797725102595,0.0284135614464374
"RF","Emerald","S1",1e+05,"MaturityDAS","TotalEffects","FracPAWC",7.46819210285916e-05,0.00274495748920167,-1.55119906052482e-07,1.70762992429952e-05,0.00271080352118736,0.00278548544221595
"RF","Emerald","S1",1e+05,"Biomass","FirstOrder","ShootLag",0.0130386705438763,0.000584904090114724,-4.0808881033185e-05,0.00303620311009336,-0.00581400171369146,0.00722466883018488
"RF","Emerald","S1",1e+05,"Biomass","FirstOrder","VegTarget",0.0131550721848852,0.000741036508694582,-5.02411827987301e-05,0.00306435547036541,-0.00582685390254199,0.00732821828234318
"RF","Emerald","S1",1e+05,"Biomass","FirstOrder","LateVegTarget",0.0132118770879646,0.000722475345414897,-6.02975588728732e-05,0.00304935781251084,-0.0057602190153279,0.00745165807263667
"RF","Emerald","S1",1e+05,"Biomass","FirstOrder","FloweringTarget",0.0131643817898285,0.000561935295933584,-4.3615324305521e-05,0.00305189852802545,-0.00597200206083431,0.00719237972899419
"RF","Emerald","S1",1e+05,"Biomass","FirstOrder","Population",0.0140273054905425,0.0108827467692542,-5.81112074315333e-05,0.0030792086382198,0.00427814585925333,0.0183054513497959
"RF","Emerald","S1",1e+05,"Biomass","FirstOrder","FracPAWC",0.000325400719842439,0.985930275800586,-1.75388011802724e-06,8.24370193215004e-05,0.985762955140531,0.986088355860373
"RF","Emerald","S1",1e+05,"Biomass","TotalEffects","ShootLag",1.33899357551782e-05,0.000301991257357748,-1.30901142665358e-07,3.14993720283721e-06,0.0002943044903069,0.000307694426062079
