"model","location","sowing","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"RF","Emerald","S2",1e+05,"EmergenceDAS","FirstOrder","ShootLag",0.0113560385755039,0.0174158213439613,9.50072222842477e-05,0.002806457974279,0.0123655971755495,0.0237216357510535
"RF","Emerald","S2",1e+05,"EmergenceDAS","FirstOrder","VegTarget",0.0109560498757835,0.000686888273620525,9.42729660890695e-05,0.00280347047372181,-0.00451423824533679,0.00644181163044675
"RF","Emerald","S2",1e+05,"EmergenceDAS","FirstOrder","LateVegTarget",0.0108592910045361,0.000779748445509304,9.22183481034218e-05,0.00279698741957107,-0.00439025311903317,0.00646903788550292
"RF","Emerald","S2",1e+05,"EmergenceDAS","FirstOrder","FloweringTarget",0.0108860831818348,0.000627355529027414,9.5317833909289e-05,0.00279821481238337,-0.00457913689505654,0.00630694628677828
"RF","Emerald","S2",1e+05,"EmergenceDAS","FirstOrder","Population",0.0110910138455349,0.000798543427446561,8.78996120775742e-05,0.00278797499438008,-0.00452386691362884,0.00656714693190608
"RF","Emerald","S2",1e+05,"EmergenceDAS","FirstOrder","FracPAWCmm",0.0106341334407461,0.00815737348516658,0.000181331784764482,0.0027044740905294,0.00307147574484268,0.0137056091855888
"RF","Emerald","S2",1e+05,"EmergenceDAS","FirstOrder","PAWCmm",0.0104971824037945,0.000608033930786817,0.000115163224188402,0.00277079587009714,-0.00459187470606132,0.00590530769773319
"RF","Emerald","S2",1e+05,"EmergenceDAS","FirstOrder","sowingESW",0.0108871858630148,0.0006000456830237,9.5360136956892e-05,0.00279688499373856,-0.00459936073157363,0.00628782513144121
"RF","Emerald","S2",1e+05,"EmergenceDAS","FirstOrder","SowingDOY",0.0110277142410727,0.0363933911223158,3.48527373683627e-07,0.00276632045510799,0.0308569757457013,0.0418846899867739
"RF","Emerald","S2",1e+05,"EmergenceDAS","FirstOrder","AvgMinT0_30",0.00789494423139908,0.447832384471252,-0.000203809954955669,0.00184562731260363,0.443974802694015,0.451869746925414
"RF","Emerald","S2",1e+05,"EmergenceDAS","FirstOrder","AvgMinT30_60",0.0109169865354977,0.000778556451002412,9.05695837902342e-05,0.0027669632588475,-0.00438026080507492,0.00653672573042279
"RF","Emerald","S2",1e+05,"EmergenceDAS","FirstOrder","AvgMinT60_90",0.0110091212735138,0.000627239656475179,7.59563441635855e-05,0.00280525116944628,-0.00462686120552394,0.00638226006798988
"RF","Emerald","S2",1e+05,"EmergenceDAS","FirstOrder","AvgMaxT0_30",0.00811011238184517,0.437523217009151,0.000443435837266581,0.00208972599063751,0.432797896997347,0.440908009379193
"RF","Emerald","S2",1e+05,"EmergenceDAS","FirstOrder","AvgMaxT30_60",0.0109703912635369,0.00171781384225421,9.19800776045308e-05,0.00281238163674388,-0.00347308149019764,0.0074973097733393
