"model","location","sowing","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"RF","Emerald","S2",10000,"EmergenceDAS","FirstOrder","Lat",0.0390241591797009,0.0111446854549843,-0.000784103063315004,0.00983294810889165,-0.00885488380057045,0.0301692753791305
"RF","Emerald","S2",10000,"EmergenceDAS","FirstOrder","ShootLag",0.0392068020000587,0.0181273469297006,-0.000283759357631922,0.00929681102304178,-0.0019219188281043,0.0372848831719544
"RF","Emerald","S2",10000,"EmergenceDAS","FirstOrder","VegTarget",0.0393824889476929,-0.000349218570671292,-0.000419603288106346,0.00947633231887843,-0.0217383130174518,0.0176441759302411
"RF","Emerald","S2",10000,"EmergenceDAS","FirstOrder","LateVegTarget",0.0393117617448784,-0.000175854638544482,-0.000400364871920237,0.00948590395222346,-0.02149203402445,0.0178197277204283
"RF","Emerald","S2",10000,"EmergenceDAS","FirstOrder","FloweringTarget",0.039293189130772,-0.000298456501168797,-0.000429050922879013,0.00945693190698548,-0.0215599068739633,0.0177332822568087
"RF","Emerald","S2",10000,"EmergenceDAS","FirstOrder","Population",0.0394042667818745,0.0000247955388002302,-0.000478669193374245,0.00945037065297373,-0.0213362540201758,0.0180680127616987
"RF","Emerald","S2",10000,"EmergenceDAS","FirstOrder","FracPAWCmm",0.0380398497221107,-0.000989685112792738,-0.00037204910799852,0.0093421959179069,-0.0216080323674896,0.0164318173546211
"RF","Emerald","S2",10000,"EmergenceDAS","FirstOrder","PAWCmm",0.0393839329099548,0.000166283373815998,-0.000364242393031483,0.00944436171576888,-0.0212946206363721,0.0180893122735826
"RF","Emerald","S2",10000,"EmergenceDAS","FirstOrder","sowingESW",0.0398986525796024,0.000275498670887986,-0.00049293972707483,0.00947023928857439,-0.0210145102008584,0.018884142378744
"RF","Emerald","S2",10000,"EmergenceDAS","FirstOrder","SowingDOY",0.039922978046847,0.0466150724769293,-0.000469837629675895,0.00943249418835019,0.0240822020438376,0.0640051800906846
"RF","Emerald","S2",10000,"EmergenceDAS","FirstOrder","AvgMinT0_30",0.0268067196413631,0.440220288305019,0.0000256353383031316,0.00624201328947213,0.425930102938528,0.452736822579891
"RF","Emerald","S2",10000,"EmergenceDAS","FirstOrder","AvgMinT30_60",0.0393694614288664,-0.000672987137788343,-0.000369901434321845,0.00946519551018764,-0.0219409166761584,0.0174285447527081
"RF","Emerald","S2",10000,"EmergenceDAS","FirstOrder","AvgMinT60_90",0.0390250933116313,-0.000193630997060636,-0.000423334151372266,0.00945214271703472,-0.0212441352661071,0.0177809580455242
"RF","Emerald","S2",10000,"EmergenceDAS","FirstOrder","AvgMaxT0_30",0.0323991661399376,0.428630228419059,-0.0000636395437111359,0.00792310462576703,0.411430147505035,0.443829313644973
"RF","Emerald","S2",10000,"EmergenceDAS","FirstOrder","AvgMaxT30_60",0.0401310501190583,0.000800206583681517,-0.00041316887403806,0.00949332904713402,-0.0209295726643275,0.0192014774547308
"RF","Emerald","S2",10000,"EmergenceDAS","FirstOrder","AvgMaxT60_90",0.0393467356226021,-0.000417598119241112,-0.000406776255622738,0.0094520290453128,-0.0219242524060372,0.0174224832165649
"RF","Emerald","S2",10000,"EmergenceDAS","FirstOrder","Rain0_30",0.0392478616887141,-0.000249198835150942,-0.000426958484418487,0.009466286738267,-0.0214276832924235,0.0178201783962906
"RF","Emerald","S2",10000,"EmergenceDAS","FirstOrder","Rain30_60",0.0393510233288882,-0.000187849022528076,-0.000421300034169029,0.00945646584625567,-0.0215343607417757,0.0178166625871125
"RF","Emerald","S2",10000,"EmergenceDAS","FirstOrder","Rain60_90",0.0393824690294473,-0.000343598368229204,-0.000420627486313543,0.00946081111333349,-0.0216989603424831,0.0176835086869642
"RF","Emerald","S2",10000,"EmergenceDAS","FirstOrder","Radn0_30",0.0380705565073305,0.00179647478295951,-0.000395143588903744,0.00948856789435229,-0.018983417838837,0.0190871386684935
"RF","Emerald","S2",10000,"EmergenceDAS","FirstOrder","Radn30_60",0.0389239589674299,0.000608236053374708,-0.000501597125862319,0.00949454206911095,-0.0203212842053705,0.0186026747620594
"RF","Emerald","S2",10000,"EmergenceDAS","FirstOrder","Radn60_90",0.0394869101537556,0.00384646403061674,-0.000414324572422475,0.00953989530587872,-0.0178254908204933,0.0216614193332623
"RF","Emerald","S2",10000,"EmergenceDAS","TotalEffects","Lat",0.0014306325111269,0.0157429739103081,0.000065358729227423,0.000348175335993723,0.0150316680278369,0.0164623005389638
"RF","Emerald","S2",10000,"EmergenceDAS","TotalEffects","ShootLag",0.0013543598402207,0.0182939106605829,0.0000501163064830848,0.000336345731454256,0.0175821058480011,0.0189364656882218
"RF","Emerald","S2",10000,"EmergenceDAS","TotalEffects","VegTarget",0.000010007457294826,0.0000863632840157891,0.000000359951314149459,0.00000246364224435206,0.0000813404509793339,0.0000913479082741599
"RF","Emerald","S2",10000,"EmergenceDAS","TotalEffects","LateVegTarget",0.0000225193152748804,0.000229429210142018,0.000000536279699364645,0.00000501228663295956,0.000216398096056131,0.000238917411331012
"RF","Emerald","S2",10000,"EmergenceDAS","TotalEffects","FloweringTarget",0.00000072238125097751,0.00000522707404004841,0.0000000104297259562181,0.000000174048891955689,0.00000479107860831275,0.00000551345985929026
"RF","Emerald","S2",10000,"EmergenceDAS","TotalEffects","Population",0.000141005166467983,0.00104100815679853,0.00000207165447019373,0.000033614708121273,0.000974653254426375,0.00111565842089436
"RF","Emerald","S2",10000,"EmergenceDAS","TotalEffects","FracPAWCmm",0.000595285669596667,0.00232962039156015,0.00000390722063990699,0.000161295562077923,0.00201093077092044,0.00260621644051711
"RF","Emerald","S2",10000,"EmergenceDAS","TotalEffects","PAWCmm",0.000114584276882202,0.000914929567587541,0.000000137706436623706,0.0000304730148258101,0.000856641061760406,0.000971225338642608
"RF","Emerald","S2",10000,"EmergenceDAS","TotalEffects","sowingESW",0.00120344941264099,0.00352710518386556,0.0000171292007180514,0.000289287112269136,0.00287097611912725,0.00407442553176824
"RF","Emerald","S2",10000,"EmergenceDAS","TotalEffects","SowingDOY",0.00521891802279973,0.0581510219687206,0.000134327976136883,0.00126633781075581,0.0551408316186208,0.0603597496414206
"RF","Emerald","S2",10000,"EmergenceDAS","TotalEffects","AvgMinT0_30",0.0293884362806795,0.483674475442624,0.000761403215705614,0.00704690798544741,0.469062863852978,0.498451300133658
"RF","Emerald","S2",10000,"EmergenceDAS","TotalEffects","AvgMinT30_60",0.0000563190005880196,0.000636727538608994,0.00000232698921228238,0.0000137871390303119,0.000605839231351304,0.000662158231939323
"RF","Emerald","S2",10000,"EmergenceDAS","TotalEffects","AvgMinT60_90",0.0000453684195140297,0.000340462301688493,0.00000162751332544067,0.0000110349652184815,0.000315678393993152,0.000361046813507182
"RF","Emerald","S2",10000,"EmergenceDAS","TotalEffects","AvgMaxT0_30",0.0267483245942123,0.458191137715336,0.000826221200954547,0.00619157810204963,0.44375232933507,0.470500653929282
"RF","Emerald","S2",10000,"EmergenceDAS","TotalEffects","AvgMaxT30_60",0.000137793934779495,0.00145652503570914,0.00000498410139052378,0.0000346531560633844,0.00137989332227658,0.00151768725705607
"RF","Emerald","S2",10000,"EmergenceDAS","TotalEffects","AvgMaxT60_90",0.0000524708394942918,0.000493732461168794,0.0000000185188256885327,0.0000126355715532905,0.000470283205910794,0.000522754045405086
"RF","Emerald","S2",10000,"EmergenceDAS","TotalEffects","Rain0_30",0.0000181436746575279,0.000123077583906284,-0.000000159568257743767,0.00000454002481625764,0.000113811836642707,0.000131955511300235
