"model","location","sowing","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"RF","Gunnedah","S2",10000,"EmergenceDAS","FirstOrder","Lat",0.038136588671469,0.0188145285739451,-0.000687242832277401,0.00978855557910807,0.00142441619763856,0.0395610048691075
"RF","Gunnedah","S2",10000,"EmergenceDAS","FirstOrder","ShootLag",0.0412132353906191,0.0281217003718018,-0.000999034341088462,0.00994841262181425,0.0079305212120934,0.0491437566027125
"RF","Gunnedah","S2",10000,"EmergenceDAS","FirstOrder","VegTarget",0.0392768199346315,0.0109870646427766,-0.000612269062460221,0.00989863558468315,-0.00691156956846784,0.0323652503661637
"RF","Gunnedah","S2",10000,"EmergenceDAS","FirstOrder","LateVegTarget",0.0394130707999345,0.0110262121106272,-0.00061988831109345,0.00990219036404164,-0.0068376155779398,0.0325754552219947
"RF","Gunnedah","S2",10000,"EmergenceDAS","FirstOrder","FloweringTarget",0.0394836617741654,0.0108360313693553,-0.000612486724780382,0.00989202480092084,-0.00713749451625768,0.0323461672579077
"RF","Gunnedah","S2",10000,"EmergenceDAS","FirstOrder","Population",0.0400803700561613,0.0118260104660178,-0.000591281872450862,0.00990377998959138,-0.00618865608088109,0.0338917139752802
"RF","Gunnedah","S2",10000,"EmergenceDAS","FirstOrder","FracPAWCmm",0.0396221232627244,0.0109336650620824,-0.000557412827419272,0.00984328393236833,-0.00734836155415513,0.0322737617085692
"RF","Gunnedah","S2",10000,"EmergenceDAS","FirstOrder","PAWCmm",0.0392251029310923,0.0111039591166678,-0.000545064674896924,0.00989455131324047,-0.00656753504292123,0.0326575678881711
"RF","Gunnedah","S2",10000,"EmergenceDAS","FirstOrder","sowingESW",0.0402950148336495,0.0123967825204405,-0.000577532147999629,0.00989002553217519,-0.00594218901787751,0.034352825815772
"RF","Gunnedah","S2",10000,"EmergenceDAS","FirstOrder","SowingDOY",0.039758319339117,0.0579835802340257,-0.000658336421862742,0.0101620517880605,0.0379769824719436,0.0777353018110606
"RF","Gunnedah","S2",10000,"EmergenceDAS","FirstOrder","AvgMinT0_30",0.0346455691900953,0.44738916676613,-0.000619269199255534,0.00776171203942842,0.432292687522626,0.466938256712722
"RF","Gunnedah","S2",10000,"EmergenceDAS","FirstOrder","AvgMinT30_60",0.0391252144246015,0.0111401035311463,-0.000597691150890369,0.00991705373270851,-0.00696953986927485,0.0321556745553267
