"model","location","sowing","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"RF","Horsham","S2",10000,"EmergenceDAS","FirstOrder","Lat",0.0401483747468872,0.017241819907729,0.000123782659095163,0.00980305182775716,-0.00227075696891184,0.0378776177779753
"RF","Horsham","S2",10000,"EmergenceDAS","FirstOrder","ShootLag",0.0412660030298216,0.0185541318040562,-0.0000411118539411191,0.00964248321422337,-0.0000692225502184549,0.0411967804796031
"RF","Horsham","S2",10000,"EmergenceDAS","FirstOrder","VegTarget",0.0389513447577778,0.00561302571603102,-0.0000357299673089569,0.00959395193473503,-0.0120045834424494,0.0269467613153284
"RF","Horsham","S2",10000,"EmergenceDAS","FirstOrder","LateVegTarget",0.0390472516169052,0.00573605623992191,-0.0000436778083435967,0.00962472179175881,-0.0119154830074963,0.0271317686094089
"RF","Horsham","S2",10000,"EmergenceDAS","FirstOrder","FloweringTarget",0.0389861814943709,0.00565463387498224,-0.0000272864199310757,0.00959763715523061,-0.0119786623798898,0.0270075191144811
"RF","Horsham","S2",10000,"EmergenceDAS","FirstOrder","Population",0.0390907043688105,0.00644165838267541,0.0000159747189379918,0.00960487004030376,-0.01135109577393,0.0277396085948804
"RF","Horsham","S2",10000,"EmergenceDAS","FirstOrder","FracPAWCmm",0.0394354432984347,0.00518623408961559,0.0000180772558879549,0.00970513261018855,-0.0128084632714036,0.0266269800270312
"RF","Horsham","S2",10000,"EmergenceDAS","FirstOrder","PAWCmm",0.0394474398108894,0.00586895349621283,-0.0000448504599701175,0.00956249247049327,-0.0121216731858839,0.0273257666250055
"RF","Horsham","S2",10000,"EmergenceDAS","FirstOrder","sowingESW",0.0383474797914789,0.00688676190895545,-0.000189428567818621,0.00954443688260058,-0.0107290078821339,0.027618471909345
"RF","Horsham","S2",10000,"EmergenceDAS","FirstOrder","SowingDOY",0.0424579344082253,0.0574893122211729,0.000195725699715911,0.00999853071720492,0.0380109747848531,0.0804689091930784
"RF","Horsham","S2",10000,"EmergenceDAS","FirstOrder","AvgMinT0_30",0.0315910484197496,0.447954475994606,-0.0000919013374355293,0.00732638785268235,0.431781676638308,0.463372725058058
"RF","Horsham","S2",10000,"EmergenceDAS","FirstOrder","AvgMinT30_60",0.039421065127244,0.00541434646579052,-0.0000390015496710546,0.00961077850173496,-0.0125235857111939,0.0268974794160501
"RF","Horsham","S2",10000,"EmergenceDAS","FirstOrder","AvgMinT60_90",0.0389673391771913,0.00582332108507657,0.00000451350204458065,0.00958999989512878,-0.0117565745792443,0.027210764597947
"RF","Horsham","S2",10000,"EmergenceDAS","FirstOrder","AvgMaxT0_30",0.0325580641809373,0.437095748010375,-0.000585246780554938,0.00726652904556324,0.421141391513223,0.453699455694161
"RF","Horsham","S2",10000,"EmergenceDAS","FirstOrder","AvgMaxT30_60",0.0388606173132325,0.00654265389010039,-0.000118939594572638,0.00967108068003566,-0.0112398191272567,0.0276207981859759
"RF","Horsham","S2",10000,"EmergenceDAS","FirstOrder","AvgMaxT60_90",0.0390431666097499,0.006125954307997,-0.0000497698880845441,0.00953051298778869,-0.0114827345066441,0.0275604321031058
"RF","Horsham","S2",10000,"EmergenceDAS","FirstOrder","Rain0_30",0.0392920278269493,0.00570269933782525,-0.00002408054178048,0.00959391803823158,-0.0120849488564631,0.0272070789704862
"RF","Horsham","S2",10000,"EmergenceDAS","FirstOrder","Rain30_60",0.0388874664644049,0.00553415722399653,-0.0000397124278900254,0.0095931076638814,-0.0120737395840795,0.0268137268803254
"RF","Horsham","S2",10000,"EmergenceDAS","FirstOrder","Rain60_90",0.0388672459597446,0.00568633770112489,-0.0000310684006889295,0.00958114396301899,-0.0119032585446136,0.026963987415131
"RF","Horsham","S2",10000,"EmergenceDAS","FirstOrder","Radn0_30",0.0379731593427652,0.00767499319538963,-0.0000454473080154262,0.00949529324484603,-0.00920311568641818,0.0287700436563471
"RF","Horsham","S2",10000,"EmergenceDAS","FirstOrder","Radn30_60",0.0390529958682997,0.0077316013158548,-0.0000423287844930949,0.00964290432625051,-0.00974657302359409,0.0293064228447056
