"model","location","sowing","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"RF","Emerald","S3",50000,"EmergenceDAS","FirstOrder","Lat",0.0214410160488063,0.0168388212366355,-0.000467028871584726,0.00483923079649174,0.00773326959046902,0.0291742856392753
"RF","Emerald","S3",50000,"EmergenceDAS","FirstOrder","ShootLag",0.0207594601172065,-0.000988592930376204,-0.000412985400335023,0.00492372047596663,-0.00993768723349872,0.0108217728837077
"RF","Emerald","S3",50000,"EmergenceDAS","FirstOrder","VegTarget",0.0209188751669228,-0.000646742273155058,-0.000416863277309955,0.00490901640191003,-0.00965254907578247,0.0112663260911403
"RF","Emerald","S3",50000,"EmergenceDAS","FirstOrder","LateVegTarget",0.0207391145304769,-0.000893127993649356,-0.000415741796571,0.00492326559209836,-0.00984492488162252,0.0108941896488544
"RF","Emerald","S3",50000,"EmergenceDAS","FirstOrder","FloweringTarget",0.0205113875701095,-0.000184251916119872,-0.000431479025071636,0.00489885749871314,-0.00921091819910287,0.0113004693710066
"RF","Emerald","S3",50000,"EmergenceDAS","FirstOrder","Population",0.0197986588276042,0.00310607006056987,-0.000418498546891452,0.00480363128730253,-0.00534055308462349,0.0144581057429807
"RF","Emerald","S3",50000,"EmergenceDAS","FirstOrder","FracPAWCmm",0.0206765450920843,0.0000209460555504001,-0.000445490701463481,0.00491863934548058,-0.00896754701761378,0.0117089980744706
"RF","Emerald","S3",50000,"EmergenceDAS","FirstOrder","PAWCmm",0.0207599431497189,-0.000894814341707697,-0.00041420778500432,0.00492182619759918,-0.00986271955117957,0.0108972235985393
"RF","Emerald","S3",50000,"EmergenceDAS","FirstOrder","sowingESW",0.0193573992644233,0.05059493103522,-0.000347113575690977,0.00467983381427912,0.0424469874485284,0.0618043867129517
"RF","Emerald","S3",50000,"EmergenceDAS","FirstOrder","SowingDOY",0.0149096995590174,0.447566921019325,-0.000191340432505571,0.00364176944397329,0.440176418138599,0.455086117697616
"RF","Emerald","S3",50000,"EmergenceDAS","FirstOrder","AvgMinT0_30",0.0205696780792389,-0.000836899476887955,-0.000433924041382995,0.00488243431487681,-0.00977145704873893,0.0107982210305
