"model","location","sowing","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Lat",0.0172158404915375,0.0115463185587581,0.000755967938725441,0.00409537021037988,0.00247164471489535,0.0196874852064328
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","ShootLag",0.0170340746239517,-0.00641926431132476,0.000773584657819278,0.00405840068122075,-0.015347059778146,0.00168701484580575
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","VegTarget",0.0173004551686637,-0.00642522310423438,0.000765130428851176,0.00406546934393281,-0.0154949898603773,0.00180546530828637
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","LateVegTarget",0.0170389318219802,-0.0065517434449999,0.00076997975203133,0.00405615424620614,-0.0155017125935172,0.00153721922846307
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","FloweringTarget",0.0170986035041722,-0.00628190113622756,0.000777987301481755,0.00409474497176744,-0.0152705974041912,0.00182800609998103
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Population",0.0167679120420758,0.0013865335374063,0.000882224332891261,0.00413898681772778,-0.00667161900474524,0.0100962930373305
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","FracPAWCmm",0.0174587536881384,-0.00605519961218693,0.000748959062995382,0.00407922798424189,-0.0151760764107249,0.00228267727741352
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","PAWCmm",0.0170367447810415,-0.00654126765353787,0.0007688853032592,0.00405797204093202,-0.0154910181518377,0.00154572662920377
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","sowingESW",0.0183286152039458,0.0309629454444823,0.000717191204816427,0.00407263640171253,0.0206113896883908,0.0389400048923366
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","SowingDOY",0.0121419714341895,0.444820058769613,0.000726271510179843,0.0029046127098376,0.437833898327021,0.449975869761211
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT0_30",0.0170644626724079,-0.00572384749904058,0.000735849312770679,0.00409162463070426,-0.0147254484872701,0.00233901418513786
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT30_60",0.0169576951167507,-0.00645860358414178,0.000766505493052286,0.00403676946352939,-0.0152964942625281,0.00166120085422263
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT60_90",0.0128094309361109,0.43318150287603,-2.7630139993684e-05,0.00299178906077736,0.427509124941767,0.440318555877878
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT0_30",0.0171044990274312,-0.00503614421792904,0.000741984068856952,0.0040544546780482,-0.0141676884330149,0.00293681059441632
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT30_60",0.0169159657846313,-0.00620608134902191,0.000777866991900042,0.00404423953949832,-0.0151434794393054,0.00177248634532591
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT60_90",0.016971537632034,-0.00640146303434281,0.00076311317712988,0.00404588304408842,-0.0153643284249384,0.00160720920709564
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Rain0_30",0.0170624411161281,-0.00657315981459428,0.000768410184590962,0.00405414878607467,-0.0155167881813032,0.00154565293482493
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Rain30_60",0.0170428412494369,-0.00647643700978892,0.00076226129069855,0.00405268829865529,-0.0154200651807,0.0016227760687369
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Rain60_90",0.0171286891746958,-0.0048549446586718,0.000737317745967216,0.00406151658979953,-0.0140544081670087,0.00307428100768707
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Radn0_30",0.0169492083905242,-0.0059030727248149,0.000757103446251087,0.00399497608316888,-0.0149808903723728,0.00196831801815137
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Radn30_60",0.0169667397771282,-0.00401089837640641,0.000779945867579234,0.00403047438629871,-0.0128109731841797,0.00415576659294842
"RF","Gunnedah","S2",50000,"EmergenceDAS","FirstOrder","Radn60_90",0.0170367447810415,-0.00654126765353787,0.0007688853032592,0.00405797204093202,-0.0154910181518377,0.00154572662920377
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","Lat",0.000596216135223582,0.0177139827923803,9.54650371875337e-07,0.000148816519966636,0.0173917161552738,0.0179879322904974
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","ShootLag",4.71072810353324e-06,9.21027487472692e-05,1.04378289345064e-09,1.10215753466028e-06,8.954000584063e-05,9.42507339441632e-05
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","VegTarget",1.01384028715378e-05,0.000237309559902199,-1.24931028322445e-07,2.93393434515886e-06,0.000232112757383481,0.000242251160255019
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","LateVegTarget",2.65899449512659e-07,5.12530331142624e-06,-1.84496709576543e-09,6.95083761063553e-08,5.01095624510386e-06,5.27685569461652e-06
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","FloweringTarget",5.85961677908287e-05,0.0010183393800498,-2.13470001477422e-06,1.40403270797375e-05,0.000993526348206404,0.00105212251599723
"RF","Gunnedah","S2",50000,"EmergenceDAS","TotalEffects","Population",0.00278366057380113,0.0257070307797266,7.26331866888856e-05,0.000677659067623602,0.0241888563341326,0.0269725169079337
