"model","location","sowing","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","Lat",0.019254766569079,0.0153768017452343,-0.000203710829415929,0.00471855880830916,0.00479218501409227,0.0240469515831713
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","ShootLag",0.019392114018018,-0.00095122406312725,-0.000154256943589487,0.00471632543847691,-0.0112426874449594,0.00814942657305869
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","VegTarget",0.0193445662535353,-0.000827663435929352,-0.000147557309338313,0.00472679197009318,-0.0110792009483037,0.00826536530523159
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","LateVegTarget",0.0193231353023505,-0.000996844558512915,-0.000142004997267423,0.00471347807209571,-0.011235535821987,0.00808759948036353
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","FloweringTarget",0.0192465772205578,-0.000805150035932827,-0.000159155747542111,0.00472127922976568,-0.0108700416460223,0.00837653557453549
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","Population",0.0201746462613895,0.00674831413683026,-9.70463704492476e-05,0.00484567185350183,-0.00411816980952885,0.0160564764518607
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","FracPAWCmm",0.0192764930970598,-0.00114343547656124,-0.000123565543408807,0.0047158984314706,-0.011637461596901,0.00763903150015881
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","PAWCmm",0.0193283613358008,-0.000989096930052905,-0.00014359710667667,0.0047136924720511,-0.011231377567835,0.0080969837679658
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","sowingESW",0.0201964007467616,0.0366636466851856,-0.000119640065974994,0.00483419100827338,0.0255138470772371,0.0457102478239987
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","SowingDOY",0.013107998289991,0.443528837347436,7.77720659710379e-05,0.00305575334243658,0.437313555178005,0.450421553467996
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT0_30",0.0194010888360568,-0.000622001317253165,-0.000150235091733631,0.004702293887363,-0.0106956503646012,0.00870543847145564
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT30_60",0.0191953126843006,-0.000646652602125302,-0.000145921299444104,0.00471037824285483,-0.0108475675040487,0.00834774518025192
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","AvgMinT60_90",0.0176974841386695,0.437995192616089,-0.000307328264915252,0.00410626314732376,0.428272188800537,0.445969672939206
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT0_30",0.019311980365368,0.000194908865955051,-0.00015763750885431,0.00464131454059449,-0.00995581311850015,0.00935616724686786
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT30_60",0.0192512190102946,-0.000607109906733323,-0.000147191182715039,0.00470446796719252,-0.0108693319726113,0.00838188703768329
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","AvgMaxT60_90",0.0193065509867577,-0.000865457942443438,-0.000140597082367135,0.00471518846165954,-0.0111292928037692,0.00817725818298842
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","Rain0_30",0.019350102579932,-0.000977119342030355,-0.000139341202277956,0.00470899011553837,-0.0112173361304156,0.00813276644951636
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","Rain30_60",0.0192721883850519,-0.00100365294994885,-0.000144667935526259,0.00470980014420432,-0.0111992625854447,0.00807292579960718
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","Rain60_90",0.0192283486267977,0.00156783968338982,-0.000158675709987977,0.004661361784668,-0.00856263957239354,0.0106657090544042
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","Radn0_30",0.0192586815833602,-0.000169754171185523,-0.000160387671926174,0.0046943028840132,-0.0101128595626015,0.00914582202075868
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","Radn30_60",0.0189752537597143,0.00125397019267025,-0.000174255076123967,0.00465332678522815,-0.00889819742322684,0.0100770563364874
"RF","Horsham","S2",50000,"EmergenceDAS","FirstOrder","Radn60_90",0.0193283613358008,-0.000989096930052905,-0.00014359710667667,0.0047136924720511,-0.011231377567835,0.0080969837679658
"RF","Horsham","S2",50000,"EmergenceDAS","TotalEffects","Lat",0.000587760240420468,0.018108914847946,-5.26541924311674e-06,0.000134883345560611,0.0178616249489484,0.0184493851893689
"RF","Horsham","S2",50000,"EmergenceDAS","TotalEffects","ShootLag",4.97662805851758e-06,9.3161464309488e-05,-1.73854669899279e-07,1.31797743530097e-06,9.0656793057186e-05,9.56334211157036e-05
