"model","location","sowing","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"RF","Gunnedah","S3",50000,"EmergenceDAS","FirstOrder","Lat",0.0163987769382249,0.0147266351390424,0.0000799384873023633,0.00415015029361368,0.00687158113468686,0.0232703580729118
"RF","Gunnedah","S3",50000,"EmergenceDAS","FirstOrder","ShootLag",0.016520594304186,-0.00208385790686766,-0.0000262545547464613,0.00414404520074373,-0.0102115281464236,0.00630906615776246
"RF","Gunnedah","S3",50000,"EmergenceDAS","FirstOrder","VegTarget",0.0166550772278937,-0.00202057115952272,-0.0000397697426552201,0.00415871346361584,-0.0101580324977026,0.00649704473019104
"RF","Gunnedah","S3",50000,"EmergenceDAS","FirstOrder","LateVegTarget",0.0166165869216444,-0.00207891877953139,-0.0000289506275650557,0.00415237658039638,-0.0102311074558004,0.00638547946584402
"RF","Gunnedah","S3",50000,"EmergenceDAS","FirstOrder","FloweringTarget",0.0163780627616751,-0.0018486273271547,-0.00000854645562077473,0.00414421770407795,-0.00995681030210603,0.00642125245956911
"RF","Gunnedah","S3",50000,"EmergenceDAS","FirstOrder","Population",0.016481047228036,0.00106679273361313,-0.0000216424880224672,0.00406157404343014,-0.00679191856023242,0.00968912866780362
"RF","Gunnedah","S3",50000,"EmergenceDAS","FirstOrder","FracPAWCmm",0.0168405529252541,-0.00130373059898039,-0.0000460903543367016,0.00414143885854999,-0.00939948422878675,0.00744106869646736
"RF","Gunnedah","S3",50000,"EmergenceDAS","FirstOrder","PAWCmm",0.0166120752916799,-0.00207574795058269,-0.0000277134302770527,0.00415061075118375,-0.0102120312742772,0.00640004401740274
"RF","Gunnedah","S3",50000,"EmergenceDAS","FirstOrder","sowingESW",0.0177060814630704,0.0454945756605668,0.0000182599073321466,0.00432671946262499,0.0366147312758299,0.0543208127389003
"RF","Gunnedah","S3",50000,"EmergenceDAS","FirstOrder","SowingDOY",0.0128043566916189,0.450189000169702,0.00045559161237968,0.00315854074474414,0.444509030110544,0.457313386802163
"RF","Gunnedah","S3",50000,"EmergenceDAS","FirstOrder","AvgMinT0_30",0.0168966806834225,-0.00215487195910535,-0.0000379840000894181,0.00415845953336509,-0.0103354710962318,0.00656120958719076
"RF","Gunnedah","S3",50000,"EmergenceDAS","FirstOrder","AvgMinT30_60",0.0166550743502828,-0.00196947004710802,-0.0000273015696442606,0.00415237359403347,-0.0102158517136189,0.00643922263666392
"RF","Gunnedah","S3",50000,"EmergenceDAS","FirstOrder","AvgMinT60_90",0.0131319000663923,0.421299023137549,-0.0000711056328027149,0.00332552779083989,0.414589126977593,0.427721027043985
"RF","Gunnedah","S3",50000,"EmergenceDAS","FirstOrder","AvgMaxT0_30",0.0166656853215925,-0.00126819062136653,-0.0000173808001700884,0.00417558963057108,-0.0096036509857018,0.00706203433589074
"RF","Gunnedah","S3",50000,"EmergenceDAS","FirstOrder","AvgMaxT30_60",0.0163530973426104,-0.00198712536944322,-0.0000367014846698321,0.00413967493258232,-0.0100260865109381,0.00632701083167235
"RF","Gunnedah","S3",50000,"EmergenceDAS","FirstOrder","AvgMaxT60_90",0.016547450662198,-0.00205732485119624,-0.0000284654276210307,0.0041404594320315,-0.0101653560406765,0.00638209462152155
"RF","Gunnedah","S3",50000,"EmergenceDAS","FirstOrder","Rain0_30",0.0166431668111464,-0.00200573499268651,-0.0000251497988685923,0.00415326960820438,-0.0101646789762168,0.00647848783492959
"RF","Gunnedah","S3",50000,"EmergenceDAS","FirstOrder","Rain30_60",0.016672419443929,-0.00209971344660758,-0.0000280861212994909,0.00415530247398056,-0.0102868966159364,0.00638552282799267
"RF","Gunnedah","S3",50000,"EmergenceDAS","FirstOrder","Rain60_90",0.0161414331551746,0.000650630293853738,-0.000040286585977059,0.00408397887511936,-0.00736639371830268,0.00877503943687196
"RF","Gunnedah","S3",50000,"EmergenceDAS","FirstOrder","Radn0_30",0.0168565376615797,-0.000994206912245317,-0.0000159178858486519,0.00415795190884424,-0.00920317550707064,0.00765336215450909
"RF","Gunnedah","S3",50000,"EmergenceDAS","FirstOrder","Radn30_60",0.0160982561924399,0.00127557768214639,-0.0000170822067927078,0.0041206992425113,-0.00674598680657076,0.00935226938586919
