"model","location","sowing","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"RF","Horsham","S3",50000,"EmergenceDAS","FirstOrder","Lat",0.0164537747790648,0.0179961380670649,-0.000435688594043734,0.00449133505090171,0.00923307514795902,0.0256868499270238
"RF","Horsham","S3",50000,"EmergenceDAS","FirstOrder","ShootLag",0.0159909580757294,0.000553318947146738,-0.000582692840055035,0.00442044341906758,-0.00785567700662363,0.00813528106910582
"RF","Horsham","S3",50000,"EmergenceDAS","FirstOrder","VegTarget",0.0161822218286629,0.000749090064518472,-0.000588802889601596,0.00445620860664491,-0.00776273227285739,0.0084194895558055
"RF","Horsham","S3",50000,"EmergenceDAS","FirstOrder","LateVegTarget",0.0160485015847827,0.000572513025933322,-0.000587439039598672,0.00441913844539822,-0.00789663249857394,0.00815186908620879
"RF","Horsham","S3",50000,"EmergenceDAS","FirstOrder","FloweringTarget",0.0160160564854382,0.00142699811049922,-0.000592089815869213,0.0044096715781847,-0.00693869548196433,0.00907736100347382
"RF","Horsham","S3",50000,"EmergenceDAS","FirstOrder","Population",0.0153946267511698,0.00455354613410297,-0.000467372898763854,0.00433902779950073,-0.00391851679465046,0.0114761099565194
"RF","Horsham","S3",50000,"EmergenceDAS","FirstOrder","FracPAWCmm",0.0161506388172606,0.000894005344623561,-0.000626222710815857,0.00446052521680608,-0.00767545780446735,0.00847518101279328
"RF","Horsham","S3",50000,"EmergenceDAS","FirstOrder","PAWCmm",0.0160580509237668,0.000602491104634602,-0.000586273062214984,0.00442365156272832,-0.00787470715027821,0.00818334377348859
"RF","Horsham","S3",50000,"EmergenceDAS","FirstOrder","sowingESW",0.0150574871663717,0.051348926889001,-0.000441828791828955,0.00441821485863056,0.0433708306233409,0.0584283177897126
"RF","Horsham","S3",50000,"EmergenceDAS","FirstOrder","SowingDOY",0.0138783357128704,0.451444508288414,-0.000708500069252604,0.00331229231365526,0.445053793785283,0.458932129498153
"RF","Horsham","S3",50000,"EmergenceDAS","FirstOrder","AvgMinT0_30",0.0158092698820331,0.000705275132676405,-0.000590793587183803,0.00440938055319842,-0.00772585136452128,0.00808341851751181
"RF","Horsham","S3",50000,"EmergenceDAS","FirstOrder","AvgMinT30_60",0.0161371065724277,0.000572863396316637,-0.000593875175854572,0.00443119445390847,-0.00795399537119996,0.00818311120122774
"RF","Horsham","S3",50000,"EmergenceDAS","FirstOrder","AvgMinT60_90",0.0132958057873284,0.419931277020205,-0.000257122103451413,0.00319989679644584,0.412966924363997,0.426262730151326
"RF","Horsham","S3",50000,"EmergenceDAS","FirstOrder","AvgMaxT0_30",0.0161386156732097,0.00145249921318238,-0.000601483190782761,0.00441242879734539,-0.00693176068278523,0.0092068549904245
"RF","Horsham","S3",50000,"EmergenceDAS","FirstOrder","AvgMaxT30_60",0.0160493289348867,0.000967128545387836,-0.000573965801019103,0.00441512499987431,-0.00752859082276799,0.00852073811211875
