"model","location","sowing","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"RF","Gunnedah","S2",1e+05,"EmergenceDAS","FirstOrder","Lat",0.0124285005504506,0.0175762526424791,-0.000504380334464052,0.00328654888288275,0.0115072007898956,0.0239357013403461
"RF","Gunnedah","S2",1e+05,"EmergenceDAS","FirstOrder","ShootLag",0.0128211586080505,0.000302536229503742,-0.000412929307072074,0.00334840572352935,-0.00589429140714133,0.0069268672009092
"RF","Gunnedah","S2",1e+05,"EmergenceDAS","FirstOrder","VegTarget",0.0127606132211926,0.000327731255002441,-0.000414049499329607,0.00333200687211489,-0.00578623159944454,0.00697438162174807
"RF","Gunnedah","S2",1e+05,"EmergenceDAS","FirstOrder","LateVegTarget",0.0127978462902462,0.000241037455680645,-0.000412130402212657,0.00334636757792772,-0.00592763778305787,0.00687020850718835
"RF","Gunnedah","S2",1e+05,"EmergenceDAS","FirstOrder","FloweringTarget",0.0128136092738855,0.000481482348971965,-0.000441234553381235,0.00332669155869464,-0.00568097809551394,0.00713263117837158
"RF","Gunnedah","S2",1e+05,"EmergenceDAS","FirstOrder","Population",0.0131363287206586,0.00280558070224038,-0.000387514073214499,0.00343538344409268,-0.00360778220663529,0.00952854651402335
"RF","Gunnedah","S2",1e+05,"EmergenceDAS","FirstOrder","FracPAWCmm",0.0127617881857594,0.000495113894162441,-0.000387926711734405,0.00336513876764717,-0.00567238454559599,0.00708940364016337
"RF","Gunnedah","S2",1e+05,"EmergenceDAS","FirstOrder","PAWCmm",0.0128013181156452,0.000245931103298167,-0.00041158719357574,0.00334301043628362,-0.00593323186379492,0.00686808625185024
"RF","Gunnedah","S2",1e+05,"EmergenceDAS","FirstOrder","sowingESW",0.014140789098249,0.0522004053455665,-0.000472617423621785,0.00336569415711142,0.0447667229164137,0.0589075120146627
"RF","Gunnedah","S2",1e+05,"EmergenceDAS","FirstOrder","SowingDOY",0.00993385993988721,0.44966585386362,-0.000177051116649452,0.00254988622363081,0.444986936457424,0.454920796397311
"RF","Gunnedah","S2",1e+05,"EmergenceDAS","FirstOrder","AvgMinT0_30",0.0128511487828767,0.000353966986035694,-0.0004169904535636,0.00334851407399007,-0.00585946080917426,0.00699168797370249
"RF","Gunnedah","S2",1e+05,"EmergenceDAS","FirstOrder","AvgMinT30_60",0.012828415393266,0.000274185559606413,-0.000415076813762172,0.00334326024218152,-0.00592789208031882,0.00690052331294721
"RF","Gunnedah","S2",1e+05,"EmergenceDAS","FirstOrder","AvgMinT60_90",0.0116286389439731,0.421451291035562,-0.000168965609387617,0.00285163731110398,0.415059960308721,0.426688599252694
"RF","Gunnedah","S2",1e+05,"EmergenceDAS","FirstOrder","AvgMaxT0_30",0.0128356053594452,0.00115906781594037,-0.000406425480992061,0.00331860188197267,-0.00509698258475151,0.00773862277469365
"RF","Gunnedah","S2",1e+05,"EmergenceDAS","FirstOrder","AvgMaxT30_60",0.0129735973654443,0.000536912633989739,-0.000409936825393562,0.00335449135076167,-0.00576577751631514,0.00720781984912919
"RF","Gunnedah","S2",1e+05,"EmergenceDAS","FirstOrder","AvgMaxT60_90",0.0127818814814368,0.000288691034380184,-0.000410390798999425,0.00334339934194491,-0.00590467727744794,0.00687720420398885
"RF","Gunnedah","S2",1e+05,"EmergenceDAS","FirstOrder","Rain0_30",0.0127954256122013,0.000257865756587926,-0.00040633459538823,0.00333878416946785,-0.00590934141909013,0.00688608419311116
"RF","Gunnedah","S2",1e+05,"EmergenceDAS","FirstOrder","Rain30_60",0.0128144600238982,0.000236540359138476,-0.000413156674813159,0.00334425769937159,-0.00591456579422717,0.00689989422967099
"RF","Gunnedah","S2",1e+05,"EmergenceDAS","FirstOrder","Rain60_90",0.013054451901882,0.00244202779287421,-0.000415287087574307,0.00330235639952151,-0.00387757078726613,0.00917688111461584
"RF","Gunnedah","S2",1e+05,"EmergenceDAS","FirstOrder","Radn0_30",0.0126372396483776,0.00170673035934879,-0.000424048322967893,0.00334147952903883,-0.00442283990034347,0.0082143997480341
"RF","Gunnedah","S2",1e+05,"EmergenceDAS","FirstOrder","Radn30_60",0.0131364416828374,0.00414481099050509,-0.000374461628889432,0.00333264290131603,-0.00207308948654813,0.0110633521962892
"RF","Gunnedah","S2",1e+05,"EmergenceDAS","FirstOrder","Radn60_90",0.013118135967166,0.0129643143714938,-0.000391868144329231,0.00336738327591697,0.0063643110768779,0.0194824470440439
"RF","Gunnedah","S2",1e+05,"EmergenceDAS","TotalEffects","Lat",0.00040275633438306,0.0181294200867492,4.12354302149059e-06,0.000105273363352164,0.0179175694288517,0.0183203257632348
"RF","Gunnedah","S2",1e+05,"EmergenceDAS","TotalEffects","ShootLag",3.38287386749263e-06,8.67216881705879e-05,7.11051418522083e-09,8.08619890551511e-07,8.52487579704436e-05,8.86316318379363e-05
"RF","Gunnedah","S2",1e+05,"EmergenceDAS","TotalEffects","VegTarget",6.07043792219972e-06,0.000231782314889961,1.25879899571813e-07,1.64449428683867e-06,0.000228420047457141,0.000234490485379341
"RF","Gunnedah","S2",1e+05,"EmergenceDAS","TotalEffects","LateVegTarget",2.24710101966231e-07,5.1279331122478e-06,-4.44356936801917e-10,5.24662368831266e-08,5.0288929731043e-06,5.25360307507054e-06
"RF","Gunnedah","S2",1e+05,"EmergenceDAS","TotalEffects","FloweringTarget",4.64011893129967e-05,0.00112273902420246,4.4615364545148e-07,1.13427765100398e-05,0.00109679665853073,0.00114319784784372
"RF","Gunnedah","S2",1e+05,"EmergenceDAS","TotalEffects","Population",0.0010934100525734,0.0109765251042921,1.50655924876213e-05,0.000264453770879978,0.010368960192899,0.0114623702454724
"RF","Gunnedah","S2",1e+05,"EmergenceDAS","TotalEffects","FracPAWCmm",0.000246274121175784,0.0021997976511986,4.65273389280369e-06,6.66701612964274e-05,0.00208120861786248,0.00232748273903827
