"model","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"ANN",10,"Biomass","FirstOrder","ShootLag",0.822997288023757,0.237006133478024,-0.0199976809469785,0.22461426764659,-0.102798114898935,0.720199173124821
"ANN",10,"Biomass","FirstOrder","VegTarget",0.925338240696771,0.308616760147449,-0.0152821055683529,0.255316365580115,-0.0662977919711421,0.859040448725628
"ANN",10,"Biomass","FirstOrder","LateVegTarget",0.555565975325473,0.397343330612176,-0.0257985961430028,0.144572549726423,0.167666105774582,0.723232081100055
"ANN",10,"Biomass","FirstOrder","FloweringTarget",0.791654766655014,0.237408642386952,-0.020104402274544,0.215185881830808,-0.0961444009942171,0.695510365660797
"ANN",10,"Biomass","FirstOrder","Population",0.857453985479628,0.285449539525198,-0.0178239483366043,0.231582005161092,-0.0442601400404782,0.81319384543915
"ANN",10,"Biomass","FirstOrder","FracPAWC",0.488836279171621,0.768405198404159,-0.0448667556928021,0.125486019706981,0.618944145921613,1.10778042509323
"ANN",10,"Biomass","TotalEffects","ShootLag",0.012086462099638,0.00601813037301679,0.00059072279233465,0.00358140445755649,-0.00189934344496874,0.0101871186546693
"ANN",10,"Biomass","TotalEffects","VegTarget",0.102866765442203,0.043817014107796,0.00349206340895058,0.0229583083825173,-0.0277041008419772,0.0751626646002261
"ANN",10,"Biomass","TotalEffects","LateVegTarget",0.210699030575445,0.116331918294897,-1.7385473700865e-05,0.0543110780447014,0.00655542198171064,0.217254452557156
"ANN",10,"Biomass","TotalEffects","FloweringTarget",0.00322256091628964,0.00144611657046645,0.000277293675743431,0.0010238114882639,-0.000731404058268943,0.00249115685802069
"ANN",10,"Biomass","TotalEffects","Population",0.0135316610829869,0.00566148475186667,0.000902431098278113,0.00340361616031261,-0.00371387218801453,0.00981778889497241
"ANN",10,"Biomass","TotalEffects","FracPAWC",1.06460504330891,0.673926130098417,0.0257066913883784,0.27362025588139,0.0338841760607986,1.09848921936971
"ANN",100,"Biomass","FirstOrder","ShootLag",0.332334583377721,0.102740499904208,0.00484040790597683,0.0859689246569422,-0.0659527933108587,0.266381790066862
"ANN",100,"Biomass","FirstOrder","VegTarget",0.38740916873856,0.0959460458809502,0.0102014024436985,0.101378935775929,-0.0894118704498497,0.29799729828871
"ANN",100,"Biomass","FirstOrder","LateVegTarget",0.311045979309646,0.345197229732885,-0.00280613113710143,0.072418300957369,0.198142931784082,0.509188911093727
"ANN",100,"Biomass","FirstOrder","FloweringTarget",0.358966321632254,0.0540477552293378,0.00504370247958166,0.0903663645911322,-0.129213486395486,0.229752835236767
"ANN",100,"Biomass","FirstOrder","Population",0.362531990613276,0.0460803570197433,0.00562201673931583,0.0906906252806561,-0.124525411142803,0.238006579470474
"ANN",100,"Biomass","FirstOrder","FracPAWC",0.295414618217924,0.440463850615113,-0.00356650712312245,0.0763694002439418,0.309344274876265,0.604758893094189
"ANN",100,"Biomass","TotalEffects","ShootLag",0.0274694370543529,0.027490212973446,-1.75290629688685e-05,0.00672532573746791,0.0107783396111391,0.0382477766654921
"ANN",100,"Biomass","TotalEffects","VegTarget",0.0974554186961648,0.123054039934832,0.00522795393403472,0.0239805376370645,0.0662081935899642,0.163663612286129
"ANN",100,"Biomass","TotalEffects","LateVegTarget",0.235733591194671,0.422760064878855,0.0154326038563478,0.0618558118344405,0.281795075021848,0.517528666216518
"ANN",100,"Biomass","TotalEffects","FloweringTarget",0.0125182129065052,0.0122721058295464,0.000555649066161668,0.00291780492384073,0.00450672501552584,0.017024937922031
