"model","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"ANN",10,"EmergenceDAS","FirstOrder","ShootLag",0.811721982344834,0.739187289009668,-0.0681882425879086,0.205528772919311,0.52951013054499,1.34123211288982
"ANN",10,"EmergenceDAS","FirstOrder","VegTarget",0.919801768873773,0.612402498471537,-0.0916355064516673,0.236257217172818,0.331661801409135,1.25146357028291
"ANN",10,"EmergenceDAS","FirstOrder","LateVegTarget",0.402488187863718,0.833602106520632,-0.0400030789229826,0.0905798677380429,0.734797354902588,1.13728554276631
"ANN",10,"EmergenceDAS","FirstOrder","FloweringTarget",0.700250801464201,0.632441790036022,-0.0852496481959376,0.185913120446551,0.449505209061378,1.14975601052558
"ANN",10,"EmergenceDAS","FirstOrder","Population",0.692635710085162,0.622789318897431,-0.0844523938783256,0.187032220644799,0.448220216606004,1.14085592669117
"ANN",10,"EmergenceDAS","FirstOrder","FracPAWC",1.00964741501264,0.583997269746374,-0.102164417270721,0.22285313906615,0.339767992327873,1.34941540734052
"ANN",10,"EmergenceDAS","TotalEffects","ShootLag",1.05709946308442,0.381983822561505,0.0990356015802197,0.269473921467752,-0.392119557984149,0.664979905100266
"ANN",10,"EmergenceDAS","TotalEffects","VegTarget",0.221749538957287,0.0827632943825342,0.0150837528206646,0.0545764149699201,-0.0906292177484612,0.131120321208825
"ANN",10,"EmergenceDAS","TotalEffects","LateVegTarget",0.406813575457612,0.190308081206059,0.0442948033158314,0.0960300085665074,-0.125721550357006,0.281092025100606
"ANN",10,"EmergenceDAS","TotalEffects","FloweringTarget",0.0313687967703619,0.0137965019362132,0.00372567437270273,0.00790925585649811,-0.0123384561487776,0.0190303406215842
"ANN",10,"EmergenceDAS","TotalEffects","Population",0.00406914678156005,0.00199246106798656,0.000213119140897213,0.00106752213343011,-0.000694505374143967,0.00337464140741609
"ANN",10,"EmergenceDAS","TotalEffects","FracPAWC",0.434664424995411,0.162219978514319,0.0331320327923478,0.140413162998447,-0.167333891904329,0.267330533091083
"ANN",100,"EmergenceDAS","FirstOrder","ShootLag",0.255273046853277,0.554826270210439,0.00203768004455263,0.0624440854389075,0.426832850501494,0.682105897354771
"ANN",100,"EmergenceDAS","FirstOrder","VegTarget",0.356545034431952,0.16815552987768,0.0114945620730236,0.0855391420261828,-0.0226110473359825,0.33393398709597
"ANN",100,"EmergenceDAS","FirstOrder","LateVegTarget",0.415347741462257,0.312033883443342,0.00448937518432957,0.107076739873529,0.104400123206253,0.51974786466851
"ANN",100,"EmergenceDAS","FirstOrder","FloweringTarget",0.369747408805343,0.0969429988987851,0.00633004152416725,0.09028010584954,-0.0921537590885266,0.277593649716817
"ANN",100,"EmergenceDAS","FirstOrder","Population",0.36172424640001,0.102162798895315,0.00739061636079333,0.089285332102665,-0.0824228857587403,0.27930136064127
"ANN",100,"EmergenceDAS","FirstOrder","FracPAWC",0.300450172584341,0.302383234326147,0.000366346062248502,0.0724969182852321,0.168830568213696,0.469280740798037
"ANN",100,"EmergenceDAS","TotalEffects","ShootLag",0.264608789959739,0.412583676281488,0.00809209953430939,0.0625851859181459,0.250284310340052,0.514893100299791
"ANN",100,"EmergenceDAS","TotalEffects","VegTarget",0.063481325406636,0.0900149068942888,0.00364276713277389,0.014998826913943,0.045958745175845,0.109440070582481
"ANN",100,"EmergenceDAS","TotalEffects","LateVegTarget",0.159620620766961,0.307730817564642,0.0060470731641239,0.0371735326320028,0.217193182298215,0.376813803065176
"ANN",100,"EmergenceDAS","TotalEffects","FloweringTarget",0.00581327331517986,0.00819053215725518,0.00015958718775008,0.00139503328407784,0.00511924130312509,0.0109325146183049
"ANN",100,"EmergenceDAS","TotalEffects","Population",0.00177903949768881,0.00296310080479534,5.98963118488573e-05,0.000475009212952059,0.00194730822524904,0.00372634772293785
"ANN",100,"EmergenceDAS","TotalEffects","FracPAWC",0.102413052470828,0.159937816948043,-0.001004723395607,0.025433221987733,0.110522983037207,0.212936035508035
"ANN",1000,"EmergenceDAS","FirstOrder","ShootLag",0.0939795750119125,0.494436183546909,6.29112560680545e-05,0.0222521844976193,0.450438181763092,0.544417756775004
"ANN",1000,"EmergenceDAS","FirstOrder","VegTarget",0.124141156083424,0.0965245133928514,0.00360110914733613,0.0306183751126692,0.0309995418840034,0.155140697967428
"ANN",1000,"EmergenceDAS","FirstOrder","LateVegTarget",0.10992267675661,0.291549389307321,0.00318298460843697,0.0274068129303349,0.227843979247416,0.337766656004025
"ANN",1000,"EmergenceDAS","FirstOrder","FloweringTarget",0.12759288349383,0.0476480551068184,0.00408858870337597,0.0325528755383655,-0.0257629125094908,0.101829970984339
"ANN",1000,"EmergenceDAS","FirstOrder","Population",0.116057149458918,0.0321258866718019,0.00400700315539607,0.0319163282748013,-0.033955125388608,0.0821020240703104
"ANN",1000,"EmergenceDAS","FirstOrder","FracPAWC",0.124225448162743,0.210075963697577,0.000274198765061989,0.030225041385135,0.153580454324752,0.277805902487495
"ANN",1000,"EmergenceDAS","TotalEffects","ShootLag",0.0869460973868816,0.443521479599722,-0.00127819849078342,0.0200792711783098,0.397333174009872,0.484279271396753
"ANN",1000,"EmergenceDAS","TotalEffects","VegTarget",0.0138134766620588,0.0849508017478864,1.82687075204468e-05,0.00376776758131253,0.0784220784974584,0.0922355551595172
"ANN",1000,"EmergenceDAS","TotalEffects","LateVegTarget",0.0592532806221928,0.281180684065124,0.000580046476124862,0.0143614345326936,0.251413924355143,0.310667204977336
"ANN",1000,"EmergenceDAS","TotalEffects","FloweringTarget",0.00204020419736188,0.0111207755763216,1.32192134612991e-06,0.000540593414438515,0.0100356359442955,0.0120758401416573
"ANN",1000,"EmergenceDAS","TotalEffects","Population",0.000633832249008576,0.00248515376912994,1.2578144154438e-05,0.000154735874211836,0.00216837199194543,0.00280220424095401
"ANN",1000,"EmergenceDAS","TotalEffects","FracPAWC",0.0318365294275169,0.163095427001018,-0.000103790611415078,0.00787239189172457,0.146830759180043,0.17866728860756
"ANN",10000,"EmergenceDAS","FirstOrder","ShootLag",0.0340950457958085,0.43093446766671,-0.00100737676155227,0.00819821004317221,0.415483116728211,0.449578162524019
"ANN",10000,"EmergenceDAS","FirstOrder","VegTarget",0.0423150937824498,0.0784798519502922,0.000940354193833315,0.0106310207432658,0.0548559731212051,0.0971710669036549
"ANN",10000,"EmergenceDAS","FirstOrder","LateVegTarget",0.0381363623253029,0.278278737944223,0.000243776237716875,0.00972702024132885,0.262332404083303,0.300468766408606
"ANN",10000,"EmergenceDAS","FirstOrder","FloweringTarget",0.0381622979898184,0.00416417083216177,0.000543233406680782,0.0105685306669826,-0.0164334830723705,0.0217288149174479
"ANN",10000,"EmergenceDAS","FirstOrder","Population",0.0395210764163627,-0.00459120430407805,0.000337691715793967,0.0106181395611583,-0.0248916104333104,0.0146294659830523
"ANN",10000,"EmergenceDAS","FirstOrder","FracPAWC",0.0398069113660066,0.168533215836035,0.000250687722836401,0.00937661798188357,0.147046010079132,0.186852921445138
"ANN",10000,"EmergenceDAS","TotalEffects","ShootLag",0.0252146030023314,0.447755616258961,-0.000124322034320945,0.0062655187369316,0.434114238450272,0.459328841452603
"ANN",10000,"EmergenceDAS","TotalEffects","VegTarget",0.00562186741928838,0.0900488703924981,-0.000210102655977859,0.00143260915487883,0.0874389930390164,0.0930608604583048
"ANN",10000,"EmergenceDAS","TotalEffects","LateVegTarget",0.0174829871737285,0.27930823715191,-0.000448042164400198,0.00436822718197401,0.270606554953768,0.288089542127496
"ANN",10000,"EmergenceDAS","TotalEffects","FloweringTarget",0.000770458190636805,0.0102239783446714,-1.50612665917385e-05,0.000184898110469513,0.00978168542773758,0.0105521436183744
"ANN",10000,"EmergenceDAS","TotalEffects","Population",0.000234840070595791,0.0026133977669921,-1.05167999332224e-06,5.25436985698461e-05,0.00249172158338241,0.0027265616539782
"ANN",10000,"EmergenceDAS","TotalEffects","FracPAWC",0.0109043485449732,0.177221926294795,-6.55853130253903e-05,0.00286112570168697,0.171781210078194,0.182685558623167
"ANN",50000,"EmergenceDAS","FirstOrder","ShootLag",0.0143689761966542,0.445574121531926,0.000178688382267256,0.00333281710421593,0.438816680629908,0.453185656826562
"ANN",50000,"EmergenceDAS","FirstOrder","VegTarget",0.0177182957200272,0.0882692743154547,-0.000136976646735634,0.00458089444776244,0.0795886980183619,0.0973069937383891
"ANN",50000,"EmergenceDAS","FirstOrder","LateVegTarget",0.0159995495762187,0.278827505691822,-0.000707078609836598,0.00402270002868134,0.271724542659799,0.287724092236018
"ANN",50000,"EmergenceDAS","FirstOrder","FloweringTarget",0.0159368898663654,0.0111365546783015,-0.000430422755968883,0.00436261913454172,0.00353614220364806,0.0194730320700135
"ANN",50000,"EmergenceDAS","FirstOrder","Population",0.0161705476275609,0.00351198244254284,-0.000432427788008429,0.00436495456957894,-0.00399196601304068,0.0121785816145203
"ANN",50000,"EmergenceDAS","FirstOrder","FracPAWC",0.0140486014877108,0.175805969945551,-0.000271064998786957,0.00357315517798423,0.16855881829401,0.182607419781721
"ANN",50000,"EmergenceDAS","TotalEffects","ShootLag",0.0114424931060373,0.443883540889249,4.9264860637388e-05,0.00274725796096978,0.438238288251356,0.449680781357393
"ANN",50000,"EmergenceDAS","TotalEffects","VegTarget",0.00282618991846115,0.0902467872885427,3.79483115694468e-05,0.000679509196934418,0.0885347150602766,0.0913609049787378
"ANN",50000,"EmergenceDAS","TotalEffects","LateVegTarget",0.00777257149712618,0.27484386360103,-0.000260248332455526,0.00186706604460152,0.271651284914724,0.27942385641185
"ANN",50000,"EmergenceDAS","TotalEffects","FloweringTarget",0.000286511365901486,0.0103216286620351,3.51553752836117e-07,7.23644797541007e-05,0.0101724443468645,0.010458955712766
"ANN",50000,"EmergenceDAS","TotalEffects","Population",9.48319409499149e-05,0.00262577978492251,4.23759238908248e-06,2.41588815649043e-05,0.00257118259285536,0.00266601453380528
"ANN",50000,"EmergenceDAS","TotalEffects","FracPAWC",0.00554756064967193,0.176058257462978,-0.000119484266691589,0.00144545139471919,0.173284743096099,0.178832303745771
"ANN",1e+05,"EmergenceDAS","FirstOrder","ShootLag",0.0096488194260691,0.446798632810684,0.000136483214200733,0.00226042498397822,0.442062167307204,0.451710986733274
"ANN",1e+05,"EmergenceDAS","FirstOrder","VegTarget",0.0136094382274572,0.0890328453160735,0.00010293622725846,0.00321933105361265,0.082264931244107,0.0958743694715641
"ANN",1e+05,"EmergenceDAS","FirstOrder","LateVegTarget",0.0128744475562138,0.272448195402061,-8.21686670091637e-05,0.00315643085567614,0.266098847009996,0.27897329456621
"ANN",1e+05,"EmergenceDAS","FirstOrder","FloweringTarget",0.0135104903004736,0.0105011113105442,-0.00011493239584238,0.00329956432037548,0.00404693091345702,0.0175574212139306
"ANN",1e+05,"EmergenceDAS","FirstOrder","Population",0.0134257941753709,0.0029969727392526,-9.01445471488608e-05,0.00325563264487708,-0.00296979329548953,0.0104560008798814
"ANN",1e+05,"EmergenceDAS","FirstOrder","FracPAWC",0.0110678580799645,0.176378367607394,-0.000375056288674458,0.00271045689394923,0.171171147349537,0.182239005429502
"ANN",1e+05,"EmergenceDAS","TotalEffects","ShootLag",0.00829041951401149,0.44709214814759,-0.000166682325322631,0.00193438797424217,0.44274724207406,0.451037661588072
"ANN",1e+05,"EmergenceDAS","TotalEffects","VegTarget",0.00220620644720936,0.0894778391177311,-5.19886823569515e-05,0.000516449780540968,0.0884067926545244,0.0906129991017338
"ANN",1e+05,"EmergenceDAS","TotalEffects","LateVegTarget",0.00431698907183836,0.272919904508305,-9.75893431995889e-05,0.00112837124280938,0.2710433700851,0.275360359156938
"ANN",1e+05,"EmergenceDAS","TotalEffects","FloweringTarget",0.00021594347040596,0.0102466210080111,-2.93252073781981e-06,5.14337138706244e-05,0.0101460246635832,0.0103619681339892
"ANN",1e+05,"EmergenceDAS","TotalEffects","Population",5.85842519858415e-05,0.00261215084338295,3.00396960850428e-07,1.5362294091671e-05,0.00258002956274302,0.00263861381472886
"ANN",1e+05,"EmergenceDAS","TotalEffects","FracPAWC",0.00308007398729909,0.176039902382784,-6.57347625024063e-05,0.00081283243256974,0.174733181305753,0.177813255293052
