"model","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"ANN",10,"FloweringDAS","FirstOrder","ShootLag",1.1698833613996,-0.355410245926937,-0.0243628926820522,0.310446596132542,-1.00800448944652,0.161878871953079
"ANN",10,"FloweringDAS","FirstOrder","VegTarget",1.47873463884861,-0.0659868022735998,-0.0751715272732955,0.391431861674982,-0.788862242677322,0.689872396171287
"ANN",10,"FloweringDAS","FirstOrder","LateVegTarget",0.888120959453373,-0.488919443432879,-0.0647625184608648,0.252750020340817,-0.954180665944924,-0.066059706491551
"ANN",10,"FloweringDAS","FirstOrder","FloweringTarget",1.15620737620931,-0.310154387224499,-0.0506077316128154,0.315182512883768,-0.953820175911583,0.20238720029773
"ANN",10,"FloweringDAS","FirstOrder","Population",1.03143358932986,-0.419720917049282,-0.0302019122829051,0.291174355392926,-1.02957575232544,0.00185783700441389
"ANN",10,"FloweringDAS","FirstOrder","FracPAWC",1.09536913836059,-0.367145207865007,-0.0316780818127684,0.308921974570155,-0.997368563765094,0.0980005745954959
"ANN",10,"FloweringDAS","TotalEffects","ShootLag",0.733125288744301,0.248621579513859,0.0475699490096116,0.189228506268338,-0.31641779933688,0.416707489407421
"ANN",10,"FloweringDAS","TotalEffects","VegTarget",0.838585888132493,0.465382055654402,0.119701458823384,0.215537406330018,-0.136081143167446,0.702504744965047
"ANN",10,"FloweringDAS","TotalEffects","LateVegTarget",0.272446004062239,0.103206490501802,0.0109890364051578,0.066143075293208,-0.0742627955913335,0.198183208470905
"ANN",10,"FloweringDAS","TotalEffects","FloweringTarget",0.288232661932726,0.123545705875085,0.0381959940467356,0.0758368208821964,-0.0985589478140775,0.189673714118648
"ANN",10,"FloweringDAS","TotalEffects","Population",0.0188745657745789,0.00485828895794393,0.00162760997158148,0.00455131436501652,-0.0110200639144782,0.00785450186010064
"ANN",10,"FloweringDAS","TotalEffects","FracPAWC",0.0533384038924964,0.0174121820734945,0.00579776164194105,0.0148928666455273,-0.0217165001870553,0.0316219037054411
"ANN",100,"FloweringDAS","FirstOrder","ShootLag",0.382081367834906,0.372349911382527,-0.00567140167656544,0.0983939181227764,0.21979407255614,0.601875440391047
