"model","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"ANN",10,"GrainWt","FirstOrder","ShootLag",0.90155252545267,0.107319547396151,-0.1068391011593,0.219232236665194,-0.196046274901016,0.705506250551654
"ANN",10,"GrainWt","FirstOrder","VegTarget",0.838170765439575,0.139713289518209,-0.0991765584206914,0.194742256708708,-0.140205618781098,0.697965146658478
"ANN",10,"GrainWt","FirstOrder","LateVegTarget",0.70337795408058,0.171502029781909,-0.0932389456416257,0.192327665618629,-0.105535019531006,0.597842934549573
"ANN",10,"GrainWt","FirstOrder","FloweringTarget",0.901627068279764,0.148409092519742,-0.100745567166889,0.216615627303008,-0.17084807417896,0.730778994100804
"ANN",10,"GrainWt","FirstOrder","Population",1.24867480503299,0.615034835857246,-0.133222396358681,0.304853800495166,0.356546877479174,1.60522168251217
"ANN",10,"GrainWt","FirstOrder","FracPAWC",1.34210841308117,-0.0523074007836761,-0.118414804463807,0.315483513430135,-0.578451562691176,0.763656850389998
"ANN",10,"GrainWt","TotalEffects","ShootLag",0.0262433431272777,0.0109057896042877,0.00342595027076511,0.00749040962426713,-0.00943916964410121,0.0168041734831765
"ANN",10,"GrainWt","TotalEffects","VegTarget",0.172460308592883,0.0700468605874599,0.0171696289394732,0.0366323838006516,-0.0639627572392985,0.108497551353585
"ANN",10,"GrainWt","TotalEffects","LateVegTarget",0.188352141128333,0.0602512709061614,0.020289507165049,0.0468465137963685,-0.0905523686925731,0.0977997724357602
"ANN",10,"GrainWt","TotalEffects","FloweringTarget",0.0442768068271409,0.0118006752557007,0.00511354417278428,0.0123757539203289,-0.021840859241417,0.0224359475857239
"ANN",10,"GrainWt","TotalEffects","Population",0.60117405836459,0.304169167835453,0.0671780215000813,0.138339129548718,-0.100838947296999,0.500335111067591
"ANN",10,"GrainWt","TotalEffects","FracPAWC",0.543795288109885,0.481746121544421,0.046878761272688,0.1539946744975,0.10122418464575,0.645019472755634
"ANN",100,"GrainWt","FirstOrder","ShootLag",0.406377719005187,0.11114049804639,0.0010113798837081,0.097566071841554,-0.0678564956488479,0.338521223356339
"ANN",100,"GrainWt","FirstOrder","VegTarget",0.369387678977794,0.177126267012573,-0.00660297043284372,0.0936275503517018,-0.0147224243527216,0.354665254625072
"ANN",100,"GrainWt","FirstOrder","LateVegTarget",0.304831501889801,0.359482427530233,-0.00394256716515712,0.0732004766566223,0.219855983599298,0.524687485489099
"ANN",100,"GrainWt","FirstOrder","FloweringTarget",0.377205930327378,0.163445833531379,-0.00242613095938549,0.0943185049135718,-0.0361740400691428,0.341031890258235
"ANN",100,"GrainWt","FirstOrder","Population",0.31623913138069,0.39138529275157,0.0026245300090077,0.0714367622548209,0.25160882443942,0.56784795582011
"ANN",100,"GrainWt","FirstOrder","FracPAWC",0.453949593726265,0.406838785593661,-0.00626311815619268,0.110909286498035,0.221974161679245,0.67592375540551
"ANN",100,"GrainWt","TotalEffects","ShootLag",0.0122745753352273,0.019016933921206,0.000227805917685408,0.00340033232967386,0.0127238113638883,0.0249983866991155
"ANN",100,"GrainWt","TotalEffects","VegTarget",0.117662544530211,0.116842280375668,0.00413090330037622,0.0300742190865572,0.0456093818383238,0.163271926368535
"ANN",100,"GrainWt","TotalEffects","LateVegTarget",0.269968409256447,0.334157514408682,-0.0011510855513685,0.0639968255137437,0.176857101954547,0.446825511210994
"ANN",100,"GrainWt","TotalEffects","FloweringTarget",0.0241521354342481,0.0229714276617058,0.000360265380526772,0.00535608045457114,0.00703363540229798,0.0311857708365461
"ANN",100,"GrainWt","TotalEffects","Population",0.208506446128571,0.292257292553048,0.0109353493718266,0.050729183221928,0.164486512589715,0.372992958718285
"ANN",100,"GrainWt","TotalEffects","FracPAWC",0.243654255853249,0.306357011446021,0.00603334910187808,0.0636184155129421,0.168421861979113,0.412076117832361
"ANN",1000,"GrainWt","FirstOrder","ShootLag",0.126357542694378,-0.0191582773407827,0.000641510779756656,0.0303129115259464,-0.0874945204858613,0.0388630222085164
"ANN",1000,"GrainWt","FirstOrder","VegTarget",0.120814377486216,0.0466467078369647,0.0024077294066468,0.0302648543333529,-0.0177800414169482,0.103034336069268
"ANN",1000,"GrainWt","FirstOrder","LateVegTarget",0.104567680669134,0.237230628806973,-0.000320055323868779,0.0262114663205717,0.182125075833924,0.286692756503058
"ANN",1000,"GrainWt","FirstOrder","FloweringTarget",0.122816368803934,-0.00943960150840006,0.000802417442095665,0.0295260469430621,-0.0778970312448247,0.0449193375591096
"ANN",1000,"GrainWt","FirstOrder","Population",0.118368843701629,0.331864926858466,-0.000750746409279357,0.0296666316124613,0.278440111741199,0.396808955442828
"ANN",1000,"GrainWt","FirstOrder","FracPAWC",0.124379540731532,0.202937712564543,0.0042077321161465,0.0300614539492429,0.137837932293464,0.262217473024996
"ANN",1000,"GrainWt","TotalEffects","ShootLag",0.00352578615683541,0.0152460033692697,0.000104242638224237,0.000944764131367655,0.0133947377542704,0.0169205239111058
"ANN",1000,"GrainWt","TotalEffects","VegTarget",0.0348635802381627,0.0966905148289738,-0.000280026378695064,0.00795105225588331,0.076612107285302,0.111475687523465
"ANN",1000,"GrainWt","TotalEffects","LateVegTarget",0.0884302127698491,0.362670922991963,-0.00486853384102853,0.0220299101824254,0.321034963118958,0.409465175888807
"ANN",1000,"GrainWt","TotalEffects","FloweringTarget",0.00499513685835638,0.0192406774677335,3.00514565228366e-05,0.0012856745725184,0.0166583599113591,0.0216534967697154
"ANN",1000,"GrainWt","TotalEffects","Population",0.0766736649871875,0.363808540430193,0.00239595838743278,0.0186915448517358,0.318268178208844,0.394941843196031
"ANN",1000,"GrainWt","TotalEffects","FracPAWC",0.0683929855861837,0.287500965451688,-0.00151925167269112,0.0181690098229616,0.25883802231506,0.327231007901244
"ANN",10000,"GrainWt","FirstOrder","ShootLag",0.0347990363443334,-0.00513027792723837,-0.000968530332939552,0.0101473491469768,-0.0210475734523455,0.0137514628919879
"ANN",10000,"GrainWt","FirstOrder","VegTarget",0.0367742181077509,0.0653366361831471,-0.000923563537293171,0.00992440037002455,0.0478135090196743,0.0845877271274252
"ANN",10000,"GrainWt","FirstOrder","LateVegTarget",0.0345686609707073,0.257863112085906,-0.000813520559168779,0.00855086816954071,0.24197875499693,0.276547415967637
"ANN",10000,"GrainWt","FirstOrder","FloweringTarget",0.0350432945650178,0.0119799922698757,-0.000874815448250689,0.00986887056650596,-0.00473541135181385,0.0303078832132039
"ANN",10000,"GrainWt","FirstOrder","Population",0.0364702157030971,0.322133284052755,-6.80895965430861e-05,0.0088145122591437,0.303874048373227,0.340344264076324
"ANN",10000,"GrainWt","FirstOrder","FracPAWC",0.0459305468392941,0.223729456709543,-0.000678018845410272,0.0106469804763332,0.20018778940079,0.246118336240084
"ANN",10000,"GrainWt","TotalEffects","ShootLag",0.00108259345558767,0.0147819328679446,3.11132291094113e-07,0.000266943510407537,0.0142322126011665,0.0153148060567541
