"model","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"ANN",10,"MaturityDAS","FirstOrder","ShootLag",1.14479800656706,0.396559569573555,-0.0677362930531917,0.28943898973981,0.00359031833062673,1.14838832489769
"ANN",10,"MaturityDAS","FirstOrder","VegTarget",1.11945192349635,0.27181351389498,-0.0750876355095233,0.27781500439655,-0.183655654676427,0.935796268819926
"ANN",10,"MaturityDAS","FirstOrder","LateVegTarget",1.00457773355236,0.384566292510571,-0.0649691238803045,0.263139720909801,-0.0148963286964618,0.989681404855895
"ANN",10,"MaturityDAS","FirstOrder","FloweringTarget",1.08684841523027,0.35189926650741,-0.0631740702443398,0.282871483581918,-0.0816984256671699,1.0051499895631
"ANN",10,"MaturityDAS","FirstOrder","Population",0.879752610698621,0.431260095388159,-0.073837401628416,0.23361452655712,0.0943617824603651,0.974114393158986
"ANN",10,"MaturityDAS","FirstOrder","FracPAWC",0.154644844582932,0.924937123477964,0.00169139044031441,0.044408909789538,0.854127934670219,1.00877277925315
"ANN",10,"MaturityDAS","TotalEffects","ShootLag",0.075801059864112,0.0319847448351379,0.00909675639512059,0.0210544829031375,-0.0263806939041418,0.0494203659599702
"ANN",10,"MaturityDAS","TotalEffects","VegTarget",0.23403039401337,0.0642015039239888,0.0287730529885575,0.0721623779715759,-0.12227277093705,0.11175762307632
"ANN",10,"MaturityDAS","TotalEffects","LateVegTarget",0.0242188609713541,0.00636075134226666,0.00274225210909106,0.00586442736442089,-0.0130580137705092,0.0111608472008449
"ANN",10,"MaturityDAS","TotalEffects","FloweringTarget",0.0357584109993287,0.0105545129994915,0.0036171460476042,0.00856245062318357,-0.0168671120992475,0.0188912989000812
"ANN",10,"MaturityDAS","TotalEffects","Population",0.0118535629646854,0.0057696831272156,0.00112686207948736,0.00297563299596702,-0.00268439426420622,0.00916916870047922
"ANN",10,"MaturityDAS","TotalEffects","FracPAWC",0.997873897293476,0.77861461585556,0.0164423108627847,0.269157117803908,0.293232170381966,1.29110606767544
"ANN",100,"MaturityDAS","FirstOrder","ShootLag",0.407441912448228,0.095444049292521,-0.00941104725949103,0.0918207509768346,-0.0791244984947914,0.328317413953436
"ANN",100,"MaturityDAS","FirstOrder","VegTarget",0.389308106396588,0.134892469271243,-0.0161448201402826,0.0944556958160219,-0.0192589443273408,0.370049162069247
"ANN",100,"MaturityDAS","FirstOrder","LateVegTarget",0.413136274121271,0.0899215659950322,-0.0091069019069666,0.0974832808324473,-0.0810891684409522,0.332047105680319
"ANN",100,"MaturityDAS","FirstOrder","FloweringTarget",0.391572707920855,0.0800447207124751,-0.0109490984730339,0.093250192386746,-0.0829609663718076,0.308611741549048
"ANN",100,"MaturityDAS","FirstOrder","Population",0.392075437767749,0.0877029565698982,-0.011669833199799,0.0934130407418439,-0.0735721250176817,0.318503312750067
"ANN",100,"MaturityDAS","FirstOrder","FracPAWC",0.045160185353478,0.918915021412229,-0.00172960412182854,0.0118899398251429,0.900518043738174,0.945678229091652
"ANN",100,"MaturityDAS","TotalEffects","ShootLag",0.0142887628457759,0.0257980300570348,0.000701290689277212,0.00368096545768609,0.0179594762886836,0.0322482391344595
"ANN",100,"MaturityDAS","TotalEffects","VegTarget",0.0210502232258567,0.0265610976473053,0.000378267498908607,0.00496460232732968,0.0140369408703071,0.0350871640961638
"ANN",100,"MaturityDAS","TotalEffects","LateVegTarget",0.0100611500430843,0.0141160579283395,0.000112875919483774,0.0024618273190608,0.00777360026699174,0.017834750310076
"ANN",100,"MaturityDAS","TotalEffects","FloweringTarget",0.00368725407671358,0.00572167035265025,0.000114395924228732,0.000920053443438466,0.00358339000234852,0.0072706440790621
"ANN",100,"MaturityDAS","TotalEffects","Population",0.00347655521653038,0.00492469627392456,0.000143453555192514,0.000943008178399639,0.00289095271927229,0.00636750793580267
"ANN",100,"MaturityDAS","TotalEffects","FracPAWC",0.4013538783711,0.843376085843156,0.0104611880569124,0.0990289913650254,0.619625111784989,1.02097899015609
"ANN",1000,"MaturityDAS","FirstOrder","ShootLag",0.119789952038064,0.0803510435876237,-0.00217673074838551,0.0277513831657585,0.0292197228826431,0.149009674920708
"ANN",1000,"MaturityDAS","FirstOrder","VegTarget",0.114188169596724,0.0700923494354774,-0.00184378988620372,0.0281907826896047,0.0193498612009226,0.133538030797647
