"model","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"RF",10,"Biomass","FirstOrder","ShootLag",1.04024271389859,0.144368980635235,-0.06014431392651,0.231464789190565,-0.30831139673982,0.731931317158772
"RF",10,"Biomass","FirstOrder","VegTarget",1.05267999975218,0.154019527485342,-0.0623621578903038,0.234670585943421,-0.287259312563582,0.765420687188601
"RF",10,"Biomass","FirstOrder","LateVegTarget",1.0531659033303,0.154316284232905,-0.0610444902763758,0.232966457760744,-0.301043151313743,0.752122752016555
"RF",10,"Biomass","FirstOrder","FloweringTarget",1.04640396158732,0.152214267729012,-0.0621705752013612,0.232377695059089,-0.290904660863396,0.755499300723925
"RF",10,"Biomass","FirstOrder","Population",0.994552185900056,0.286228923492789,-0.050212204114101,0.208531099934534,-0.19283048754496,0.801721698355096
"RF",10,"Biomass","FirstOrder","FracPAWC",0.200402401743154,0.986617610486815,-0.0157955353274424,0.0473048684082428,0.977394011095164,1.17779641283832
"RF",10,"Biomass","TotalEffects","ShootLag",0.00126427991730196,0.000363714068017273,0.00015055733595993,0.000338551485912186,-0.00062826792724149,0.000636011990060466
"RF",10,"Biomass","TotalEffects","VegTarget",0.000955895925175805,0.000426052940768917,0.000102100785802299,0.000230323640806983,-0.000335389591050257,0.000620506334125548
"RF",10,"Biomass","TotalEffects","LateVegTarget",0.00453252112060946,0.000906147126331081,0.000456317411521752,0.00110419618395694,-0.00305194299325142,0.00148057812735803
"RF",10,"Biomass","TotalEffects","FloweringTarget",0.000565423519802501,0.000130838399087341,4.96010676277958e-05,0.000141195280599335,-0.000311102656775561,0.00025432086302694
"RF",10,"Biomass","TotalEffects","Population",0.507829116107171,0.110693246231634,0.0339825994544189,0.103414072733319,-0.310880985144536,0.196948130962635
"RF",10,"Biomass","TotalEffects","FracPAWC",1.18702009141434,0.810893864377055,0.0592538796034615,0.248266012156024,0.190636665758559,1.3776567571729
"RF",100,"Biomass","FirstOrder","ShootLag",0.41784085271345,-0.0230927635513475,-0.0142690532919366,0.108136828401041,-0.207590184305485,0.210250668407965
"RF",100,"Biomass","FirstOrder","VegTarget",0.412321143741335,-0.0244372833206949,-0.014272523011463,0.107660334671585,-0.206527382562372,0.205793761178963
"RF",100,"Biomass","FirstOrder","LateVegTarget",0.424285922288004,-0.0222412898887865,-0.013804471928414,0.108926491326876,-0.210132077822053,0.21415384446595
"RF",100,"Biomass","FirstOrder","FloweringTarget",0.417561244510227,-0.0229025811608356,-0.014392051321746,0.108286154961725,-0.206533600823082,0.211027643687145
"RF",100,"Biomass","FirstOrder","Population",0.417346019704536,-0.00630489500601483,-0.0118439077512211,0.107843611947571,-0.195176727391683,0.222169292312853
"RF",100,"Biomass","FirstOrder","FracPAWC",0.0303320135371862,0.958919944287455,0.000125625600099211,0.00777622814896042,0.945175287899174,0.97550730143636
"RF",100,"Biomass","TotalEffects","ShootLag",3.91123732779682e-05,4.9222714454511e-05,1.71396605693319e-06,1.04384059612602e-05,2.56318824271378e-05,6.4744255705106e-05
"RF",100,"Biomass","TotalEffects","VegTarget",9.55466610141836e-05,0.000103709752316106,2.68785885154443e-06,2.24905275836297e-05,4.60635227399286e-05,0.000141610183754112
"RF",100,"Biomass","TotalEffects","LateVegTarget",0.000250278102221567,0.000247100896218932,8.81289665269016e-06,5.54630115449296e-05,9.27101254048641e-05,0.000342988227626431
"RF",100,"Biomass","TotalEffects","FloweringTarget",1.38636869751774e-05,1.11331075222099e-05,6.55560897042662e-07,3.35853416520513e-06,2.84199180658578e-06,1.67056787817631e-05
"RF",100,"Biomass","TotalEffects","Population",0.0333840409055518,0.0415974034933413,-7.24630776876151e-05,0.00886555793077296,0.0248075281816614,0.0581915690872132
"RF",100,"Biomass","TotalEffects","FracPAWC",0.425968992472447,0.950138758665628,0.0207557036769442,0.11136858773275,0.724660500903402,1.15062949337585
"RF",1000,"Biomass","FirstOrder","ShootLag",0.132082007023282,-0.0554388756200576,0.000414146147107088,0.0334513310078181,-0.121174248028927,0.0109077589943547
"RF",1000,"Biomass","FirstOrder","VegTarget",0.133177084985938,-0.055878817093823,0.000444897514729765,0.0335956618019057,-0.122249641778944,0.0109274432069943
"RF",1000,"Biomass","FirstOrder","LateVegTarget",0.133265065478458,-0.0558612847466606,0.000452772069242741,0.0334943130793558,-0.12312211373307,0.0101429517453886
"RF",1000,"Biomass","FirstOrder","FloweringTarget",0.132694983327585,-0.0557659079476907,0.000443539328229554,0.0335040661676439,-0.121983062064571,0.0107119212630134
"RF",1000,"Biomass","FirstOrder","Population",0.134827443971381,-0.0333442245160867,-0.000197677509614712,0.0332981090469342,-0.104943670833309,0.0298837731380723
"RF",1000,"Biomass","FirstOrder","FracPAWC",0.0111145656041468,0.959515075528733,-0.00014776389149862,0.00284518595313917,0.954748096374897,0.965862661979044
"RF",1000,"Biomass","TotalEffects","ShootLag",1.27908283943626e-05,5.42716666677157e-05,3.51199204401412e-07,3.19228769080666e-06,4.69578256214528e-05,5.97486540158154e-05
"RF",1000,"Biomass","TotalEffects","VegTarget",2.49646580065147e-05,8.99664537145073e-05,3.96377742438729e-07,6.49260977487711e-06,7.72702363728343e-05,0.000102234894379349
"RF",1000,"Biomass","TotalEffects","LateVegTarget",4.91203881086723e-05,0.000225766500749569,1.27065162809691e-06,1.24849302115583e-05,0.000202277400337594,0.000251397788446267
"RF",1000,"Biomass","TotalEffects","FloweringTarget",3.08543368244604e-06,8.66781421426932e-06,-1.40164221874572e-07,6.80052166853524e-07,7.12697077863112e-06,1.02124044610772e-05
"RF",1000,"Biomass","TotalEffects","Population",0.0132169594121903,0.0391232809379983,-0.000124493023113945,0.00328535893210802,0.0318971215280819,0.0451140809402722
"RF",1000,"Biomass","TotalEffects","FracPAWC",0.127911667133375,1.03388033561664,0.000301051932812602,0.0323880091573965,0.971740488412154,1.09965215554553
"RF",10000,"Biomass","FirstOrder","ShootLag",0.0346875233971842,-0.00231303562567877,5.59848504854401e-05,0.00923681026605845,-0.0198249263684014,0.0148625970287828
"RF",10000,"Biomass","FirstOrder","VegTarget",0.0345626475232811,-0.00240173454383267,7.55942084915296e-05,0.00923893618370302,-0.0197830349685181,0.0147796125547629
"RF",10000,"Biomass","FirstOrder","LateVegTarget",0.034391533800528,-0.00197929521386945,5.38026132327796e-05,0.00923817437297806,-0.0192753995473747,0.0151161342531533
"RF",10000,"Biomass","FirstOrder","FloweringTarget",0.0346507157884727,-0.00219893747722329,5.6394497822848e-05,0.00923822944278178,-0.0196321991469435,0.0150185166415292
"RF",10000,"Biomass","FirstOrder","Population",0.0364523165741931,0.0249210392181598,-0.000823255205516096,0.0094345084033863,0.00763007843659715,0.0440823950107902
"RF",10000,"Biomass","FirstOrder","FracPAWC",0.00349758613672202,0.961750667521057,-0.000136987856401594,0.000843135840163078,0.960231390608892,0.963728976745614
"RF",10000,"Biomass","TotalEffects","ShootLag",4.07563104808268e-06,5.17880696752071e-05,-8.43799875049908e-08,9.64565386006261e-07,4.96833533092464e-05,5.3758984357329e-05
