"model","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"RF",10,"FloweringDAS","FirstOrder","ShootLag",0.902679130219241,0.289510360008276,-0.0732640416462889,0.202839717626773,0.0483927558656231,0.951071886084864
"RF",10,"FloweringDAS","FirstOrder","VegTarget",0.909821181375235,-0.430113675759317,-0.0408155082745287,0.235658171274101,-0.884838931319835,0.0249822500554001
"RF",10,"FloweringDAS","FirstOrder","LateVegTarget",0.933630988426269,-0.572337877761496,-0.065742764448292,0.245644306420759,-1.15356007229992,-0.219929083873647
"RF",10,"FloweringDAS","FirstOrder","FloweringTarget",0.808135716338942,-0.456426850596545,-0.0156935781540935,0.197333164105004,-0.891687110700187,-0.0835513943612453
"RF",10,"FloweringDAS","FirstOrder","Population",0.679242922016611,-0.619608981842691,-0.016528741693243,0.161740115545416,-1.00723354111211,-0.327990619095502
"RF",10,"FloweringDAS","FirstOrder","FracPAWC",0.662941357230252,-0.623427890658885,-0.0184291147426809,0.16269230513322,-0.99811884507735,-0.335177487847098
"RF",10,"FloweringDAS","TotalEffects","ShootLag",0.666322779923733,1.09154116710297,0.0598660924342058,0.17028943370691,0.651381542775877,1.31770432269961
"RF",10,"FloweringDAS","TotalEffects","VegTarget",0.326673842595983,0.114932382349642,0.0200680186736105,0.0711330822285693,-0.143545404312322,0.183128438283661
"RF",10,"FloweringDAS","TotalEffects","LateVegTarget",0.259246887024737,0.12941262033685,0.023738519024829,0.0660672516983757,-0.0604392363719774,0.19880765065276
"RF",10,"FloweringDAS","TotalEffects","FloweringTarget",0.205305063982475,0.0604848987272782,0.0147811413412603,0.051347537814349,-0.105854416237593,0.0994506477448819
"RF",10,"FloweringDAS","TotalEffects","Population",0.000338033184742074,0.0001393292289954,3.3934838438302e-05,8.99617799405163e-05,-0.000104052005941984,0.000233981178800091
"RF",10,"FloweringDAS","TotalEffects","FracPAWC",0.00194171621833671,0.000695054776383319,0.000150506002342152,0.000463469819759489,-0.00061103564046778,0.00133068057786893
"RF",100,"FloweringDAS","FirstOrder","ShootLag",0.146782036209754,0.720774384936563,-0.000137725682360368,0.0370727648283452,0.654796384118727,0.801578420328482
"RF",100,"FloweringDAS","FirstOrder","VegTarget",0.460728868846899,0.104299711764202,-0.00507061574935354,0.109258997027314,-0.103514316016952,0.357214552829946
"RF",100,"FloweringDAS","FirstOrder","LateVegTarget",0.42877907297103,0.155403334177277,-0.00435976955352466,0.103219235698374,-0.034810525199074,0.393968547771956
"RF",100,"FloweringDAS","FirstOrder","FloweringTarget",0.449703877248363,0.129886750765043,-0.00224083717571794,0.102149768737223,-0.0484292798127357,0.401274597435627
"RF",100,"FloweringDAS","FirstOrder","Population",0.449892972066253,0.0625849050009143,0.0006902111571786,0.106091640728193,-0.133796326328951,0.316096645737302
"RF",100,"FloweringDAS","FirstOrder","FracPAWC",0.448107536918466,0.0635071524693358,0.000910502236459762,0.105762350978061,-0.130935053717056,0.31717248320141
"RF",100,"FloweringDAS","TotalEffects","ShootLag",0.360327094094819,0.62642486167962,0.00445070882247689,0.0844486696900275,0.428290957999654,0.788618052094473
"RF",100,"FloweringDAS","TotalEffects","VegTarget",0.0453049551340688,0.0722518043243822,0.000991771714341505,0.0125104861740773,0.0503024180000837,0.0956073731341525
"RF",100,"FloweringDAS","TotalEffects","LateVegTarget",0.0627401939476641,0.1022533019494,0.00206069117546757,0.015110011730531,0.0665405608998253,0.129280754847489
"RF",100,"FloweringDAS","TotalEffects","FloweringTarget",0.0436815521522589,0.0594032101105365,-0.000190384133068391,0.0106861645382496,0.0341744863254241,0.0778560384776831
"RF",100,"FloweringDAS","TotalEffects","Population",0.000152398304761691,0.000176272013435508,1.803522913697e-06,3.84750412536334e-05,8.85210455963214e-05,0.000240919350358012
