"model","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"RF",10,"GrainWt","FirstOrder","ShootLag",1.38785914130354,-0.0662896125892015,0.029449399514121,0.358342711255454,-0.866160588423692,0.521698552879852
"RF",10,"GrainWt","FirstOrder","VegTarget",1.2714944071555,-0.255263805627571,0.0341665368491845,0.327283561097995,-1.01979226352095,0.251702143634547
"RF",10,"GrainWt","FirstOrder","LateVegTarget",1.29141847994491,-0.189220980908788,0.0318930302042832,0.336070926758261,-0.926819508403814,0.364598971541093
"RF",10,"GrainWt","FirstOrder","FloweringTarget",1.28671191341091,-0.191611726139997,0.0324058935669265,0.340966483544568,-0.948370566852852,0.338341346558053
"RF",10,"GrainWt","FirstOrder","Population",1.42040477535873,0.0802828808145986,0.0150505870371465,0.359375096298296,-0.645483197240948,0.77492157811778
"RF",10,"GrainWt","FirstOrder","FracPAWC",0.524230284871472,0.777069314687984,-0.0400675286370871,0.139208875693125,0.67578456348425,1.20001484835572
"RF",10,"GrainWt","TotalEffects","ShootLag",0.0976530052407371,0.0213841438679323,0.00856604636596454,0.0211864486485024,-0.0630590365309207,0.0345939687098164
"RF",10,"GrainWt","TotalEffects","VegTarget",0.0298291428039364,0.00605660815088271,0.0033341657070167,0.0106969985411835,-0.0195731770136806,0.0102559657902557
"RF",10,"GrainWt","TotalEffects","LateVegTarget",0.0651442055650559,0.0143008901678127,0.00372163288015223,0.0138761897264877,-0.0409760623918548,0.024168143173201
"RF",10,"GrainWt","TotalEffects","FloweringTarget",0.00143743174489946,0.000369878604872809,0.000105486440648336,0.000366856935875615,-0.000794926160904196,0.000642505583995265
"RF",10,"GrainWt","TotalEffects","Population",0.389181337876621,0.122652364283201,0.0340428126988139,0.105440966313124,-0.192703866841693,0.196477471034928
"RF",10,"GrainWt","TotalEffects","FracPAWC",1.46082556342187,1.26882973975338,-0.0711785094095181,0.362442547458889,0.716780477811808,2.17760604123367
"RF",100,"GrainWt","FirstOrder","ShootLag",0.397781704128265,-0.281665432779229,-0.0029465773855043,0.0949132722309862,-0.483419208395347,-0.0856375042670819
"RF",100,"GrainWt","FirstOrder","VegTarget",0.404228789331697,-0.283213828737867,-0.00548347074421979,0.0938749192336527,-0.49761060084921,-0.0933818115175127
"RF",100,"GrainWt","FirstOrder","LateVegTarget",0.392859897506772,-0.276067431518248,-0.00532900151525556,0.0932400994764421,-0.480277895931478,-0.0874179984247059
"RF",100,"GrainWt","FirstOrder","FloweringTarget",0.406458952290542,-0.283626753354761,-0.00500330410135469,0.0944075431411117,-0.506508331329123,-0.100049379038581
"RF",100,"GrainWt","FirstOrder","Population",0.405176988497472,-0.229406263454004,-0.00583849630405564,0.0945717376853825,-0.420796162248774,-0.0156191737513022
"RF",100,"GrainWt","FirstOrder","FracPAWC",0.0593820966227393,0.881782203532706,-0.00389521042950525,0.0162142227631316,0.856999158293225,0.916381254915964
"RF",100,"GrainWt","TotalEffects","ShootLag",0.0070906336136831,0.00884292350868743,0.000589699423801411,0.00180506981902213,0.00386357634969924,0.0109542099633823
"RF",100,"GrainWt","TotalEffects","VegTarget",0.00244721614212351,0.00295753139748178,0.000101351649993842,0.000579957714775918,0.0015901729589665,0.00403738910109002
"RF",100,"GrainWt","TotalEffects","LateVegTarget",0.00437629065653833,0.00680247367863918,0.000382980747271612,0.00115211905250326,0.00424609335412292,0.00862238401066125
"RF",100,"GrainWt","TotalEffects","FloweringTarget",0.000125482383717046,0.000134298875282379,7.03952900469985e-06,3.12538313172918e-05,5.54631730785318e-05,0.000180945556795578
"RF",100,"GrainWt","TotalEffects","Population",0.0374147995004155,0.0879922053547799,0.00241969091887045,0.00917352065933799,0.0681989821104132,0.105613781610829
"RF",100,"GrainWt","TotalEffects","FracPAWC",0.424611025305871,1.10797161319238,0.00839044717513548,0.105790603224542,0.872114037387612,1.29672506269348
"RF",1000,"GrainWt","FirstOrder","ShootLag",0.146985463292272,-0.0280784894787137,0.00169555087743581,0.0324562695706013,-0.110132411835745,0.0368530514565271
"RF",1000,"GrainWt","FirstOrder","VegTarget",0.147316713455432,-0.0319200970504754,0.00179799275707429,0.0321957326996595,-0.113223599297627,0.0340931141578048
"RF",1000,"GrainWt","FirstOrder","LateVegTarget",0.146682651398722,-0.0228815668717636,0.00231019052910217,0.032071077669471,-0.104237650692259,0.042445000706463
"RF",1000,"GrainWt","FirstOrder","FloweringTarget",0.14456251021506,-0.0329721759670595,0.00196208221726404,0.0320623356877281,-0.112714362098069,0.0318481481169915
"RF",1000,"GrainWt","FirstOrder","Population",0.138753476811506,0.0420719674662099,0.00248423598361833,0.0323664077324192,-0.0356988788847944,0.103054597926712
"RF",1000,"GrainWt","FirstOrder","FracPAWC",0.017676191834474,0.911201504472759,-7.48673122448196e-05,0.00449212616376957,0.903040287853076,0.92071647968755
"RF",1000,"GrainWt","TotalEffects","ShootLag",0.00174202553287053,0.00933393516277381,6.995754015174e-05,0.000439912894485322,0.00832134064187367,0.0100633661747442
"RF",1000,"GrainWt","TotalEffects","VegTarget",0.000735775382949933,0.00306872208548581,-5.82509218811922e-10,0.000181844452011598,0.00265899228479604,0.00339476766774598
"RF",1000,"GrainWt","TotalEffects","LateVegTarget",0.00172201363677718,0.00791744613448908,4.61065609086934e-05,0.000395076931936586,0.0069254181905615,0.00864743182733868
"RF",1000,"GrainWt","TotalEffects","FloweringTarget",3.89054719658242e-05,0.000158245222662279,-9.754182457854e-08,9.797501817422e-06,0.00013783132624176,0.000176736798207585
"RF",1000,"GrainWt","TotalEffects","Population",0.0128511644331354,0.0670702560802197,0.000556536302398977,0.00308588841836909,0.0596629097517207,0.0725140741848561
"RF",1000,"GrainWt","TotalEffects","FracPAWC",0.130351061297964,0.952655047004166,-0.00233448450964002,0.0311193876487575,0.896304193986339,1.0266552552843
"RF",10000,"GrainWt","FirstOrder","ShootLag",0.0428423035167475,0.00646333344547533,0.0015742253071523,0.01076486520219,-0.0147309387034104,0.0281113648133372
