"model","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"RF",10,"MaturityDAS","FirstOrder","ShootLag",1.02713407609383,0.584890372986256,-0.0824291553900701,0.228067298866351,0.313725273935773,1.3408593500296
"RF",10,"MaturityDAS","FirstOrder","VegTarget",0.95849119624849,-0.436921614744842,-0.0377926888198598,0.239057214766747,-0.975506138120233,-0.0170149418717428
"RF",10,"MaturityDAS","FirstOrder","LateVegTarget",1.20637226287957,-0.121868146818547,-0.0617722943717464,0.302262642845165,-0.687199584247175,0.519172678632399
"RF",10,"MaturityDAS","FirstOrder","FloweringTarget",0.891457276627703,-0.434898891520266,-0.036834115913897,0.224655802963605,-0.925525346789578,-0.0340680701618753
"RF",10,"MaturityDAS","FirstOrder","Population",0.866686785458804,-0.450392053271954,-0.0342499137469204,0.221050021388287,-0.939124984209801,-0.072438198750997
"RF",10,"MaturityDAS","FirstOrder","FracPAWC",0.918178249584469,-0.462302498500399,-0.0359261174845793,0.22982859125675,-0.979482016518791,-0.0613037669343224
"RF",10,"MaturityDAS","TotalEffects","ShootLag",0.742690625092165,1.08718308835975,0.0715466281856365,0.173897712686505,0.589198632205802,1.33188925729797
"RF",10,"MaturityDAS","TotalEffects","VegTarget",0.289512569024835,0.0429312160404198,0.0284435032852253,0.0789172330431692,-0.210194747996283,0.0793178210285521
"RF",10,"MaturityDAS","TotalEffects","LateVegTarget",0.546970162981726,0.294211619080462,0.065833528464937,0.161302085840395,-0.0474287598531467,0.499541403128579
"RF",10,"MaturityDAS","TotalEffects","FloweringTarget",0.0103465616986147,0.00301733318078701,0.00123036350372385,0.00278381091666108,-0.00526149491033115,0.00508506678828355
"RF",10,"MaturityDAS","TotalEffects","Population",0.000343619987468324,7.97845481051995e-05,4.27142548780779e-05,0.000108445327427843,-0.000201540983845886,0.000142079003622438
"RF",10,"MaturityDAS","TotalEffects","FracPAWC",0.202279023459887,0.0394124221494807,0.0205266073103509,0.0486088184803318,-0.137366550013169,0.0649124734467182
"RF",100,"MaturityDAS","FirstOrder","ShootLag",0.188751891830298,0.68863047479794,-0.00615988544626922,0.0418257035356841,0.6029520917624,0.791703983592697
"RF",100,"MaturityDAS","FirstOrder","VegTarget",0.451862331109828,0.105137527267236,0.00239800349111703,0.113839145045713,-0.0732114689324594,0.378650862177369
"RF",100,"MaturityDAS","FirstOrder","LateVegTarget",0.44345965667069,0.187048821074342,0.000796712597149279,0.0998970083338461,-0.0279871197588157,0.415472536911875
"RF",100,"MaturityDAS","FirstOrder","FloweringTarget",0.448784924179204,0.0568127163032198,6.11131401852261e-07,0.115444859131414,-0.126803162987177,0.321981761192027
"RF",100,"MaturityDAS","FirstOrder","Population",0.448582650318099,0.0455257349833363,0.00117413177079595,0.116155054420835,-0.136595842373121,0.311986807944978
"RF",100,"MaturityDAS","FirstOrder","FracPAWC",0.446599369187133,0.101475404340104,0.00116734841991437,0.111362785617695,-0.0845892377796008,0.362010131407532
