"model","sampleSize","target","index","input","ciRange","original","bias","std..error","min..c.i.","max..c.i."
"RF",10,"PoddingDAS","FirstOrder","ShootLag",1.0447262195099,0.145747073448738,-0.0293979817831545,0.295705413034519,-0.444441162036164,0.600285057473738
"RF",10,"PoddingDAS","FirstOrder","VegTarget",0.920802463637745,0.267523445710231,-0.0618056140099205,0.25756240197267,-0.0384968926244629,0.882305571013282
"RF",10,"PoddingDAS","FirstOrder","LateVegTarget",0.471770161284336,0.825190227224901,-0.0521246674525729,0.121380573268711,0.729645767425577,1.20141592870991
"RF",10,"PoddingDAS","FirstOrder","FloweringTarget",0.984871462776457,0.278275846710048,-0.047438911507475,0.254828815960161,-0.0898828893600365,0.894988573416421
"RF",10,"PoddingDAS","FirstOrder","Population",0.920168021411809,0.308513773828543,-0.0512722675945784,0.250163103207583,-0.019921916967281,0.900246104444528
"RF",10,"PoddingDAS","FirstOrder","FracPAWC",0.90452657010302,0.287210154127395,-0.0506462178102086,0.248484409354179,-0.0423740187066277,0.862152551396392
"RF",10,"PoddingDAS","TotalEffects","ShootLag",1.24464275614045,0.900920046669969,0.107438459146145,0.336714922411609,0.151456557313122,1.39609931345358
"RF",10,"PoddingDAS","TotalEffects","VegTarget",0.0428911427059091,0.0124370824267875,0.00667587201719682,0.0371624675556804,-0.0214904687848759,0.0214006739210331
"RF",10,"PoddingDAS","TotalEffects","LateVegTarget",1.15703314340484,0.639357210279907,0.0179653127259755,0.242953107449675,-0.139584123813084,1.01744901959176
"RF",10,"PoddingDAS","TotalEffects","FloweringTarget",0.139587456828446,0.0377400857093828,0.0168416821478295,0.113260162464412,-0.0740390417253156,0.0655484151031304
"RF",10,"PoddingDAS","TotalEffects","Population",2.47925062267625e-05,4.4950059598925e-06,6.41286314164824e-06,5.1017992330736e-05,-1.58024932599474e-05,8.99001296681508e-06
"RF",10,"PoddingDAS","TotalEffects","FracPAWC",0.00533667517016516,0.00188185571577604,0.000381378059766231,0.00212478487908027,-0.002260164998093,0.00307651017207215
"RF",100,"PoddingDAS","FirstOrder","ShootLag",0.305328034815989,0.369200232260395,-0.00905184805279646,0.0808478870362543,0.238113818940803,0.543441853756792
"RF",100,"PoddingDAS","FirstOrder","VegTarget",0.398310059213039,0.0845584189439701,-0.00678730511705351,0.087462630621083,-0.0976668119882518,0.300643247224788
"RF",100,"PoddingDAS","FirstOrder","LateVegTarget",0.245052789091918,0.641747553744459,-0.00659727291850964,0.0607189936974936,0.544625632490635,0.789678421582553
"RF",100,"PoddingDAS","FirstOrder","FloweringTarget",0.387879132038663,0.101864790834754,-0.00587750165551013,0.0886262726578448,-0.0772316812149631,0.3106474508237
"RF",100,"PoddingDAS","FirstOrder","Population",0.392247950142068,0.0719149541698269,-0.00600633574007144,0.0886786790809964,-0.103784857776274,0.288463092365794
"RF",100,"PoddingDAS","FirstOrder","FracPAWC",0.389475514780013,0.0748190318301634,-0.00588728263329934,0.0882820366068797,-0.101029227257611,0.288446287522401
"RF",100,"PoddingDAS","TotalEffects","ShootLag",0.224323716259284,0.305864747485613,0.0065342074788497,0.0538140817289792,0.15514640777678,0.379470124036064
"RF",100,"PoddingDAS","TotalEffects","VegTarget",0.00579565942602995,0.00819950779479961,8.50413274093628e-05,0.00140294989373458,0.00477180867030495,0.0105674680963349
"RF",100,"PoddingDAS","TotalEffects","LateVegTarget",0.299662685561856,0.605798717431192,0.0058183732562983,0.0757217781806865,0.47053527229497,0.770197957856826
"RF",100,"PoddingDAS","TotalEffects","FloweringTarget",0.00931418018290235,0.010433038294523,0.000450592175396813,0.00194981063040054,0.00460446449942501,0.0139186446823274
"RF",100,"PoddingDAS","TotalEffects","Population",0.000111929025015907,0.000121987638742604,6.09257099934535e-06,2.7309087307515e-05,5.49247254938887e-05,0.000166853750509795
"RF",100,"PoddingDAS","TotalEffects","FracPAWC",0.000567475320039029,0.000681876282970006,1.69100731064309e-05,0.000137923432775117,0.00030278133729147,0.0008702566573305
